step,total_loss,presence_loss,type_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,other_loss
1,2.136079788208008,0.6781190633773804,0.6948062777519226,0.41575121879577637,0.5032522678375244,0.46574461460113525,0.4358309805393219,0.3632265031337738,nan
100,1.2504637241363525,0.00022964467643760145,0.6054155230522156,0.34211084246635437,0.22994257509708405,0.4276956617832184,0.4000804126262665,0.3316487967967987,nan
200,1.246903419494629,5.340336065273732e-05,0.6046797037124634,0.3398304283618927,0.22921216487884521,0.4272446632385254,0.398318350315094,0.32806915044784546,nan
300,1.2234692573547363,3.196315810782835e-05,0.6026129722595215,0.31951791048049927,0.1600719541311264,0.4191274642944336,0.38791683316230774,0.3166637420654297,nan
400,1.2077776193618774,2.547215626691468e-05,0.6011167168617249,0.30607709288597107,0.14788807928562164,0.41551753878593445,0.3265232741832733,0.31551122665405273,nan
500,1.1911100149154663,3.0732349841855466e-05,0.5953879356384277,0.297997385263443,0.13970912992954254,0.41021108627319336,0.308205246925354,0.309952974319458,nan
600,1.1795741319656372,2.7414076612330973e-05,0.5893161296844482,0.2955724895000458,0.13341723382472992,0.4055160880088806,0.30730175971984863,0.30906662344932556,nan
700,1.1647181510925293,4.143618207308464e-05,0.5814558267593384,0.2924930155277252,0.12958265841007233,0.4016166925430298,0.3066723346710205,0.30569544434547424,nan
800,1.1491621732711792,5.091543062007986e-05,0.5726926922798157,0.29007217288017273,0.12805631756782532,0.398202121257782,0.3042462170124054,0.30330944061279297,nan
900,1.1466140747070312,4.641492341761477e-05,0.5714359283447266,0.2894136905670166,0.12731356918811798,0.39905238151550293,0.3012920022010803,0.3029414117336273,nan
1000,1.1197502613067627,5.3494019084610045e-05,0.5549709796905518,0.28724026679992676,0.12595294415950775,0.3955882787704468,0.3005920350551605,0.3004361093044281,nan
1100,1.0983552932739258,6.19135971646756e-05,0.5426397323608398,0.284333735704422,0.12331583350896835,0.3879193663597107,0.2983414828777313,0.29880860447883606,nan
1200,1.0781627893447876,4.743644603877328e-05,0.5312525033950806,0.28123655915260315,0.1181882992386818,0.37925851345062256,0.2962190806865692,0.29791784286499023,nan
1300,1.0768505334854126,3.999783439212479e-05,0.5313700437545776,0.27975550293922424,0.11639490723609924,0.37723061442375183,0.29632654786109924,0.2961936593055725,nan
1400,1.0349969863891602,3.6421199183678254e-05,0.5064102411270142,0.2753451466560364,0.1147618368268013,0.37141329050064087,0.2928374409675598,0.2910194396972656,nan
1500,1.00739324092865,2.667073204065673e-05,0.49004054069519043,0.27230575680732727,0.11395825445652008,0.3677881956100464,0.2924000024795532,0.2865627408027649,nan
1600,0.991461992263794,1.9287568647996522e-05,0.48049840331077576,0.27069512009620667,0.11404712498188019,0.36546075344085693,0.2900983691215515,0.28485482931137085,nan
1700,0.9544698596000671,1.2950944437761791e-05,0.45827311277389526,0.26704728603363037,0.11263806372880936,0.36137375235557556,0.2877923548221588,0.2801598608493805,nan
1800,0.923384428024292,9.702145689516328e-06,0.4390721023082733,0.2647666037082672,0.11179238557815552,0.3585391342639923,0.28710320591926575,0.2770549952983856,nan
1900,0.8936480283737183,6.694809144391911e-06,0.4204981029033661,0.26289424300193787,0.11015363037586212,0.35666918754577637,0.28636109828948975,0.27472713589668274,nan
2000,0.8608800172805786,5.016405339119956e-06,0.3994154632091522,0.26175186038017273,0.10936705023050308,0.35591426491737366,0.2868172824382782,0.27280423045158386,nan
2100,0.8283128142356873,3.5969051168649457e-06,0.37925097346305847,0.2594327926635742,0.10835539549589157,0.3528721034526825,0.284481406211853,0.2702959477901459,nan
2200,0.8064315915107727,2.413816673652036e-06,0.36577555537223816,0.25776588916778564,0.10725908726453781,0.3511238992214203,0.2812245190143585,0.2689959406852722,nan
2300,0.7868380546569824,1.802881797630107e-06,0.35414329171180725,0.2556212842464447,0.10628142952919006,0.3482087254524231,0.27573972940444946,0.26783260703086853,nan
2400,0.7579572200775146,1.3948670130048413e-06,0.33642470836639404,0.25331881642341614,0.10549817234277725,0.345516562461853,0.27135804295539856,0.26584669947624207,nan
2500,0.7490590214729309,1.0992673651344376e-06,0.3310859501361847,0.25242897868156433,0.10459499061107635,0.3441590368747711,0.2694985568523407,0.265440434217453,nan
2600,0.7318158745765686,8.868282748153433e-07,0.32049378752708435,0.25107431411743164,0.10402917861938477,0.34150075912475586,0.2668730616569519,0.264680951833725,nan
2700,0.6993680000305176,7.123629188754421e-07,0.3003615736961365,0.24882490932941437,0.10308774560689926,0.3385069966316223,0.26539304852485657,0.26198723912239075,nan
2800,0.6790754199028015,5.888770715500868e-07,0.2878814935684204,0.24725258350372314,0.10229510068893433,0.3364769220352173,0.2633802890777588,0.260454386472702,nan
2900,0.7001473307609558,4.878950221609557e-07,0.30131974816322327,0.2481672316789627,0.10205808281898499,0.3372786343097687,0.2635950744152069,0.2620238661766052,nan
3000,0.6741625070571899,4.0561590708421136e-07,0.28480765223503113,0.2469506412744522,0.10081060230731964,0.3352954089641571,0.26263710856437683,0.26098692417144775,nan
3100,0.656848132610321,3.0267324291344266e-07,0.27502936124801636,0.24430380761623383,0.10043618828058243,0.3325306177139282,0.26013556122779846,0.2575734853744507,nan
3200,0.6172491908073425,2.3765525725139014e-07,0.2503584623336792,0.24171124398708344,0.09893482178449631,0.3284881114959717,0.2581630349159241,0.25489380955696106,nan
3300,0.6144351363182068,1.9747544399706385e-07,0.24892298877239227,0.24105046689510345,0.09882864356040955,0.32735785841941833,0.2575569152832031,0.2541864514350891,nan
3400,0.5896271467208862,1.6417696713233454e-07,0.23415032029151917,0.23840145766735077,0.09743310511112213,0.32421573996543884,0.25539112091064453,0.2511228919029236,nan
3500,0.5635742545127869,1.4553650373727578e-07,0.21778708696365356,0.2368934601545334,0.09655019640922546,0.3218756914138794,0.2542880177497864,0.24954892694950104,nan
3600,0.6109457612037659,1.3518278763058333e-07,0.24880629777908325,0.23773618042469025,0.09702480584383011,0.32241442799568176,0.2540704309940338,0.25096914172172546,nan
