split,component_count,local_abs_x_max,local_abs_x_p95,local_abs_y_max,local_abs_y_p95,bbox_width_mean,bbox_height_mean,area_mean,edge_mean,group_key,group_value
test,2,9.757576942443848,9.756142616271973,2.013000249862671,2.001244622468948,19.48646593093872,3.790886640548706,71.91595631027712,11.576761904389318,hard_case_type,bins_correct_center_or_offset_bad
test,2,11.51512336730957,11.492945098876953,2.1973721981048584,2.189021551609039,22.58668041229248,4.227731347084045,93.1054737981338,13.339104476620822,hard_case_type,both_bins_wrong_like
test,4,9.3136568069458,9.3136568069458,1.6745753288269043,1.6745753288269043,17.273655652999878,3.1265755891799927,52.53600495138191,10.141211103289129,hard_case_type,geometry_or_type_interaction
test,1,13.747366905212402,13.747366905212402,2.3942134380340576,2.3942134380340576,27.494731903076172,4.788426399230957,123.95577709416114,15.969022539735981,hard_case_type,rare_y_bin_wrong
test,3,17.4677791595459,17.40144577026367,3.567063093185425,3.5469568252563475,33.21757698059082,6.712042252222697,218.10224915916237,19.87212159100158,hard_case_type,x_bin_wrong_like
train,7,11.974288940429688,11.807601737976073,2.1294567584991455,2.078341257572174,21.389842578342982,3.4978784833635603,72.34332278226357,12.359334306207124,hard_case_type,bins_correct_center_or_offset_bad
train,8,11.958686828613281,11.958686828613281,2.3643851280212402,2.3643851280212402,20.69657677412033,4.233224526047707,87.7059383796221,12.420029880307053,hard_case_type,both_bins_wrong_like
train,11,9.313660621643066,9.313660621643066,1.674575924873352,1.6745756268501282,16.910146149722014,3.0771286487579346,50.8644016949421,9.939317955038895,hard_case_type,geometry_or_type_interaction
train,3,15.402083396911621,15.402083396911621,2.59759783744812,2.55908088684082,30.071824073791504,4.681634346644084,131.2694640281611,17.192783663383242,hard_case_type,rare_y_bin_wrong
train,10,17.4677791595459,17.4677791595459,3.798027515411377,3.798027515411377,32.720142650604245,6.924945712089539,222.80226596840922,19.752172659646355,hard_case_type,x_bin_wrong_like
val,2,10.313203811645508,10.28571195602417,2.107858419418335,2.0998791337013243,20.076565742492676,4.056129813194275,77.16954618365386,11.935529179700282,hard_case_type,bins_correct_center_or_offset_bad
val,3,11.07155704498291,11.026882362365722,2.0303592681884766,2.0287772178649903,19.770911534627277,3.906598528226217,76.46906982284754,11.801265901787273,hard_case_type,both_bins_wrong_like
val,4,9.313660621643066,9.313659906387329,1.6745753288269043,1.6745753288269043,17.273655772209167,3.126575320959091,52.536000980761884,10.14121102879253,hard_case_type,geometry_or_type_interaction
val,1,14.300097465515137,14.300097465515137,2.399613618850708,2.399613618850708,28.600193977355957,4.799224853515625,128.95399068566473,16.521779594554783,hard_case_type,rare_y_bin_wrong
val,3,16.804443359375,16.738109970092772,3.567063093185425,3.5238568067550657,32.333130518595375,6.5580423672993975,207.1766946898509,19.352898378312457,hard_case_type,x_bin_wrong_like
test,10,17.4677791595459,17.16927890777588,3.567063093185425,3.4765848875045773,24.85483808517456,4.766009020805359,122.59860320843865,14.715796520221957,component_slot,0
test,2,7.960000514984131,7.960000514984131,1.4520010948181152,1.4520010471343994,15.91999864578247,2.9040006399154663,46.23168625480565,9.411999642848969,component_slot,1
train,30,17.4677791595459,17.169278907775876,3.798027515411377,3.707565402984619,25.935311317443848,4.912678448359172,131.69048757432486,15.333432846436514,component_slot,0
train,8,7.960002899169922,7.960002064704895,1.815000295639038,1.815000295639038,15.919999778270721,3.176250085234642,50.565900950169656,9.548124931752682,component_slot,1
train,1,6.6553425788879395,6.6553425788879395,1.3516833782196045,1.3516833782196045,13.310680866241455,2.703366756439209,34.1484020946574,7.920169430830558,component_slot,2
val,10,16.804443359375,16.50594310760498,3.567063093185425,3.3726348042488095,24.640007400512694,4.737370812892914,119.41214126004493,14.582117439587103,component_slot,0
val,3,7.960000514984131,7.960000514984131,1.815000295639038,1.778700268268585,15.920000235239664,3.146000107129415,50.08432263788867,9.53300017118454,component_slot,1
test,5,17.4677791595459,17.335112380981446,3.3660004138946533,3.31980037689209,23.968444061279296,4.567200517654419,123.3428650307674,14.267822289466858,is_true_rotated,0
test,7,15.554143905639648,15.012110805511472,3.567063093185425,3.2152081966400137,22.935165405273438,4.376012699944632,100.24786849145154,13.520407577226175,is_true_rotated,1
train,17,17.4677791595459,17.4677791595459,3.5970005989074707,3.5970002174377442,23.671895055209887,4.670470756642959,125.00477913051924,14.171182905926424,is_true_rotated,0
train,22,15.55954647064209,15.557260847091674,3.798027515411377,3.769909763336181,23.468536485325206,4.367987183007327,102.92313598667879,13.790820221690828,is_true_rotated,1
val,5,16.804443359375,16.671776580810548,3.135000228881836,3.135000228881836,22.730221271514893,4.3956002473831175,112.67804610267085,13.562910759449005,is_true_rotated,0
val,8,15.554143905639648,15.115227651596069,3.567063093185425,3.1584557771682733,22.563621044158936,4.354213401675224,97.62301875009513,13.325702639022454,is_true_rotated,1
test,8,17.4677791595459,17.235612297058104,3.567063093185425,3.4966911554336546,26.41171944141388,5.120223641395569,138.53817309855876,15.677140009345125,is_true_multi_component,0
test,4,9.3136568069458,9.3136568069458,1.6745753288269043,1.6745753288269043,17.273655652999878,3.1265755891799927,52.53600495138191,10.141211103289129,is_true_multi_component,1
train,22,17.4677791595459,17.434612464904784,3.798027515411377,3.7879761695861816,27.953661051663484,5.328956777399236,152.22206926420841,16.550694963381023,is_true_multi_component,0
train,17,11.958686828613281,11.603836822509765,2.3643851280212402,2.230774974822998,17.867616204654468,3.4268630462534286,61.20615959489267,10.59958029903323,is_true_multi_component,1
val,7,16.804443359375,16.60544319152832,3.567063093185425,3.4374442338943476,26.714619500296457,5.2306698731013705,141.26868139252434,15.86354808255641,is_true_multi_component,0
val,6,11.07155704498291,10.63208293914795,2.0303592681884766,1.976519525051117,17.859623034795124,3.366169889767965,59.24893512774082,10.562556388588298,is_true_multi_component,1
