sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,area_loss_mode,lambda_area_loss,threshold_margin_mode,lambda_threshold_margin,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0482,20000,964,947046.375,949.4924926757812
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0546,20000,1092,940674.25,943.1160888671875
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0564,20000,1128,938643.0625,941.2100830078125
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0466,20000,932,948671.875,951.1019897460938
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0533,20000,1066,942023.375,944.4371948242188
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0552,20000,1104,940249.3125,942.5996704101562
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.052,20000,1040,943298.4375,945.7233276367188
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0515,20000,1030,943742.6875,946.1959838867188
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.054,20000,1080,941148.4375,943.6557006835938
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0504,20000,1008,944821.125,947.2839965820312
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0502,20000,1004,945073.125,947.5084228515625
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0598,20000,1196,935619.375,937.9929809570312
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0498,20000,996,945519.625,947.9298706054688
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0489,20000,978,946434.5625,948.8355102539062
14,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0586,20000,1172,936549.8125,939.0642700195312
15,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0482,20000,964,947086.3125,949.5115966796875
16,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0546,20000,1092,940597.6875,943.0800170898438
17,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0564,20000,1128,938947.5625,941.3538208007812
18,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0466,20000,932,948666.375,951.0994262695312
19,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0533,20000,1066,942028.0625,944.4393920898438
20,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0552,20000,1104,940118.3125,942.5377807617188
21,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.052,20000,1040,943304.6875,945.7263793945312
22,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0515,20000,1030,943739.5,946.1945190429688
23,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.054,20000,1080,941326.4375,943.7398071289062
24,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0504,20000,1008,944899.8125,947.3214111328125
25,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.05315,20000,1063,942087.8125,944.5465698242188
26,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.05905,20000,1181,936307.125,938.7125244140625
27,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.05485,20000,1097,940464.0,942.8853759765625
28,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.05235,20000,1047,942963.125,945.3809204101562
29,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0575,20000,1150,937845.6875,940.2545776367188
30,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0529,20000,1058,942393.9375,944.8225708007812
31,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.0505,20000,1010,944796.0625,947.2197265625
32,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.064,20000,1280,931275.375,933.7322998046875
33,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.05295,20000,1059,942319.0,944.760986328125
34,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,10.0,0.04875,20000,975,946576.8125,948.9816284179688
