step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,center_grid_loss,weighted_center_grid_loss,center_axis_relative_loss,weighted_center_axis_relative_loss,center_bin_loss,weighted_center_bin_loss,center_x_bin_loss,center_y_bin_loss,weighted_center_x_bin_loss,weighted_center_y_bin_loss,center_bin_slot_weight_mean,center_bin_slot_weight_max,center_offset_loss,weighted_center_offset_loss,aux_center_bin_loss,weighted_aux_center_bin_loss,aux_center_offset_loss,weighted_aux_center_offset_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,1.0707606077194214,0.68854159116745,0.0,0.0,0.00540057523176074,0.0,0.0,0.38221898674964905,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0707606077194214,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,0.0008235910790972412,1.3865744108443323e-08,0.0,0.0,0.0008523048018105328,0.0,0.0,0.0008235772256739438,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008235910790972412,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,3.1524661608273163e-05,6.108885486355575e-08,0.0,0.0,8.737358439248055e-05,0.0,0.0,3.146357266814448e-05,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1524661608273163e-05,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,0.00013887160457670689,8.125845596396175e-08,0.0,0.0,3.867319173878059e-05,0.0,0.0,0.00013879034668207169,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013887160457670689,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.0008845267002470791,2.5860325081339397e-07,0.0,0.0,6.345038855215535e-05,0.0,0.0,0.0008842680836096406,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008845267002470791,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,6.512375421152683e-07,5.608037554338807e-07,0.0,0.0,5.215975420469476e-07,0.0,0.0,9.043378668138757e-08,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.512375421152683e-07,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,5.392548700910993e-07,5.36161905984045e-07,0.0,0.0,3.581043728217992e-08,0.0,0.0,3.0929590000283724e-09,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.392548700910993e-07,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,5.014883868170728e-07,5.008159291719494e-07,0.0,0.0,2.838195234389218e-09,0.0,0.0,6.724559242776706e-10,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.014883868170728e-07,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,4.474369688978186e-06,4.157132480031578e-06,0.0,0.0,1.095256493499619e-06,0.0,0.0,3.172370952597703e-07,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.474369688978186e-06,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,3.3316568988084327e-06,3.3276376143476227e-06,0.0,0.0,3.4490685862920145e-08,0.0,0.0,4.0192951189510495e-09,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3316568988084327e-06,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1000,2.7315438728692243e-06,2.7303774459142005e-06,0.0,0.0,6.157760523706202e-09,0.0,0.0,1.1665325372334223e-09,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7315438728692243e-06,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1100,3.903109245584346e-06,2.29034185394994e-06,0.0,0.0,1.8429568982014644e-08,0.0,0.0,1.6127673916344065e-06,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.903109245584346e-06,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1200,1.173147938970942e-05,1.1176416592206806e-05,0.0,0.0,3.1733324590277334e-07,0.0,0.0,5.550626838157768e-07,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.173147938970942e-05,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1300,6.444617156375898e-06,6.43963721813634e-06,0.0,0.0,2.413187161209862e-08,0.0,0.0,4.97984409264518e-09,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.444617156375898e-06,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
