step,train_signal_mse_norm
1,1.0295467376708984
250,0.7733973860740662
500,0.7219222187995911
750,0.7093144655227661
1000,0.7026448249816895
1250,0.7045506834983826
1500,0.6899440288543701
1750,0.6875767111778259
2000,0.6587515473365784
2250,0.6573176980018616
2500,0.6637111902236938
2750,0.7001286745071411
3000,0.6257551908493042
3250,0.6015759110450745
3500,0.5993117094039917
3750,0.6434640884399414
4000,0.5789029002189636
4250,0.5707825422286987
4500,0.5468685030937195
4750,0.5583339333534241
5000,0.5618071556091309
