split,sample_index,component_slot,hard_case_type,component_type,true_center_x_bin,pred_center_x_bin,true_center_y_bin,pred_center_y_bin,x_bin_error,y_bin_error,abs_x_bin_error,abs_y_bin_error,x_bin_correct,y_bin_correct,both_bins_correct,center_offset_mae,center_offset_y_abs,center_offset_y_margin_to_boundary,local_vertex_grid_mae,decoded_vertex_mae,target_bbox_height_grid,defect_axis_y,rotation_angle,is_true_rotated,is_true_multi_component,type_true,type_pred,type_correct,polygon_iou,zero_iou,pred_area,target_area,area_diff,all_bins_exactly_covered,all_bins_within_distance1,max_center_bin_distance_to_train
train,0,0,bins_correct_center_or_offset_bad,rotated_rect,7,7,5,5,0,0,0,0,1,1,1,0.0016026049852371216,0.4606253206729889,0.03937467932701111,0.019340142607688904,7.219706731120823e-06,3.236599922180176,0.000613333333333,0.75,1,0,1,1,1,1.0,0,63,63,0,1,1,0.0
train,1,0,bins_correct_center_or_offset_bad,rectangular_notch,14,14,6,6,0,0,0,0,1,1,1,0.000799618661403656,0.14750008285045624,0.35249991714954376,0.012507155537605286,4.447565515874885e-06,3.366000175476074,0.00068,0.0,0,0,0,0,1,1.0,0,63,63,0,1,1,0.0
train,2,0,bins_correct_center_or_offset_bad,rotated_rect,3,3,3,3,0,0,0,0,1,1,1,0.0010966211557388306,0.2825002074241638,0.21749979257583618,0.004463225603103638,2.7595669962465763e-06,3.9181411266326904,0.000746666666667,-0.75,1,0,1,1,1,0.9891304347826086,0,91,92,-1,1,1,0.0
train,3,0,bins_correct_center_or_offset_bad,rotated_rect,10,10,3,3,0,0,0,0,1,1,1,0.0009765625,0.10937508940696716,0.39062491059303284,0.024098411202430725,8.693463314557448e-06,4.2589111328125,0.000813333333333,0.75,1,0,1,1,1,1.0,0,92,92,0,1,1,0.0
train,4,0,bins_correct_center_or_offset_bad,rectangular_notch,17,17,4,4,0,0,0,0,1,1,1,0.0012623369693756104,0.4987497329711914,0.0012502670288085938,0.01843060553073883,6.725866114720702e-06,3.0359995365142822,0.000613333333333,0.0,0,0,0,0,1,1.0,0,57,57,0,1,1,0.0
train,5,0,bins_correct_center_or_offset_bad,rotated_rect,6,6,4,4,0,0,0,0,1,1,1,0.0006535612046718597,0.10687486082315445,0.39312513917684555,0.010724663734436035,3.901339368894696e-06,3.5665719509124756,0.00068,-0.75,1,0,1,1,1,1.0,0,63,63,0,1,1,0.0
train,6,0,bins_correct_center_or_offset_bad,rotated_rect,6,6,3,3,0,0,0,0,1,1,1,0.0014692842960357666,0.31150001287460327,0.18849998712539673,0.026794061064720154,9.88869578577578e-06,3.1029257774353027,0.000613333333333,-0.25,1,0,1,1,1,0.925,0,80,74,6,1,1,0.0
train,7,0,both_bins_wrong_like,rotated_rect,15,15,4,4,0,0,0,0,1,1,1,0.0021931827068328857,0.3525000214576721,0.14749997854232788,0.025556325912475586,1.0161791578866541e-05,4.3947434425354,0.0022,-0.35,1,1,1,1,1,0.963855421686747,0,166,160,6,1,1,0.0
train,7,1,both_bins_wrong_like,rectangular_notch,17,17,5,5,0,0,0,0,1,1,1,0.0027368739247322083,0.21875032782554626,0.28124967217445374,0.015478461980819702,7.409042154904455e-06,3.630000114440918,0.0022,-0.35,0,1,0,0,1,0.963855421686747,0,166,160,6,1,1,0.0
train,8,0,both_bins_wrong_like,rotated_rect,12,12,6,6,0,0,0,0,1,1,1,0.0006945580244064331,0.35249996185302734,0.14750003814697266,0.020828157663345337,7.506714609917253e-06,4.728769779205322,0.000933333333333,0.35,1,0,1,1,1,1.0,0,120,120,0,1,1,0.0
train,9,0,both_bins_wrong_like,rotated_rect,15,15,5,5,0,0,0,0,1,1,1,0.0017184615135192871,0.3525002896785736,0.1474997103214264,0.03094056248664856,1.1594732313824352e-05,4.728769302368164,0.00223333333333,-0.35,1,1,1,1,1,1.0,0,184,184,0,1,1,0.0
train,9,1,both_bins_wrong_like,rectangular_notch,17,17,6,6,0,0,0,0,1,1,1,0.0028183385729789734,0.21874992549419403,0.28125007450580597,0.018781110644340515,7.746799383312464e-06,3.630000114440918,0.00223333333333,-0.35,0,1,0,0,1,1.0,0,184,184,0,1,1,0.0
train,10,0,both_bins_wrong_like,rotated_rect,9,9,4,4,0,0,0,0,1,1,1,0.0019397735595703125,0.3525000214576721,0.14749997854232788,0.02849861979484558,1.0647912858985364e-05,4.3947434425354,0.0022,-0.35,1,1,1,1,1,0.9696969696969697,0,165,160,5,1,1,0.0
train,10,1,both_bins_wrong_like,rectangular_notch,11,11,5,5,0,0,0,0,1,1,1,0.0024038106203079224,0.21875032782554626,0.28124967217445374,0.01757293939590454,6.687470886390656e-06,3.630000114440918,0.0022,-0.35,0,1,0,0,1,0.9696969696969697,0,165,160,5,1,1,0.0
train,11,0,both_bins_wrong_like,rotated_rect,14,14,6,6,0,0,0,0,1,1,1,0.0008352994918823242,0.35249996185302734,0.14750003814697266,0.024590879678726196,9.105166100198403e-06,4.728769779205322,0.000933333333333,0.35,1,0,1,1,1,1.0,0,120,120,0,1,1,0.0
train,12,0,geometry_or_type_interaction,rotated_rect,15,15,5,5,0,0,0,0,1,1,1,0.0007506348192691803,0.33549976348876953,0.16450023651123047,0.013914719223976135,5.117006367072463e-06,3.349151372909546,0.00161333333333,0.75,1,1,1,1,1,1.0,0,105,105,0,1,1,0.0
train,12,1,geometry_or_type_interaction,rectangular_notch,17,17,5,5,0,0,0,0,1,1,1,0.0014153644442558289,0.2832503318786621,0.2167496681213379,0.00911414623260498,3.997694875579327e-06,2.9040000438690186,0.00161333333333,0.75,0,1,0,0,1,1.0,0,105,105,0,1,1,0.0
train,13,0,geometry_or_type_interaction,rotated_rect,15,15,6,6,0,0,0,0,1,1,1,0.0010523684322834015,0.4332999587059021,0.0667000412940979,0.01769450306892395,6.61962985759601e-06,3.228445291519165,0.00141333333333,0.25,1,1,1,1,1,1.0,0,120,120,0,1,1,0.0
train,13,1,geometry_or_type_interaction,rectangular_notch,16,16,7,7,0,0,0,0,1,1,1,0.0021778084337711334,0.07169991731643677,0.42830008268356323,0.01128096878528595,5.895111826248467e-06,2.9040000438690186,0.00141333333333,0.25,0,1,0,0,1,1.0,0,120,120,0,1,1,0.0
train,14,0,geometry_or_type_interaction,rotated_rect,5,5,7,7,0,0,0,0,1,1,1,0.0007523894309997559,0.23437507450580597,0.26562492549419403,0.01815079152584076,6.727321306243539e-06,3.3491506576538086,0.00211333333333,0.75,1,1,1,1,1,0.9928571428571429,0,139,140,-1,1,1,0.0
train,14,1,geometry_or_type_interaction,rectangular_notch,7,7,7,7,0,0,0,0,1,1,1,0.0020448751747608185,0.3843748867511749,0.11562511324882507,0.01317836344242096,6.30816794000566e-06,2.9040000438690186,0.00211333333333,0.75,0,1,0,0,1,0.9928571428571429,0,139,140,-1,1,1,0.0
train,14,2,geometry_or_type_interaction,rotated_rect,6,6,6,6,0,0,0,0,1,1,1,0.000596851110458374,0.2856249213218689,0.2143750786781311,0.013755172491073608,4.850611730944365e-06,2.703366756439209,0.00211333333333,0.75,1,1,1,1,1,0.9928571428571429,0,139,140,-1,1,1,0.0
train,15,0,geometry_or_type_interaction,rotated_rect,6,6,8,8,0,0,0,0,1,1,1,0.0005942955613136292,0.1509997844696045,0.3490002155303955,0.01034662127494812,3.715656930580735e-06,3.3491506576538086,0.00161333333333,0.75,1,1,1,1,1,1.0,0,105,105,0,1,1,0.0
train,15,1,geometry_or_type_interaction,rectangular_notch,8,8,8,8,0,0,0,0,1,1,1,0.0012976080179214478,0.46775034070014954,0.032249659299850464,0.005880191922187805,3.6009005270898342e-06,2.9040000438690186,0.00161333333333,0.75,0,1,0,0,1,1.0,0,105,105,0,1,1,0.0
train,16,0,geometry_or_type_interaction,rotated_rect,16,16,3,3,0,0,0,0,1,1,1,0.0008195191621780396,0.47237494587898254,0.027625054121017456,0.012752801179885864,4.742119926959276e-06,3.3491506576538086,0.00161333333333,0.75,1,1,1,1,1,1.0,0,105,105,0,1,1,0.0
train,16,1,geometry_or_type_interaction,rectangular_notch,19,19,3,3,0,0,0,0,1,1,1,0.001582220196723938,0.14637532830238342,0.3536246716976166,0.005894467234611511,4.0463637560606e-06,2.9040000438690186,0.00161333333333,0.75,0,1,0,0,1,1.0,0,105,105,0,1,1,0.0
train,17,0,rare_y_bin_wrong,rotated_rect,11,11,2,2,0,0,0,0,1,1,1,0.0009350031614303589,0.3749999403953552,0.12500005960464478,0.015140414237976074,5.7328143157064915e-06,4.424856662750244,0.000833333333333,-0.75,1,0,1,1,1,0.9927536231884058,0,138,137,1,1,1,0.0
