split,abs_y_bin_error,count,mean_polygon_iou,zero_iou_count
test,0,1,0.6835443037974683,0
test,1,3,0.0,3
test,2,6,0.0,6
test,4,1,0.0,1
test,5,1,0.0,1
train,0,39,0.9915859816062439,0
val,0,2,0.08959537572254335,1
val,1,5,0.0,5
val,2,3,0.0,3
val,3,1,0.0,1
val,4,2,0.0,2
