split,hard_case_type,component_count,x_bin_acc,y_bin_acc,both_bins_acc,mean_abs_y_bin_error,mean_polygon_iou,zero_iou_rate,mean_center_offset_y_abs,mean_target_bbox_height_grid,mean_defect_axis_y,mean_rotation_angle,true_rotated_rate,true_multi_component_rate
test,bins_correct_center_or_offset_bad,2,0.5,0.5,0.5,2.5,0.34177215189873417,0.5,0.21500014513731003,3.7908867597579956,0.0007466666666665,-0.375,0.5,0.0
test,both_bins_wrong_like,2,0.5,0.0,0.0,1.0,0.0,1.0,0.3525000661611557,4.227731466293335,0.0008333333333335,0.35,1.0,0.0
test,geometry_or_type_interaction,4,0.5,0.0,0.0,2.5,0.0,1.0,0.2181250617140904,3.126575529575348,0.00161333333333,0.75,0.5,1.0
test,rare_y_bin_wrong,1,1.0,0.0,0.0,1.0,0.0,1.0,0.33499985933303833,4.788426399230957,0.000913333333333,0.75,1.0,0.0
test,x_bin_wrong_like,3,1.0,0.0,0.0,2.0,0.0,1.0,0.18824978327999511,6.712042490641276,0.00132888888889,0.3333333333333333,0.3333333333333333,0.0
train,bins_correct_center_or_offset_bad,7,1.0,1.0,1.0,0.0,0.9877329192546583,0.0,0.2738750438605036,3.497878517423357,0.0006799999999998572,-0.03571428571428571,0.7142857142857143,0.0
train,both_bins_wrong_like,8,1.0,1.0,1.0,0.0,0.9833880978459292,0.0,0.3023438546806574,4.233224511146545,0.0018916666666657501,-0.175,0.625,0.75
train,geometry_or_type_interaction,11,1.0,1.0,1.0,0.0,0.9980519480519481,0.0,0.2968750230290673,3.077128692106767,0.0017133333333300001,0.6590909090909091,0.5454545454545454,1.0
train,rare_y_bin_wrong,3,1.0,1.0,1.0,0.0,0.9926094166846925,0.0,0.3749999403953552,4.681634426116943,0.0008866666666663333,-0.75,1.0,0.0
train,x_bin_wrong_like,10,1.0,1.0,1.0,0.0,0.9934218386467962,0.0,0.2391250436194241,6.924945640563965,0.001378666666666,0.25,0.3,0.0
val,bins_correct_center_or_offset_bad,2,0.0,0.5,0.0,2.0,0.08959537572254335,0.5,0.08906268328428268,4.056129693984985,0.0007800000000000001,0.0,1.0,0.0
val,both_bins_wrong_like,3,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0.2505834649006526,3.9065984090169272,0.0017111111111133333,-0.15,0.6666666666666666,0.6666666666666666
val,geometry_or_type_interaction,4,0.0,0.0,0.0,1.75,0.0,1.0,0.19525000569410622,3.1265753507614136,0.00161333333333,0.75,0.5,1.0
val,rare_y_bin_wrong,1,1.0,0.0,0.0,4.0,0.0,1.0,0.3749997913837433,4.799224853515625,0.000913333333333,-0.75,1.0,0.0
val,x_bin_wrong_like,3,0.3333333333333333,0.0,0.0,1.6666666666666667,0.0,1.0,0.354166845480601,6.5580423672993975,0.00129777777778,0.3333333333333333,0.3333333333333333,0.0
