split,sample_index,hard_case_type,component_count,polygon_iou,zero_iou,any_x_bin_error,any_y_bin_error,all_bins_correct,mean_abs_y_bin_error,mean_local_vertex_grid_mae,pred_area,target_area,area_diff,is_true_rotated,is_true_multi_component,all_bins_exactly_covered,all_bins_within_distance1,max_center_bin_distance_to_train
train,0,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.019340142607688904,63,63,0,1,0,1,1,0.0
train,1,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.012507155537605286,63,63,0,0,0,1,1,0.0
train,2,bins_correct_center_or_offset_bad,1,0.9891304347826086,0,0,0,1,0.0,0.004463225603103638,91,92,-1,1,0,1,1,0.0
train,3,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.024098411202430725,92,92,0,1,0,1,1,0.0
train,4,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.01843060553073883,57,57,0,0,0,1,1,0.0
train,5,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.010724663734436035,63,63,0,1,0,1,1,0.0
train,6,bins_correct_center_or_offset_bad,1,0.925,0,0,0,1,0.0,0.026794061064720154,80,74,6,1,0,1,1,0.0
train,7,both_bins_wrong_like,2,0.963855421686747,0,0,0,1,0.0,0.020517393946647644,166,160,6,1,1,1,1,0.0
train,8,both_bins_wrong_like,1,1.0,0,0,0,1,0.0,0.020828157663345337,120,120,0,1,0,1,1,0.0
train,9,both_bins_wrong_like,2,1.0,0,0,0,1,0.0,0.024860836565494537,184,184,0,1,1,1,1,0.0
train,10,both_bins_wrong_like,2,0.9696969696969697,0,0,0,1,0.0,0.02303577959537506,165,160,5,1,1,1,1,0.0
train,11,both_bins_wrong_like,1,1.0,0,0,0,1,0.0,0.024590879678726196,120,120,0,1,0,1,1,0.0
train,12,geometry_or_type_interaction,2,1.0,0,0,0,1,0.0,0.011514432728290558,105,105,0,1,1,1,1,0.0
train,13,geometry_or_type_interaction,2,1.0,0,0,0,1,0.0,0.01448773592710495,120,120,0,1,1,1,1,0.0
train,14,geometry_or_type_interaction,3,0.9928571428571429,0,0,0,1,0.0,0.015028109153111776,139,140,-1,1,1,1,1,0.0
train,15,geometry_or_type_interaction,2,1.0,0,0,0,1,0.0,0.008113406598567963,105,105,0,1,1,1,1,0.0
train,16,geometry_or_type_interaction,2,1.0,0,0,0,1,0.0,0.009323634207248688,105,105,0,1,1,1,1,0.0
train,17,rare_y_bin_wrong,1,0.9927536231884058,0,0,0,1,0.0,0.015140414237976074,138,137,1,1,0,1,1,0.0
train,18,rare_y_bin_wrong,1,1.0,0,0,0,1,0.0,0.02786201238632202,140,140,0,1,0,1,1,0.0
train,19,rare_y_bin_wrong,1,0.9850746268656716,0,0,0,1,0.0,0.018563181161880493,134,132,2,1,0,1,1,0.0
train,20,x_bin_wrong_like,1,1.0,0,0,0,1,0.0,0.0213833749294281,224,224,0,0,0,1,1,0.0
train,21,x_bin_wrong_like,1,0.9788359788359788,0,0,0,1,0.0,0.026337385177612305,185,189,-4,1,0,1,1,0.0
train,22,x_bin_wrong_like,1,0.9821428571428571,0,0,0,1,0.0,0.027215540409088135,220,224,-4,0,0,1,1,0.0
train,23,x_bin_wrong_like,1,1.0,0,0,0,1,0.0,0.028211921453475952,238,238,0,0,0,1,1,0.0
train,24,x_bin_wrong_like,1,1.0,0,0,0,1,0.0,0.0356651246547699,210,210,0,0,0,1,1,0.0
train,25,x_bin_wrong_like,1,1.0,0,0,0,1,0.0,0.02101197838783264,224,224,0,0,0,1,1,0.0
train,26,x_bin_wrong_like,1,1.0,0,0,0,1,0.0,0.022102832794189453,204,204,0,0,0,1,1,0.0
train,27,x_bin_wrong_like,1,0.9824561403508771,0,0,0,1,0.0,0.032329022884368896,224,228,-4,1,0,1,1,0.0
train,28,x_bin_wrong_like,1,1.0,0,0,0,1,0.0,0.02938300371170044,210,210,0,0,0,1,1,0.0
train,29,x_bin_wrong_like,1,0.9907834101382489,0,0,0,1,0.0,0.027426153421401978,215,217,-2,1,0,1,1,0.0
val,0,bins_correct_center_or_offset_bad,1,0.0,1,1,1,0,4.0,0.7086143493652344,110,71,39,1,0,1,1,0.0
val,1,bins_correct_center_or_offset_bad,1,0.1791907514450867,0,1,0,0,0.0,7.683859825134277,128,76,52,1,0,0,1,1.0
val,2,both_bins_wrong_like,1,0.0,1,0,1,0,1.0,0.6758283972740173,102,84,18,1,0,0,1,1.0
val,3,both_bins_wrong_like,2,0.0,1,1,1,0,0.5,3.7965625524520874,25,152,-127,1,1,0,1,1.0
val,4,geometry_or_type_interaction,2,0.0,1,1,1,0,1.0,3.1438856720924377,38,102,-64,1,1,0,1,1.0
val,5,geometry_or_type_interaction,2,0.0,1,1,1,0,2.5,1.0225775241851807,66,102,-36,1,1,0,1,1.0
val,6,rare_y_bin_wrong,1,0.0,1,0,1,0,4.0,0.16700351238250732,121,140,-19,1,0,0,1,1.0
val,7,x_bin_wrong_like,1,0.0,1,0,1,0,2.0,8.145419120788574,37,202,-165,1,0,0,1,1.0
val,8,x_bin_wrong_like,1,0.0,1,1,1,0,1.0,7.022188186645508,34,224,-190,0,0,0,1,1.0
val,9,x_bin_wrong_like,1,0.0,1,1,1,0,2.0,6.153684616088867,25,238,-213,0,0,1,1,0.0
test,0,bins_correct_center_or_offset_bad,1,0.0,1,1,1,0,5.0,2.79799747467041,124,61,63,1,0,0,1,1.0
test,1,bins_correct_center_or_offset_bad,1,0.6835443037974683,0,0,0,1,0.0,0.3244588375091553,57,76,-19,0,0,1,1,0.0
test,2,both_bins_wrong_like,1,0.0,1,0,1,0,1.0,0.8109058737754822,120,88,32,1,0,0,1,1.0
test,3,both_bins_wrong_like,1,0.0,1,1,1,0,1.0,1.0284748077392578,78,96,-18,1,0,0,1,1.0
test,4,geometry_or_type_interaction,2,0.0,1,0,1,0,3.0,0.7714001834392548,88,109,-21,1,1,0,1,1.0
test,5,geometry_or_type_interaction,2,0.0,1,1,1,0,2.0,3.078396797180176,8,105,-97,1,1,1,1,0.0
test,6,rare_y_bin_wrong,1,0.0,1,0,1,0,1.0,4.862273216247559,32,116,-84,1,0,0,1,1.0
test,7,x_bin_wrong_like,1,0.0,1,0,1,0,2.0,1.0336772203445435,180,204,-24,0,0,0,1,1.0
test,8,x_bin_wrong_like,1,0.0,1,0,1,0,2.0,8.67500114440918,46,217,-171,1,0,0,1,1.0
test,9,x_bin_wrong_like,1,0.0,1,0,1,0,2.0,5.926934242248535,71,245,-174,0,0,0,1,1.0
