split,is_true_multi_component,component_count,x_bin_acc,y_bin_acc,both_bins_acc,mean_abs_y_bin_error,mean_polygon_iou,zero_iou_rate,mean_center_offset_y_abs,mean_target_bbox_height_grid,mean_defect_axis_y,mean_rotation_angle,true_rotated_rate,true_multi_component_rate
test,0,8,0.75,0.125,0.125,1.75,0.08544303797468354,0.875,0.2543437039712444,5.120223790407181,0.001007500000000375,0.2125,0.625,0.0
test,1,4,0.5,0.0,0.0,2.5,0.0,1.0,0.2181250617140904,3.126575529575348,0.00161333333333,0.75,0.5,1.0
train,0,22,1.0,1.0,1.0,0.0,0.9920989577865749,0.0,0.2790170676413585,5.328956766562029,0.0010487878787874545,0.031818181818181815,0.5909090909090909,0.0
train,1,17,1.0,1.0,1.0,0.0,0.9909221300787566,0.0,0.29290448041523204,3.426863067290362,0.0018890196078405882,0.30294117647058827,0.5294117647058824,1.0
val,0,7,0.42857142857142855,0.14285714285714285,0.0,2.0,0.02559867877786953,0.8571428571428571,0.2565893701144627,5.230669839041574,0.0010238095238104287,0.07142857142857142,0.7142857142857143,0.0
val,1,6,0.0,0.16666666666666666,0.0,1.3333333333333333,0.0,1.0,0.2253750868452092,3.3661698500315347,0.0017977777777766666,0.38333333333333336,0.5,1.0
