sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
47,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2696276357110812,1550,1280,96425.640625,272.55010986328125
48,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.18619047619047618,1432,1059,98226.6875,283.5480651855469
49,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23703703703703705,1363,975,83428.265625,249.20924377441406
50,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2340637450199203,1404,1074,85288.3046875,251.41783142089844
51,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24339430894308944,1419,1028,85515.3203125,251.73683166503906
52,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.17971163748712668,1345,946,92192.40625,270.95556640625
53,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.25545322346097915,1406,1184,86622.7734375,253.89410400390625
54,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.258751902587519,1477,1004,80212.65625,241.42422485351562
55,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.1657488986784141,1198,919,93752.5625,274.99945068359375
56,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23597122302158274,1414,1163,89841.2734375,258.51983642578125
57,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.25538623226484497,1414,975,78236.734375,237.87982177734375
58,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.1986131748390292,1390,1030,93731.265625,274.6219787597656
59,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.27636181909045476,1439,1115,82020.328125,244.76910400390625
60,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24716675661090123,1360,951,82816.515625,248.44845581054688
61,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.18809404702351176,1372,1003,98475.953125,285.2314453125
62,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.25439036628198697,1408,1092,82617.5078125,246.14744567871094
63,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.252,1451,1053,85380.796875,252.8840789794922
64,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.17941952506596306,1262,973,93869.609375,275.5899353027344
65,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23407407407407407,1425,1074,87932.90625,256.47265625
66,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2451081359423275,1390,1028,84499.7890625,249.53732299804688
67,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.1813045711350796,1354,946,95378.609375,278.5032653808594
68,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2558361124344926,1452,1184,89462.3515625,259.1319885253906
69,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.25709860609189467,1431,1004,75947.484375,232.68280029296875
70,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.16996258685195084,1270,919,93945.2421875,275.9571228027344
71,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23901747756258857,1460,1163,88312.7265625,255.08023071289062
72,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2558993183009963,1420,975,80456.796875,242.8614501953125
73,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2000966650555824,1453,1030,92746.3671875,272.76617431640625
74,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2742828384499245,1417,1115,82070.8828125,245.06765747070312
75,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2783400809716599,1455,1071,79035.90625,239.3330535888672
76,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2576,1371,987,87350.59375,257.77972412109375
77,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.21237384817902588,1529,1234,105848.390625,295.3084411621094
78,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2590885816692268,1431,1028,78131.40625,237.62738037109375
79,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2533589251439539,1497,1115,90300.90625,261.65838623046875
80,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.20279405137449302,1467,1202,103277.4609375,292.3211669921875
81,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23685553854007146,1430,993,82741.5234375,247.1862030029297
82,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2542627883650953,1423,1078,85620.3984375,251.66427612304688
83,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.20319634703196346,1467,1168,101934.6015625,290.4648132324219
84,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2589641434262948,1415,1113,84858.5078125,251.53529357910156
85,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.26212121212121214,1438,1061,83063.296875,248.04429626464844
86,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.19672897196261682,1421,1140,101169.328125,287.9934387207031
87,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24153386454183268,1423,1070,86887.46875,254.156005859375
88,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.25908618899273106,1401,1024,81904.1171875,245.86239624023438
89,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.21770744225834046,1582,1265,100983.8046875,286.41986083984375
90,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.27884615384615385,1456,1071,81246.0546875,243.9271697998047
91,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.25880469583778015,1372,987,85899.796875,254.70440673828125
92,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.21514114627887082,1607,1234,104550.4765625,294.1348876953125
93,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2607594936708861,1462,1028,78436.4296875,237.20684814453125
94,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.25267249757045673,1463,1115,90862.9765625,263.47119140625
95,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2019013128112268,1453,1202,102618.8125,291.3392639160156
96,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23692307692307693,1419,993,82541.578125,246.79629516601562
97,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.25340737001514385,1405,1078,90290.484375,261.6380615234375
98,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.19841639496972518,1405,1168,103943.453125,293.72137451171875
99,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2607421875,1469,1113,84588.859375,250.29527282714844
