runner config | sample=7 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=3.000000e+00
sample=7 | outer=1/30 | loss_phi=2.471143e+00 | loss_mu=1.996868e+00 | mu_mse=1.815168e+05 | mu_mae=4.237157e+02 | defect_area_pred=38 | defect_area_label=54 | defect_iou=4.545455e-02
sample=7 | outer=2/30 | loss_phi=2.453943e+00 | loss_mu=1.283292e+00 | mu_mse=1.393017e+05 | mu_mae=3.657632e+02 | defect_area_pred=71 | defect_area_label=54 | defect_iou=2.500000e-01
sample=7 | outer=3/30 | loss_phi=2.451044e+00 | loss_mu=1.072291e+00 | mu_mse=1.156118e+05 | mu_mae=3.277473e+02 | defect_area_pred=68 | defect_area_label=54 | defect_iou=3.555556e-01
sample=7 | outer=4/30 | loss_phi=2.449727e+00 | loss_mu=9.357648e-01 | mu_mse=9.871285e+04 | mu_mae=2.975044e+02 | defect_area_pred=62 | defect_area_label=54 | defect_iou=5.064935e-01
sample=7 | outer=5/30 | loss_phi=2.448530e+00 | loss_mu=8.457150e-01 | mu_mse=8.406528e+04 | mu_mae=2.686199e+02 | defect_area_pred=53 | defect_area_label=54 | defect_iou=6.718750e-01
sample=7 | outer=6/30 | loss_phi=2.447200e+00 | loss_mu=8.334689e-01 | mu_mse=7.205916e+04 | mu_mae=2.426376e+02 | defect_area_pred=56 | defect_area_label=54 | defect_iou=7.460318e-01
sample=7 | outer=7/30 | loss_phi=2.445611e+00 | loss_mu=9.489485e-01 | mu_mse=6.558905e+04 | mu_mae=2.270064e+02 | defect_area_pred=61 | defect_area_label=54 | defect_iou=8.253968e-01
sample=7 | outer=8/30 | loss_phi=2.443433e+00 | loss_mu=1.210050e+00 | mu_mse=6.419379e+04 | mu_mae=2.225449e+02 | defect_area_pred=64 | defect_area_label=54 | defect_iou=8.437500e-01
sample=7 | outer=9/30 | loss_phi=2.440237e+00 | loss_mu=1.561394e+00 | mu_mse=6.748663e+04 | mu_mae=2.289593e+02 | defect_area_pred=71 | defect_area_label=54 | defect_iou=7.605634e-01
sample=7 | outer=10/30 | loss_phi=2.434994e+00 | loss_mu=1.973364e+00 | mu_mse=7.473528e+04 | mu_mae=2.444161e+02 | defect_area_pred=81 | defect_area_label=54 | defect_iou=6.666667e-01
sample=7 | outer=11/30 | loss_phi=2.430230e+00 | loss_mu=2.148403e+00 | mu_mse=8.192031e+04 | mu_mae=2.603108e+02 | defect_area_pred=85 | defect_area_label=54 | defect_iou=6.352941e-01
sample=7 | outer=12/30 | loss_phi=2.426388e+00 | loss_mu=2.173484e+00 | mu_mse=8.527563e+04 | mu_mae=2.696656e+02 | defect_area_pred=84 | defect_area_label=54 | defect_iou=6.428571e-01
sample=7 | outer=13/30 | loss_phi=2.422995e+00 | loss_mu=2.113845e+00 | mu_mse=8.679331e+04 | mu_mae=2.748264e+02 | defect_area_pred=81 | defect_area_label=54 | defect_iou=6.666667e-01
