sample_index,signal_normalization,conditioning_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,train_zscore,film,1.0,3,3,731.1592407226562,7.846596717834473
1,train_zscore,film,1.0,7,7,551.3699340820312,5.554914474487305
2,train_zscore,film,1.0,6,6,230.13632202148438,3.729189872741699
3,train_zscore,film,1.0,4,4,461.4674072265625,4.853694915771484
4,train_zscore,film,1.0,6,6,350.84783935546875,4.166335582733154
5,train_zscore,film,1.0,6,6,738.0491943359375,8.106359481811523
6,train_zscore,film,1.0,6,6,166.27545166015625,3.0397753715515137
7,train_zscore,film,1.0,6,6,1124.6190185546875,11.7615327835083
8,train_zscore,film,1.0,5,5,798.9971923828125,8.678642272949219
9,train_zscore,film,1.0,12,12,1345.97607421875,14.0512113571167
10,train_zscore,film,1.0,10,10,284.1417236328125,3.7237017154693604
11,train_zscore,film,1.0,4,4,135.02369689941406,2.9107940196990967
12,train_zscore,film,1.0,3,3,108.61408233642578,1.8274809122085571
13,train_zscore,film,1.0,9,9,374.6833190917969,5.372759819030762
14,train_zscore,film,1.0,8,8,486.85772705078125,7.098379135131836
15,train_zscore,film,0.0,0,6,29464.63671875,30.435771942138672
16,train_zscore,film,1.0,6,6,380.9305725097656,5.083950519561768
17,train_zscore,film,1.0,3,3,432.1825256347656,4.55981969833374
18,train_zscore,film,1.0,6,6,318.6649169921875,3.6829822063446045
19,train_zscore,film,1.0,4,4,243.0300750732422,3.4871044158935547
20,train_zscore,film,1.0,6,6,329.8399963378906,4.559805393218994
21,train_zscore,film,1.0,8,8,1128.8974609375,9.478994369506836
22,train_zscore,film,1.0,11,11,957.5323486328125,8.173406600952148
23,train_zscore,film,1.0,12,12,873.718994140625,8.481334686279297
24,train_zscore,film,1.0,8,8,357.6634521484375,4.869077682495117
25,train_zscore,film,1.0,3,3,512.4527587890625,7.136516571044922
26,train_zscore,film,1.0,9,9,384.7548828125,4.837250232696533
27,train_zscore,film,1.0,7,7,178.34774780273438,2.5268800258636475
28,train_zscore,film,1.0,13,13,377.25897216796875,3.86677885055542
29,train_zscore,film,1.0,6,6,497.04559326171875,6.8948259353637695
30,train_zscore,film,1.0,5,5,87.2361831665039,1.8917171955108643
31,train_zscore,film,1.0,9,9,107.52040100097656,1.876044511795044
32,train_zscore,film,1.0,11,11,692.0708618164062,6.040158748626709
33,train_zscore,film,1.0,7,7,1336.5904541015625,14.797990798950195
34,train_zscore,film,1.0,3,3,148.1669921875,2.7182652950286865
35,train_zscore,film,1.0,4,4,311.2866516113281,4.115871429443359
36,train_zscore,film,1.0,4,4,145.63311767578125,2.7669289112091064
37,train_zscore,film,1.0,6,6,364.741943359375,4.2342143058776855
38,train_zscore,film,1.0,5,5,506.41864013671875,5.498816013336182
39,train_zscore,film,1.0,7,7,399.7698974609375,4.700246334075928
40,train_zscore,film,1.0,9,9,705.0232543945312,6.5096025466918945
41,train_zscore,film,1.0,16,16,1911.25439453125,18.388341903686523
42,train_zscore,film,1.0,6,6,751.8704833984375,9.233503341674805
43,train_zscore,film,1.0,9,9,398.2002258300781,6.303593635559082
44,train_zscore,film,1.0,6,6,258.0453186035156,4.187926292419434
45,train_zscore,film,1.0,5,5,230.2016143798828,3.0914762020111084
46,train_zscore,film,1.0,5,5,40.25093078613281,1.5374168157577515
47,train_zscore,film,1.0,7,7,1381.1026611328125,10.632587432861328
48,train_zscore,film,1.0,7,7,356.0799560546875,4.703073501586914
49,train_zscore,film,1.0,6,6,120.14679718017578,1.8739880323410034
50,train_zscore,film,1.0,3,3,233.7635498046875,4.921717643737793
51,train_zscore,film,1.0,8,8,1611.7138671875,16.003633499145508
52,train_zscore,film,1.0,11,11,1087.7703857421875,11.101271629333496
53,train_zscore,film,1.0,6,6,321.65936279296875,4.733033657073975
54,train_zscore,film,1.0,5,5,280.58197021484375,3.842498540878296
55,train_zscore,film,1.0,10,10,280.766357421875,5.308957099914551
56,train_zscore,film,1.0,11,11,1891.2974853515625,15.690288543701172
57,train_zscore,film,1.0,14,14,1385.225830078125,10.512328147888184
58,train_zscore,film,1.0,11,11,458.5613708496094,5.978855133056641
59,train_zscore,film,1.0,6,6,391.8318786621094,4.505831718444824
60,train_zscore,film,1.0,12,12,1514.895751953125,11.933252334594727
