hard_case_type,sample_count,mean_iou,min_iou,mean_area_diff,overpred_count,mean_max_abs_dx_cells,mean_max_abs_dy_cells,mean_max_edge_diff_cells
bins_correct_center_or_offset_bad,7,0.6822152020840989,0.5185185185185185,6.857142857142857,5,0.7124271677977791,1.4033160548173935,1.6698035080302205
both_bins_wrong_like,5,0.7404400778864659,0.6166666666666667,17.4,4,0.7982984478612549,1.6161154833731906,2.09917261699842
geometry_or_type_interaction,5,0.6541468625043986,0.6273291925465838,36.2,5,0.8438577202638473,1.8120326060056988,2.371849383259181
rare_y_bin_wrong,3,0.7202308802308802,0.6787878787878788,2.6666666666666665,1,0.5003417139017965,1.3707374994621613,1.2784352195219342
x_bin_wrong_like,10,0.8034224753169402,0.7598566308243727,30.0,10,0.7158147793887693,1.7179265924094254,2.413318217986591
