split,sample_index,hard_case_type,zero_iou,polygon_iou,heldout_bin_pairs,all_bins_covered_by_train,uncovered_component_count,nearest_train_sample_index,nearest_train_hard_case_type,center_bin_distance,center_coord_distance,bbox_size_distance,area_distance,hard_case_type_match,true_rotated_match,true_multi_component_match,heldout_true_rotated,heldout_true_multi_component,nearest_train_true_rotated,nearest_train_true_multi_component
val,0,x_bin_wrong_like,False,0.1977077363896848,15:5,True,0,11,both_bins_wrong_like,0.0,0.00200172371318587,0.001874055371445138,3.4607395945565007e-06,False,False,False,False,False,True,True
val,1,x_bin_wrong_like,True,0.0,4:6,False,1,0,x_bin_wrong_like,2.0,0.0034305008886090513,0.0016236554947681725,3.3374797903612074e-06,True,False,True,False,False,True,False
val,2,x_bin_wrong_like,True,0.0,11:6,False,1,13,both_bins_wrong_like,1.0,0.004960232867845556,0.0023950317699927837,5.380741482161369e-06,False,True,False,True,False,True,True
val,3,both_bins_wrong_like,True,0.0,13:4;15:5,False,1,22,geometry_or_type_interaction,1.5,0.004970557177771607,0.0012607360258698463,3.2711114365857617e-06,False,True,True,True,True,True,True
val,4,both_bins_wrong_like,True,0.0,10:6,False,1,1,x_bin_wrong_like,1.0,0.0024100826569275983,0.004191560750768986,9.637924451303285e-06,False,False,True,True,False,False,False
val,5,bins_correct_center_or_offset_bad,False,0.5263157894736842,14:6,True,0,17,bins_correct_center_or_offset_bad,0.0,9.313225746154785e-10,0.0010222227792837657,4.385183143236236e-07,True,True,True,False,False,False,False
val,6,bins_correct_center_or_offset_bad,True,0.0,6:3,False,1,21,bins_correct_center_or_offset_bad,1.0,0.0029209899788611164,0.00010963622480630875,5.511126233762303e-07,True,True,True,True,False,True,False
val,7,geometry_or_type_interaction,True,0.0,16:3;19:3,False,2,20,bins_correct_center_or_offset_bad,2.5,0.0006240420045556053,0.00725137023255229,3.7357045678911623e-06,False,False,False,True,True,False,False
val,8,geometry_or_type_interaction,True,0.0,5:4;8:5,False,2,21,bins_correct_center_or_offset_bad,2.0,0.0009714287861970157,0.007387823308818042,2.9119982667342222e-06,False,True,False,True,True,True,False
val,9,rare_y_bin_wrong,True,0.0,13:8,False,1,4,x_bin_wrong_like,2.0,0.0030339384259981165,0.0006695858464809135,6.628150845404996e-06,False,True,True,True,False,True,False
test,0,x_bin_wrong_like,False,0.4105960264900662,13:6,True,0,4,x_bin_wrong_like,0.0,0.0005200000014156103,1.4551915228366852e-11,1.360274536781926e-13,True,True,True,True,False,True,False
test,1,x_bin_wrong_like,False,0.43356643356643354,20:7,False,1,5,x_bin_wrong_like,1.0,0.0005200000014156103,8.731149137020111e-11,1.1331090688133927e-12,True,True,True,False,False,False,False
test,2,x_bin_wrong_like,True,0.0,9:5,False,1,13,both_bins_wrong_like,1.0,0.0018859771449070233,0.0016619975795038044,4.4088891986262185e-06,False,False,False,False,False,True,True
test,3,both_bins_wrong_like,True,0.0,15:4;17:5,False,1,11,both_bins_wrong_like,1.0,0.00161616166587919,0.00021205731900408864,9.481484449744371e-07,True,True,True,True,True,True,True
test,4,both_bins_wrong_like,True,0.0,12:6,False,1,12,both_bins_wrong_like,1.0,0.001616161665879194,0.0008482293342240155,1.8488894060911815e-06,True,True,True,True,False,True,False
test,5,bins_correct_center_or_offset_bad,True,0.0,12:3,False,1,29,rare_y_bin_wrong,1.0,0.003389117069856741,0.003986265044659376,6.071111174974029e-06,False,True,True,True,False,True,False
test,6,bins_correct_center_or_offset_bad,True,0.0,19:3,False,1,15,bins_correct_center_or_offset_bad,3.0,0.004513420079666285,0.000506559677887708,1.8962984327486028e-07,True,True,True,True,False,True,False
test,7,geometry_or_type_interaction,True,0.0,14:4;16:3,False,2,22,geometry_or_type_interaction,2.0,0.0031977036819263033,0.0007111119921319187,1.4087590652128636e-12,True,True,True,True,True,True,True
test,8,geometry_or_type_interaction,True,0.0,15:5;17:5,True,0,23,geometry_or_type_interaction,0.5,0.0012484561540907102,0.002133333240635693,1.9643111125850453e-13,True,True,True,True,True,True,True
test,9,rare_y_bin_wrong,True,0.0,13:4,False,1,29,rare_y_bin_wrong,1.0,0.0016161620151251554,8.278543828055263e-05,9.173347863786037e-07,True,True,True,True,False,True,False
