true_center_x_bin,true_center_y_bin,train_component_count,train_sample_count,hard_case_types,rotated_count,multi_component_count
3,3,1,1,bins_correct_center_or_offset_bad,1,0
3,5,1,1,x_bin_wrong_like,1,0
5,5,1,1,x_bin_wrong_like,1,0
5,7,1,1,geometry_or_type_interaction,1,1
6,4,1,1,bins_correct_center_or_offset_bad,1,0
6,6,2,2,geometry_or_type_interaction;x_bin_wrong_like,1,1
6,8,1,1,geometry_or_type_interaction,1,1
7,5,1,1,bins_correct_center_or_offset_bad,1,0
7,7,1,1,geometry_or_type_interaction,1,1
8,8,1,1,geometry_or_type_interaction,1,1
9,4,1,1,both_bins_wrong_like,1,1
9,7,1,1,x_bin_wrong_like,0,0
10,3,1,1,bins_correct_center_or_offset_bad,1,0
10,4,1,1,both_bins_wrong_like,1,0
10,5,1,1,x_bin_wrong_like,0,0
11,2,1,1,rare_y_bin_wrong,1,0
11,5,1,1,both_bins_wrong_like,1,1
12,5,1,1,x_bin_wrong_like,0,0
12,7,2,2,both_bins_wrong_like;rare_y_bin_wrong,2,0
13,3,1,1,rare_y_bin_wrong,1,0
13,6,1,1,x_bin_wrong_like,1,0
14,5,1,1,geometry_or_type_interaction,1,1
14,6,2,2,bins_correct_center_or_offset_bad;both_bins_wrong_like,1,0
15,5,1,1,both_bins_wrong_like,1,1
15,6,2,2,geometry_or_type_interaction,2,2
16,5,1,1,x_bin_wrong_like,0,0
16,6,1,1,geometry_or_type_interaction,1,1
16,7,1,1,geometry_or_type_interaction,1,1
17,4,1,1,bins_correct_center_or_offset_bad,0,0
17,5,2,2,geometry_or_type_interaction;x_bin_wrong_like,1,1
17,6,1,1,both_bins_wrong_like,1,1
18,5,1,1,bins_correct_center_or_offset_bad,1,0
20,6,1,1,x_bin_wrong_like,0,0
