split,sample_index,hard_case_type,true_center_x_bin,true_center_y_bin,zero_iou,polygon_iou,is_true_rotated,is_true_multi_component
val,1,x_bin_wrong_like,4,6,True,0.0,False,False
val,2,x_bin_wrong_like,11,6,True,0.0,True,False
val,3,both_bins_wrong_like,13,4,True,0.0,True,True
val,4,both_bins_wrong_like,10,6,True,0.0,True,False
val,6,bins_correct_center_or_offset_bad,6,3,True,0.0,True,False
val,7,geometry_or_type_interaction,16,3,True,0.0,True,True
val,7,geometry_or_type_interaction,19,3,True,0.0,True,True
val,8,geometry_or_type_interaction,5,4,True,0.0,True,True
val,8,geometry_or_type_interaction,8,5,True,0.0,True,True
val,9,rare_y_bin_wrong,13,8,True,0.0,True,False
test,1,x_bin_wrong_like,20,7,False,0.43356643356643354,False,False
test,2,x_bin_wrong_like,9,5,True,0.0,False,False
test,3,both_bins_wrong_like,15,4,True,0.0,True,True
test,4,both_bins_wrong_like,12,6,True,0.0,True,False
test,5,bins_correct_center_or_offset_bad,12,3,True,0.0,True,False
test,6,bins_correct_center_or_offset_bad,19,3,True,0.0,True,False
test,7,geometry_or_type_interaction,14,4,True,0.0,True,True
test,7,geometry_or_type_interaction,16,3,True,0.0,True,True
test,9,rare_y_bin_wrong,13,4,True,0.0,True,False
