group_by,group_value,count,mean_mask_iou,mean_center_grid_error,x_bin_wrong_rate,y_bin_wrong_rate,both_bins_correct_rate,mean_abs_offset_x_error,mean_abs_offset_y_error
split,test,60,0.5557905429328067,2.8136880763941323,0.16666666666666663,0.033333333333333326,0.8,0.29019857250228004,0.13496651256925388
split,train,300,0.7095377156483835,0.7914390035732756,0.013333333333333308,0.00666666666666671,0.98,0.08258197439593876,0.04820730851079996
split,val,60,0.545283557555796,3.4208978370899703,0.18333333333333335,0.15000000000000002,0.7,0.3168692780649319,0.1782338680946931
component_slot,0,140,0.6641089541043598,1.4586854993887512,0.0714285714285714,0.021428571428571463,0.9142857142857143,0.13755284762003364,0.06028326229958502
component_slot,1,140,0.6641089541043598,1.4010249631632912,0.0,0.05714285714285716,0.9428571428571428,0.11130915646861166,0.12389047620583192
component_slot,2,140,0.6641089541043598,1.5081956508838745,0.1071428571428571,0.014285714285714235,0.8857142857142857,0.1882713055743143,0.053356371445131674
type_true,rectangular_notch,210,0.6745531575146999,1.391562478925923,0.05238095238095242,0.023809523809523836,0.9285714285714286,0.13390316451875658,0.07452889339627221
type_true,rotated_rect,210,0.6536647506940187,1.5203749300313563,0.06666666666666665,0.03809523809523807,0.9,0.1575190419232165,0.08382451323742693
x_bin_correct,false,25,0.5526597968863883,4.351838601434563,1.0,0.07999999999999996,0.0,0.532956163262434,0.10283138652374343
x_bin_correct,true,395,0.6711626982320794,1.2726857996080119,0.0,0.027848101265822822,0.9721518987341772,0.12120192220570511,0.07767957146831195
y_bin_correct,false,13,0.49866551832933925,5.485823700268881,0.15384615384615385,1.0,0.0,0.3063283562836682,0.4909679411208039
y_bin_correct,true,407,0.6693933881708836,1.327250977340377,0.05651105651105648,0.0,0.9434889434889435,0.14058082241063066,0.06602366623711638
both_bins_correct,false,36,0.5438962650433333,4.426768764696545,0.6944444444444444,0.36111111111111116,0.0,0.45691952345434445,0.239620087348979
both_bins_correct,true,384,0.6753788937038312,1.177456198833211,0.0,0.0,1.0,0.1165353138241093,0.0641351360638374
mask_iou_bin,0.40-0.50,21,0.4733800843873791,4.212481152535598,0.23809523809523814,0.1428571428571429,0.6190476190476191,0.38198376004403495,0.16589447993921813
mask_iou_bin,0.50-0.60,81,0.5481109808723257,2.537843648846274,0.11111111111111116,0.03703703703703709,0.8518518518518519,0.2640818720088596,0.11491560778478205
mask_iou_bin,<0.40,9,0.36850725540619184,5.867510944094767,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.40260108433145203,0.26546548190170116
mask_iou_bin,>=0.60,309,0.7160881042148288,0.8565430991080262,0.02265372168284785,0.009708737864077666,0.9676375404530745,0.0911422750815175,0.05848892474650671
target_area_bin,1000-1500,330,0.6619835300292916,1.482016202716361,0.05757575757575761,0.033333333333333326,0.9151515151515152,0.1487636046329313,0.07983691394045683
target_area_bin,500-1000,90,0.671902175712941,1.360461210940327,0.06666666666666665,0.022222222222222254,0.9111111111111111,0.13451859804385624,0.07675593103028946
rotation_bin,15-45deg,69,0.6623909787773353,1.6056101507988358,0.04347826086956519,0.05797101449275366,0.8985507246376812,0.12679356042685033,0.11805139783426491
rotation_bin,<15deg,351,0.6644466757498431,1.4265520099028748,0.06267806267806264,0.02564102564102566,0.9173789173789174,0.14942993641983396,0.07153466935188756
