sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
59,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1115,215575.6875,463.9378967285156
60,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,951,214936.34375,463.2998962402344
61,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1003,215492.09375,463.8890075683594
62,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1092,215484.828125,463.8471984863281
63,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1053,215338.625,463.7019348144531
64,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,973,215009.15625,463.3707580566406
65,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1074,215442.515625,463.8079528808594
66,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1028,215241.75,463.6048583984375
67,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,946,214948.609375,463.31463623046875
68,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1184,215855.640625,464.21868896484375
69,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1004,215141.890625,463.5047912597656
70,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,919,214857.390625,463.22509765625
71,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1163,215773.71875,464.1365051269531
72,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,975,215041.796875,463.40625
73,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1030,215254.0625,463.61749267578125
74,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1115,215572.125,463.9340515136719
75,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1071,215399.109375,463.76104736328125
76,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,987,215081.421875,463.44500732421875
77,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1234,216196.5,464.5732116699219
78,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1028,215228.515625,463.5905456542969
79,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1115,215585.609375,463.9488525390625
80,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1202,215956.890625,464.32275390625
81,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,993,215095.6875,463.45843505859375
82,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1078,215432.140625,463.7943115234375
83,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1168,215869.125,464.23968505859375
84,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1113,215592.453125,463.9572448730469
85,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1061,215370.09375,463.7330627441406
86,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1140,215725.3125,464.09259033203125
87,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1070,215403.921875,463.7666015625
88,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1024,215229.078125,463.59271240234375
89,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1265,216190.71875,464.5549621582031
90,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1071,215413.046875,463.7763977050781
91,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,987,215082.859375,463.44659423828125
92,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1234,216049.515625,464.4112854003906
93,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1028,215230.921875,463.59320068359375
94,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1115,215589.140625,463.9527587890625
95,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1202,215933.03125,464.2965087890625
96,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,993,215099.5,463.462646484375
97,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1078,215459.15625,463.8239440917969
98,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1168,216017.25,464.402587890625
99,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1113,215549.234375,463.9097595214844
