split,sample_index,hard_case_type,true_center_x_bin,true_center_y_bin,zero_iou,polygon_iou,is_true_rotated,is_true_multi_component
val,1,bins_correct_center_or_offset_bad,18,5,False,0.2716049382716049,True,False
val,2,both_bins_wrong_like,10,4,True,0.0,True,False
val,3,both_bins_wrong_like,13,4,True,0.0,True,True
val,4,geometry_or_type_interaction,14,5,True,0.0,True,True
val,4,geometry_or_type_interaction,16,6,True,0.0,True,True
val,5,geometry_or_type_interaction,5,4,True,0.0,True,True
val,5,geometry_or_type_interaction,8,5,True,0.0,True,True
val,6,rare_y_bin_wrong,13,4,True,0.0,True,False
val,7,x_bin_wrong_like,13,6,True,0.0,True,False
val,8,x_bin_wrong_like,12,5,True,0.0,False,False
test,0,bins_correct_center_or_offset_bad,12,3,True,0.0,True,False
test,2,both_bins_wrong_like,12,7,True,0.0,True,False
test,3,both_bins_wrong_like,10,6,True,0.0,True,False
test,4,geometry_or_type_interaction,14,4,True,0.0,True,True
test,6,rare_y_bin_wrong,12,7,True,0.0,True,False
test,7,x_bin_wrong_like,9,5,True,0.0,False,False
test,8,x_bin_wrong_like,13,6,True,0.0,True,False
test,9,x_bin_wrong_like,16,5,True,0.0,False,False
