sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9115450890292935,1703,1625,27418.0859375,119.55927276611328
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9330341732827062,2783,2817,40300.65234375,153.90150451660156
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.8623534520191055,2084,2205,34537.72265625,134.92813110351562
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.8938407611417125,1875,1907,30082.251953125,124.54462432861328
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9058854718981972,3626,3563,55478.64453125,188.17300415039062
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.8105065666041276,2042,1818,40863.45703125,150.2274627685547
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9092208720514653,1355,1316,27457.33203125,119.43103790283203
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.904096834264432,2089,2001,37363.28515625,144.76873779296875
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.8823724320742213,2949,2732,44730.48828125,162.2073516845703
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9333333333333333,1575,1586,27279.34765625,123.12934112548828
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.09597607395323546,2874,1157,99848.34375,246.0970001220703
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.233093881595244,2874,2104,100936.28125,247.18600463867188
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.21841359773371105,2874,1427,96546.3984375,242.791748046875
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.2955223880597015,2874,2768,98444.5390625,244.69175720214844
14,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.725,2874,3612,75106.796875,221.3306427001953
15,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.242960944595822,2874,2600,109163.125,255.4210968017578
16,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.526431718061674,2874,2670,80092.7578125,226.3216552734375
17,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.5807955251709136,2874,2213,78813.4140625,225.04100036621094
18,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.5580645161290323,2874,1956,76447.2734375,222.67250061035156
19,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.41410763149893587,2874,1777,83968.2890625,230.2010498046875
20,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.2198047419804742,2874,1499,93336.6328125,239.57875061035156
21,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.18660812294182216,2874,1450,97075.3515625,243.32122802734375
22,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.4447544642857143,2874,2304,85327.65625,231.561767578125
23,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.5350785340314136,2874,2990,82631.5546875,228.86297607421875
24,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.4270103670495937,2874,2219,84666.421875,230.8998565673828
25,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.21424731182795698,2874,1643,97023.0390625,243.2688751220703
