run,split,sample_index,hard_case_type,polygon_iou,zero_iou,component_count,all_bins_correct,max_x_bin_abs_error,max_y_bin_abs_error,mean_hard_center_l2_error_grid,mean_soft_center_l2_error_grid,mean_local_vertex_mae_grid,mean_decoded_vertex_mae
soft_decoded_center_consistency,train,0,bins_correct_center_or_offset_bad,1.0,0,1,1,0.0,0.0,0.019850843503836087,0.01974494499672878,0.006634414196014404,3.956844466301845e-06
soft_decoded_center_consistency,train,1,bins_correct_center_or_offset_bad,1.0,0,1,1,0.0,0.0,0.015987548825944723,0.015921879712840738,0.010762721300125122,4.962703314959072e-06
soft_decoded_center_consistency,train,2,bins_correct_center_or_offset_bad,0.967391304347826,0,1,1,0.0,0.0,0.022740560241141548,0.022959987999316363,0.004483625292778015,3.931054379791021e-06
soft_decoded_center_consistency,train,3,bins_correct_center_or_offset_bad,0.989247311827957,0,1,1,0.0,0.0,0.01797007140530786,0.018518565759114845,0.010457783937454224,4.896141035715118e-06
soft_decoded_center_consistency,train,4,bins_correct_center_or_offset_bad,1.0,0,1,1,0.0,0.0,0.0208735871345905,0.020881134035625686,0.011632323265075684,5.8193691074848175e-06
soft_decoded_center_consistency,train,5,bins_correct_center_or_offset_bad,1.0,0,1,1,0.0,0.0,0.019868428304374918,0.019815439545607282,0.0051314085721969604,3.511086106300354e-06
soft_decoded_center_consistency,train,6,bins_correct_center_or_offset_bad,0.8625,0,1,1,0.0,0.0,0.020087289827101108,0.02041042835127853,0.003204047679901123,3.73504008166492e-06
soft_decoded_center_consistency,train,7,both_bins_wrong_like,0.975609756097561,0,2,1,0.0,0.0,0.009936226189645759,0.009907384283220183,0.001325465738773346,1.4731031114934012e-06
soft_decoded_center_consistency,train,8,both_bins_wrong_like,1.0,0,1,1,0.0,0.0,0.010981805850263286,0.010956627688664365,0.015907227993011475,5.970628990326077e-06
soft_decoded_center_consistency,train,9,both_bins_wrong_like,1.0,0,2,1,0.0,0.0,0.009315870104070255,0.009271659258439102,0.0015895739197731018,1.449384853913216e-06
soft_decoded_center_consistency,train,10,both_bins_wrong_like,0.975609756097561,0,2,1,0.0,0.0,0.010694324307807932,0.010654900597536964,0.0020829811692237854,1.8213977455161512e-06
