run,split,components,samples,mean_iou,zero_iou_count,x_bin_acc,y_bin_acc,x_bin_abs_error,y_bin_abs_error,hard_center_l2_error_grid,soft_center_l2_error_grid,local_vertex_mae_grid
soft_decoded_center_consistency,train,39,30,0.9836331190958457,0,1.0,1.0,0.0,0.0,0.017544979832830987,0.017564028409076102,0.011918179117716275
soft_decoded_center_consistency,val,13,10,0.0,10,0.38461538461538464,0.15384615384615385,1.6153846153846154,1.8461538461538463,23.56989664990074,19.36201520249832,3.3309139357163358
soft_decoded_center_consistency,test,12,10,0.034210526315789476,9,0.9166666666666666,0.16666666666666666,0.08333333333333333,1.5833333333333333,12.706467320107963,13.80141037628412,3.0972566405932107
