sample_index,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,1.0,4,4,2169.5087890625,13.967041015625
1,0.75,6,8,10156.38671875,25.328258514404297
2,1.0,5,5,2453.51513671875,14.810730934143066
3,0.8,5,4,6434.14306640625,23.41817855834961
4,1.0,7,7,5973.07373046875,25.570270538330078
5,1.0,16,16,6176.5185546875,29.48471450805664
6,1.0,6,6,4533.396484375,22.194955825805664
7,0.75,3,4,6941.060546875,17.605924606323242
8,1.0,4,4,2224.6162109375,14.155245780944824
9,1.0,11,11,4103.17236328125,19.57599449157715
10,0.0,0,4,19976.859375,27.472414016723633
11,0.8333333333333334,5,6,9485.37109375,24.54404067993164
12,1.0,3,3,2768.7666015625,12.879436492919922
13,1.0,5,5,4761.3076171875,22.4655704498291
14,0.0,0,3,17004.333984375,23.47915267944336
15,1.0,4,4,6050.04296875,22.005704879760742
16,0.8888888888888888,8,9,5547.3935546875,22.4895076751709
17,1.0,9,9,4012.3984375,20.8994140625
18,1.0,8,8,4618.9423828125,18.66021728515625
19,0.4,3,4,13450.6748046875,27.76280975341797
