method,threshold,avg_defect_iou,median_defect_iou,avg_defect_area_pred,avg_abs_area_error,avg_centroid_distance,samples
largest_connected_component,100,0.04340166363797068,0.0,311.91,800.07,2.5732103576902783,100
largest_connected_component,200,0.09488258581125365,0.0,400.55,762.33,1.623614325823001,100
largest_connected_component,300,0.21112506568955564,0.1888768115942029,539.05,682.13,0.9674168102625056,100
largest_connected_component,400,0.48559206215428996,0.49981831622999906,787.38,520.4,0.6098205608124637,100
largest_connected_component,500,0.8058842482236274,0.8694556835323475,1181.09,305.21,0.4257430641803521,100
largest_connected_component,600,0.5734961902223699,0.6114361880866507,1801.46,918.54,0.6221653013551424,100
largest_connected_component,700,0.32993443694910485,0.32423736669351266,3492.35,2609.43,2.3059006350541487,100
oracle_area_topk,,0.7788533890689314,0.8634785786060108,882.92,0.0,0.5667255673381351,100
raw_threshold_500,500,0.8047192235432842,0.8638024116639188,1213.09,335.59,0.41955453947987403,100
threshold,100,0.04340166363797068,0.0,311.91,800.07,2.5732103576902783,100
threshold,200,0.0977775933803218,0.0,408.55,756.07,1.5958238013753085,100
threshold,300,0.21438238651021774,0.19190626460963067,548.17,685.57,0.9428546473649945,100
threshold,400,0.4880163980511493,0.49981831622999906,800.3,523.3,0.607616981825723,100
threshold,500,0.8047192235432842,0.8638024116639188,1213.09,335.59,0.41955453947987403,100
threshold,600,0.5610723885562584,0.5952744095786511,1881.9,998.98,0.6782338397392674,100
threshold,700,0.29582490056867866,0.2804211961719873,4211.9,3328.98,2.474381881020776,100
