sample_index,method,threshold,defect_area_pred,defect_area_label,defect_iou,centroid_distance,note
0,raw_threshold_500,500,772,768,0.9768934531450578,0.009197447082789006,S42 default mask threshold
0,threshold,100,0,768,0.0,,direct threshold sweep
0,largest_connected_component,100,0,768,0.0,,8-neighborhood largest component after threshold
0,threshold,200,206,768,0.2682291666666667,0.3566674053911807,direct threshold sweep
0,largest_connected_component,200,206,768,0.2682291666666667,0.3566674053911807,8-neighborhood largest component after threshold
0,threshold,300,398,768,0.5182291666666666,0.2216660247007804,direct threshold sweep
0,largest_connected_component,300,398,768,0.5182291666666666,0.2216660247007804,8-neighborhood largest component after threshold
0,threshold,400,578,768,0.7526041666666666,0.11753643215388433,direct threshold sweep
0,largest_connected_component,400,578,768,0.7526041666666666,0.11753643215388433,8-neighborhood largest component after threshold
0,threshold,500,772,768,0.9768934531450578,0.009197447082789006,direct threshold sweep
0,largest_connected_component,500,772,768,0.9768934531450578,0.009197447082789006,8-neighborhood largest component after threshold
0,threshold,600,1000,768,0.768,0.10672798272166913,direct threshold sweep
0,largest_connected_component,600,1000,768,0.768,0.10672798272166913,8-neighborhood largest component after threshold
0,threshold,700,3707,768,0.2071756137038036,3.9816027264157983,direct threshold sweep
0,largest_connected_component,700,3700,768,0.20756756756756756,3.9991328304321536,8-neighborhood largest component after threshold
0,oracle_area_topk,,768,768,0.9768339768339769,0.008640939436707216,diagnostic oracle: lowest mu_pred values with label_area pixels
1,raw_threshold_500,500,643,666,0.883453237410072,0.009527808657922696,S42 default mask threshold
1,threshold,100,0,666,0.0,,direct threshold sweep
1,largest_connected_component,100,0,666,0.0,,8-neighborhood largest component after threshold
1,threshold,200,0,666,0.0,,direct threshold sweep
1,largest_connected_component,200,0,666,0.0,,8-neighborhood largest component after threshold
1,threshold,300,151,666,0.22672672672672672,0.19924955940797603,direct threshold sweep
1,largest_connected_component,300,151,666,0.22672672672672672,0.19924955940797603,8-neighborhood largest component after threshold
1,threshold,400,378,666,0.5675675675675675,0.11689243741687391,direct threshold sweep
1,largest_connected_component,400,378,666,0.5675675675675675,0.11689243741687391,8-neighborhood largest component after threshold
1,threshold,500,643,666,0.883453237410072,0.009527808657922696,direct threshold sweep
1,largest_connected_component,500,643,666,0.883453237410072,0.009527808657922696,8-neighborhood largest component after threshold
1,threshold,600,1076,666,0.6189591078066915,0.36603378979886597,direct threshold sweep
1,largest_connected_component,600,1033,666,0.6447241045498547,0.159607394386791,8-neighborhood largest component after threshold
1,threshold,700,2338,666,0.2848588537211292,1.8166446302139976,direct threshold sweep
1,largest_connected_component,700,2338,666,0.2848588537211292,1.8166446302139976,8-neighborhood largest component after threshold
1,oracle_area_topk,,666,666,0.8734177215189873,0.012432557056055069,diagnostic oracle: lowest mu_pred values with label_area pixels
2,raw_threshold_500,500,838,840,0.9068181818181819,0.005533317732767929,S42 default mask threshold
