run_label,split,sample_index,hard_case_type,mask_iou,center_grid_mae,max_center_grid_error,x_bin_acc,y_bin_acc,both_bin_acc,center_offset_mae,pred_area,target_area,area_diff
repaired_v3_train_candidate,test,8,geometry_or_type_interaction,0.0,32.98009632341616,32.98009632341616,1.0,0.0,0.0,0.07068562401665618,84,76,8
repaired_v3_train_candidate,test,9,rare_y_bin_wrong,0.0,31.84416837788595,31.84416837788595,1.0,0.0,0.0,0.017447483910454753,264,231,33
repaired_v3_train_param_only_reference,test,9,rare_y_bin_wrong,0.0,31.73385050011069,31.73385050011069,1.0,0.0,0.0,0.041139311048719734,246,231,15
repaired_v3_train_param_only_reference,test,8,geometry_or_type_interaction,0.0,30.274609584897267,30.274609584897267,1.0,0.0,0.0,0.1824707217746307,88,76,12
repaired_v3_train_param_only_reference,val,2,x_bin_wrong_like,0.0,25.46139868375988,25.46139868375988,1.0,0.0,0.0,0.2550939653184679,150,264,-114
repaired_v3_train_candidate,test,3,both_bins_wrong_like,0.0,24.403671814754908,24.403671814754908,1.0,0.0,0.0,0.3047241143120659,220,135,85
repaired_v3_train_param_only_reference,val,7,geometry_or_type_interaction,0.0,24.03298870690016,24.03298870690016,1.0,0.0,0.0,0.1427274233500162,84,76,8
repaired_v3_train_param_only_reference,val,8,geometry_or_type_interaction,0.0,23.83014757843746,23.83014757843746,1.0,0.0,0.0,0.1978478986952033,156,84,72
repaired_v3_train_param_only_reference,test,3,both_bins_wrong_like,0.0,23.10061223902471,23.10061223902471,0.0,0.0,0.0,0.309352106730144,196,135,61
repaired_v3_train_candidate,val,1,x_bin_wrong_like,0.0,20.01484751050194,20.01484751050194,0.0,0.0,0.0,0.44699114057752787,231,312,-81
repaired_v3_train_candidate,val,8,geometry_or_type_interaction,0.0,20.00101663570439,20.00101663570439,0.0,0.0,0.0,0.5397693820529516,84,84,0
repaired_v3_train_candidate,val,2,x_bin_wrong_like,0.0,19.665538307424715,19.665538307424715,1.0,0.0,0.0,0.2779230329725479,224,264,-40
repaired_v3_train_candidate,val,7,geometry_or_type_interaction,0.0,17.785135975865533,17.785135975865533,0.0,0.0,0.0,0.27853894636366144,110,76,34
repaired_v3_train_param_only_reference,val,1,x_bin_wrong_like,0.0,16.977560036933205,16.977560036933205,0.0,0.0,0.0,0.47087896262274814,186,312,-126
repaired_v3_train_candidate,val,9,rare_y_bin_wrong,0.0,16.33968171780336,16.33968171780336,1.0,0.0,0.0,0.06090677091810407,231,216,15
repaired_v3_train_param_only_reference,val,6,bins_correct_center_or_offset_bad,0.0,16.181954328620556,16.181954328620556,1.0,0.0,0.0,0.38437899102105066,173,115,58
repaired_v3_train_param_only_reference,val,5,bins_correct_center_or_offset_bad,0.0,14.7122585986106,14.7122585986106,1.0,0.0,0.0,0.22971006944444472,144,140,4
repaired_v3_train_candidate,val,6,bins_correct_center_or_offset_bad,0.0,14.34292599333738,14.34292599333738,1.0,0.0,0.0,0.1979664535522464,174,115,59
repaired_v3_train_param_only_reference,val,9,rare_y_bin_wrong,0.0,14.321807345475536,14.321807345475536,1.0,0.0,0.0,0.11462588500976591,238,216,22
repaired_v3_train_candidate,test,5,bins_correct_center_or_offset_bad,0.0,14.283111631085356,14.283111631085356,1.0,0.0,0.0,0.41681328582763655,231,96,135
repaired_v3_train_candidate,val,5,bins_correct_center_or_offset_bad,0.0,13.397019318550587,13.397019318550587,1.0,0.0,0.0,0.22983416663275852,125,140,-15
repaired_v3_train_candidate,test,0,x_bin_wrong_like,0.0,10.598890337031039,10.598890337031039,1.0,0.0,0.0,0.2613388078477651,272,264,8
repaired_v3_train_param_only_reference,test,5,bins_correct_center_or_offset_bad,0.0,10.516500130921234,10.516500130921234,1.0,0.0,0.0,0.6490539618598088,211,96,115
repaired_v3_train_candidate,val,0,x_bin_wrong_like,0.0,9.934755422178359,9.934755422178359,1.0,0.0,0.0,0.18246231757269998,182,259,-77
repaired_v3_train_param_only_reference,val,3,both_bins_wrong_like,0.0,9.913568404226735,9.913568404226735,0.0,0.0,0.0,0.13379862128363815,156,168,-12
repaired_v3_train_candidate,val,3,both_bins_wrong_like,0.0,9.416353906827274,9.416353906827274,1.0,0.0,0.0,0.16421374257405585,189,168,21
repaired_v3_train_param_only_reference,test,7,geometry_or_type_interaction,0.0,8.977122638921301,8.977122638921301,1.0,0.0,0.0,0.17972149827745212,57,84,-27
repaired_v3_train_param_only_reference,val,0,x_bin_wrong_like,0.0,8.61025019327933,8.61025019327933,0.0,0.0,0.0,0.2694945246378586,123,259,-136
repaired_v3_train_candidate,test,7,geometry_or_type_interaction,0.0,8.000776130466413,8.000776130466413,1.0,0.0,0.0,0.04031547715928835,189,84,105
repaired_v3_train_param_only_reference,val,4,both_bins_wrong_like,0.0,5.795836190017651,5.795836190017651,1.0,0.0,0.0,0.3956580946180557,51,174,-123
