run,split,mask_iou,center_grid_mae,x_wrong_rate,y_wrong_rate,both_bins_correct_rate,center_x_bin_accuracy,center_y_bin_accuracy,presence_accuracy,type_accuracy_present,axis_mae,rotation_mae
current_candidate_reference,train,0.704859756,0.741477668,nan,nan,nan,0.996666667,1.000000000,1.000000000,1.000000000,0.000145240,1.661400914
current_candidate_reference,val,0.546310931,3.250844478,0.200000000,0.083333333,0.733333333,0.783333333,0.916666667,1.000000000,0.650000000,0.000525944,7.511338234
current_candidate_reference,test,0.586545548,2.572883129,0.133333333,0.033333333,0.833333333,0.850000000,0.950000000,1.000000000,0.716666667,0.000495616,6.643299580
x_bin_weighted,train,0.709537716,0.791438997,nan,nan,nan,1.000000000,0.993333333,1.000000000,1.000000000,0.000159663,1.896727324
x_bin_weighted,val,0.545283558,3.420898199,0.183333333,0.150000000,0.700000000,0.833333333,0.900000000,1.000000000,0.633333333,0.000495137,7.325081825
x_bin_weighted,test,0.555790543,2.813687801,0.166666667,0.033333333,0.800000000,0.833333333,0.950000000,1.000000000,0.666666667,0.000570491,6.856303692
x_bin_slot_weighted,train,0.717828029,0.643867493,nan,nan,nan,1.000000000,1.000000000,1.000000000,1.000000000,0.000108694,1.512014627
x_bin_slot_weighted,val,0.518272018,5.811699390,0.250000000,0.216666667,0.616666667,0.750000000,0.816666667,1.000000000,0.583333333,0.000587266,7.292164803
x_bin_slot_weighted,test,0.543190516,3.065945864,0.183333333,0.083333333,0.733333333,0.816666667,0.933333333,1.000000000,0.633333333,0.000605231,7.632248402
