run,split,sample_index,hard_case_type,polygon_iou,zero_iou,component_count,all_bins_correct,max_x_bin_abs_error,max_y_bin_abs_error,mean_hard_center_l2_error_grid,mean_soft_center_l2_error_grid,mean_local_vertex_mae_grid,mean_decoded_vertex_mae
current_reference,train,0,bins_correct_center_or_offset_bad,1.0,0,1,1,0.0,0.0,0.03310807901856654,0.033119089921147794,0.0011936724185943604,7.130631729523884e-06
current_reference,train,1,bins_correct_center_or_offset_bad,1.0,0,1,1,0.0,0.0,0.02822857181380298,0.028232642333363187,0.004816383123397827,6.200889401952736e-06
current_reference,train,2,bins_correct_center_or_offset_bad,0.9782608695652174,0,1,1,0.0,0.0,0.036698983208716764,0.036650016544630445,0.01612342894077301,7.838476449251175e-06
current_reference,train,3,bins_correct_center_or_offset_bad,0.989247311827957,0,1,1,0.0,0.0,0.03846752961721908,0.0384713448301015,0.007029339671134949,8.341452485183254e-06
current_reference,train,4,bins_correct_center_or_offset_bad,1.0,0,1,1,0.0,0.0,0.028820689897029194,0.028889665343757195,0.0019765645265579224,6.456131814047694e-06
current_reference,train,5,bins_correct_center_or_offset_bad,1.0,0,1,1,0.0,0.0,0.03582238859691609,0.035780565286910766,0.009290099143981934,7.5097777880728245e-06
current_reference,train,6,bins_correct_center_or_offset_bad,1.0,0,1,1,0.0,0.0,0.031846118246039244,0.03183251061801126,0.004853174090385437,6.582791684195399e-06
current_reference,train,7,both_bins_wrong_like,0.9876543209876543,0,2,1,0.0,0.0,0.018522349621693874,0.018548271181668432,0.008206076920032501,4.640580300474539e-06
current_reference,train,8,both_bins_wrong_like,1.0,0,1,1,0.0,0.0,0.03632705745651849,0.03633762353358555,0.015507519245147705,8.142662409227341e-06
current_reference,train,9,both_bins_wrong_like,1.0,0,2,1,0.0,0.0,0.021794578772278996,0.02181189720857494,0.008112773299217224,4.93987454319722e-06
current_reference,train,10,both_bins_wrong_like,0.9937888198757764,0,2,1,0.0,0.0,0.01766451988555992,0.017650767553314423,0.006680667400360107,4.4294556573731825e-06
current_reference,train,11,both_bins_wrong_like,1.0,0,1,1,0.0,0.0,0.03704291436224148,0.037099932278027055,0.019394725561141968,1.034591332427226e-05
current_reference,train,12,geometry_or_type_interaction,1.0,0,2,1,0.0,0.0,0.012873148415101194,0.012896347582498552,0.007151998579502106,3.7025056371930987e-06
current_reference,train,13,geometry_or_type_interaction,1.0,0,2,1,0.0,0.0,0.01552955195212681,0.015534008205979685,0.005398087203502655,3.7570498534478247e-06
current_reference,train,14,geometry_or_type_interaction,0.9929078014184397,0,3,1,0.0,0.0,0.0132262461169588,0.013224481472404306,0.005943795045216878,3.3167501290639243e-06
current_reference,train,15,geometry_or_type_interaction,1.0,0,2,1,0.0,0.0,0.016587313348935664,0.016547569794226013,0.008623018860816956,4.510162398219109e-06
current_reference,train,16,geometry_or_type_interaction,1.0,0,2,1,0.0,0.0,0.014053018146669219,0.014069581974104833,0.0024811774492263794,3.137654857710004e-06
current_reference,train,17,rare_y_bin_wrong,0.9927007299270073,0,1,1,0.0,0.0,0.0398952891423869,0.03988891618304286,0.013882353901863098,8.360366337001324e-06
current_reference,train,18,rare_y_bin_wrong,1.0,0,1,1,0.0,0.0,0.04829122518041453,0.04831027550886545,0.025594651699066162,1.048613921739161e-05
current_reference,train,19,rare_y_bin_wrong,1.0,0,1,1,0.0,0.0,0.04759116958246691,0.04759777630321412,0.022237345576286316,1.014611916616559e-05
current_reference,train,20,x_bin_wrong_like,1.0,0,1,1,0.0,0.0,0.032866790682604057,0.032930466096372575,0.011106103658676147,7.15086207492277e-06
current_reference,train,21,x_bin_wrong_like,0.9947368421052631,0,1,1,0.0,0.0,0.04189172224229652,0.04184554995991159,0.011566579341888428,9.003750164993107e-06
current_reference,train,22,x_bin_wrong_like,0.9911504424778761,0,1,1,0.0,0.0,0.03890725687282612,0.03889191740044977,0.011444538831710815,8.580527719459496e-06
current_reference,train,23,x_bin_wrong_like,1.0,0,1,1,0.0,0.0,0.0431113681173989,0.04314928918551051,0.008667796850204468,9.370527550345287e-06
current_reference,train,24,x_bin_wrong_like,1.0,0,1,1,0.0,0.0,0.04483165683457117,0.04475957194921506,0.008639603853225708,9.532610420137644e-06
current_reference,train,25,x_bin_wrong_like,0.9696969696969697,0,1,1,0.0,0.0,0.042808766761051935,0.0428360545850717,0.014755725860595703,9.411822247784585e-06
current_reference,train,26,x_bin_wrong_like,1.0,0,1,1,0.0,0.0,0.034255013686534115,0.03424429259188694,0.010590285062789917,7.441260095220059e-06
current_reference,train,27,x_bin_wrong_like,0.9869565217391304,0,1,1,0.0,0.0,0.04349447015852921,0.04347147260567981,0.012308090925216675,9.348179446533322e-06
current_reference,train,28,x_bin_wrong_like,1.0,0,1,1,0.0,0.0,0.03840290813605335,0.0383557874187782,0.012225449085235596,8.237635483965278e-06
current_reference,train,29,x_bin_wrong_like,0.9908256880733946,0,1,1,0.0,0.0,0.042390637195133855,0.042397339924970016,0.011977553367614746,9.047900675795972e-06
current_reference,val,0,bins_correct_center_or_offset_bad,0.0,1,1,0,1.0,4.0,30.525124022646125,30.52138206589512,0.7731305360794067,0.003942275885492563
current_reference,val,1,bins_correct_center_or_offset_bad,0.2716049382716049,0,1,0,1.0,0.0,11.373192233470567,11.409979501517283,7.754260063171387,0.0036868113093078136
current_reference,val,2,both_bins_wrong_like,0.0,1,1,0,0.0,1.0,6.273486768712373,5.63314830100303,0.9177088141441345,0.0009475061669945717
current_reference,val,3,both_bins_wrong_like,0.0,1,2,0,8.0,2.0,46.07495782422802,36.99615731868477,3.8370882868766785,0.010075151454657316
current_reference,val,4,geometry_or_type_interaction,0.0,1,2,0,1.0,1.0,9.01929022613964,9.073190291095939,2.6365978717803955,0.0019206521101295948
current_reference,val,5,geometry_or_type_interaction,0.0,1,2,0,1.0,3.0,22.067697301101255,22.77146940061147,1.4008293151855469,0.003220479702576995
current_reference,val,6,rare_y_bin_wrong,0.0,1,1,0,0.0,4.0,32.03191678259613,19.099938555145773,0.17650526762008667,0.0032943920232355595
current_reference,val,7,x_bin_wrong_like,0.0,1,1,0,0.0,2.0,12.061149614131443,4.953744496615757,8.05492877960205,0.0038659023120999336
current_reference,val,8,x_bin_wrong_like,0.0,1,1,0,1.0,3.0,28.5474861800018,27.420708621796575,8.135986328125,0.005506540182977915
current_reference,val,9,x_bin_wrong_like,0.10084033613445378,0,1,0,1.0,0.0,7.5901996955060085,10.279599369064172,6.211700916290283,0.0023634592071175575
