sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,276558.71875,475.9185485839844
1,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,218416.515625,422.80401611328125
2,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,310718.96875,499.3614807128906
3,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,378663.59375,567.802001953125
4,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,295813.0,503.67974853515625
5,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,353483.34375,551.7371826171875
6,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,252357.53125,455.9559326171875
7,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,324544.5625,535.2568359375
8,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,427343.15625,615.6561279296875
9,per_sample_zscore,concat,mlp,none,direct,1.0,12,12,440043.90625,630.6915283203125
10,per_sample_zscore,concat,mlp,none,direct,1.0,10,10,317658.21875,524.6137084960938
11,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,468313.15625,643.1763305664062
12,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,230407.515625,418.10107421875
13,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,360641.6875,546.435302734375
14,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,362220.125,573.1538696289062
15,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,287201.1875,479.8670349121094
16,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,201811.59375,416.7995300292969
17,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,258639.28125,457.1106872558594
18,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,202665.953125,389.9024963378906
19,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,393125.84375,593.387939453125
20,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,272488.09375,469.4529724121094
21,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,206108.28125,423.2149963378906
22,per_sample_zscore,concat,mlp,none,direct,1.0,11,11,335562.3125,537.9607543945312
23,per_sample_zscore,concat,mlp,none,direct,1.0,12,12,320337.90625,517.9833984375
24,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,248028.921875,435.2952575683594
25,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,385632.3125,585.1195678710938
26,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,270542.46875,460.53240966796875
27,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,225997.109375,418.4267883300781
28,per_sample_zscore,concat,mlp,none,direct,1.0,13,13,176897.96875,390.0830078125
