split,sample_index,hard_case_type,polygon_mask_iou,polygon_dice,target_area,pred_area,area_diff,true_component_count,pred_component_count,presence_correct,present_type_correct,present_vertex_mae_mean,present_vertex_mae_max
train,0,x_bin_wrong_like,0.9310344827586207,0.9642857142857143,189,203,14,1,1,True,True,6.13533629802987e-05,6.13533629802987e-05
train,1,x_bin_wrong_like,0.9330357142857143,0.9653579676674365,224,209,-15,1,1,True,True,3.8866397517267615e-05,3.8866397517267615e-05
train,2,x_bin_wrong_like,0.9673469387755103,0.983402489626556,238,244,6,1,1,True,True,6.696154014207423e-05,6.696154014207423e-05
train,3,x_bin_wrong_like,1.0,1.0,210,210,0,1,1,True,True,5.593540845438838e-05,5.593540845438838e-05
train,4,x_bin_wrong_like,1.0,1.0,217,217,0,1,1,True,True,4.982374230166897e-05,4.982374230166897e-05
train,5,x_bin_wrong_like,0.9372384937238494,0.9676025917926566,224,239,15,1,1,True,True,7.678192923776805e-05,7.678192923776805e-05
train,6,x_bin_wrong_like,0.966824644549763,0.983132530120482,204,211,7,1,1,True,True,3.565085353329778e-05,3.565085353329778e-05
train,7,x_bin_wrong_like,1.0,1.0,245,245,0,1,1,True,True,6.051134550943971e-05,6.051134550943971e-05
train,8,x_bin_wrong_like,0.9743589743589743,0.987012987012987,228,234,6,1,1,True,True,6.047297938494012e-05,6.047297938494012e-05
train,9,x_bin_wrong_like,0.9776785714285714,0.9887133182844243,224,219,-5,1,1,True,True,4.514603642746806e-05,4.514603642746806e-05
train,10,both_bins_wrong_like,1.0,1.0,84,84,0,1,1,True,True,4.895208985544741e-05,4.895208985544741e-05
train,11,both_bins_wrong_like,0.967391304347826,0.9834254143646409,184,178,-6,2,2,True,True,6.027167728461791e-05,6.277459760894999e-05
train,12,both_bins_wrong_like,0.9560439560439561,0.9775280898876404,88,90,2,1,1,True,True,4.666697350330651e-05,4.666697350330651e-05
train,13,both_bins_wrong_like,0.9523809523809523,0.975609756097561,160,168,8,2,2,True,True,4.570234887069091e-05,5.0001515774056315e-05
train,14,both_bins_wrong_like,0.9666666666666667,0.9830508474576272,120,116,-4,1,1,True,True,5.8366302255308256e-05,5.8366302255308256e-05
train,15,bins_correct_center_or_offset_bad,0.987012987012987,0.9934640522875817,76,77,1,1,1,True,True,6.572815618710592e-05,6.572815618710592e-05
