split,hard_case_type,sample_count,mean_iou,min_iou,mean_present_vertex_mae,max_present_vertex_mae,mean_abs_area_diff,max_abs_area_diff,presence_sample_acc,present_type_sample_acc
test,bins_correct_center_or_offset_bad,2,0.0,0.0,0.006023510475642979,0.008391087874770164,120.5,132,1.0,0.5
test,both_bins_wrong_like,2,0.1724137931034483,0.0,0.0011319196491967887,0.0022570216096937656,91.5,138,1.0,1.0
test,geometry_or_type_interaction,2,0.0,0.0,0.006913894845638424,0.01879376545548439,51.5,77,0.5,1.0
test,rare_y_bin_wrong,1,0.015706806282722512,0.015706806282722512,0.0015203878283500671,0.0015203878283500671,86.0,86,1.0,1.0
test,x_bin_wrong_like,3,0.33555356431700517,0.0,0.0011098784452769905,0.0017430242151021957,69.33333333333333,124,1.0,1.0
train,bins_correct_center_or_offset_bad,7,0.9343952596258165,0.875,5.924423073468331e-05,6.63669197820127e-05,5.142857142857143,13,1.0,1.0
train,both_bins_wrong_like,5,0.9684965758878803,0.9523809523809523,5.1991878353874196e-05,6.277459760894999e-05,4.0,8,1.0,1.0
train,geometry_or_type_interaction,5,0.8684254910685707,0.8161764705882353,5.642362399764049e-05,7.235261728055775e-05,10.2,16,1.0,1.0
train,rare_y_bin_wrong,3,0.8800430034515928,0.8029197080291971,5.475955064563701e-05,5.658049485646188e-05,10.666666666666666,27,1.0,1.0
train,x_bin_wrong_like,10,0.9687517819881002,0.9310344827586207,5.515035954886116e-05,7.678192923776805e-05,6.8,15,1.0,1.0
val,bins_correct_center_or_offset_bad,2,0.07275786054066596,0.07100591715976332,0.003864315338432789,0.0044135479256510735,351.5,674,1.0,1.0
val,both_bins_wrong_like,2,0.03363005593803786,0.015625,0.0046875206753611565,0.007128491532057524,1032.5,1646,1.0,0.5
val,geometry_or_type_interaction,2,0.014600084638171815,0.0,0.009584263316355646,0.019281044602394104,1179.0,2228,0.0,0.5
val,rare_y_bin_wrong,1,0.0,0.0,0.004335728008300066,0.004335728008300066,88.0,88,1.0,1.0
val,x_bin_wrong_like,3,0.07384823848238482,0.0,0.00435911580764999,0.005875361151993275,83.66666666666667,125,1.0,0.6666666666666666
