sample_index,variant,intersection,union,false_positive_pixels,false_negative_pixels,symmetric_diff_pixels,pred_area,target_area,area_diff,iou,dice,signed_area,target_signed_area,geom_area_abs,target_geom_area_abs,centroid_error_norm,centroid_error_cells,bbox_xmin_error,bbox_ymin_error,bbox_xmax_error,bbox_ymax_error,max_edge_length_abs_error_norm,mean_edge_length_abs_error_norm
0,pred_polygon,189,194,5,0,5,194,189,5,0.9742268041237113,0.9869451697127938,-1.579919764252164e-05,-1.57629628136044e-05,1.579919764252164e-05,1.57629628136044e-05,5.994245443584337e-06,0.014910685700612606,-4.366040229797363e-06,4.794681444764137e-06,7.567927241325378e-06,6.581482011824846e-06,1.3016638104232023e-05,6.9892860076308785e-06
0,gt_polygon,189,189,0,0,0,189,189,0,1.0,1.0,-1.57629628136044e-05,-1.57629628136044e-05,1.57629628136044e-05,1.57629628136044e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pred_center_gt_local_vertices,189,193,4,0,4,193,189,4,0.9792746113989638,0.9895287958115183,-1.5762962663563274e-05,-1.57629628136044e-05,1.5762962663563274e-05,1.57629628136044e-05,5.861247006397558e-06,0.014579852084567198,1.7507637899427664e-06,5.59365699137615e-06,1.7507342802147718e-06,5.5936607286227735e-06,2.9887782873605495e-10,9.947888910191716e-11
0,gt_center_pred_local_vertices,189,189,0,0,0,189,189,0,1.0,1.0,-1.579919914623577e-05,-1.57629628136044e-05,1.579919914623577e-05,1.57629628136044e-05,2.0666809909211965e-07,0.0005140869019976261,-6.118590289538872e-06,-7.990462543711052e-07,5.81735695437402e-06,9.878444527863794e-07,1.3018014580600673e-05,6.9898076346403145e-06
0,pred_polygon_area_scaled_to_target,189,193,4,0,4,193,189,4,0.9792746113989638,0.9895287958115183,-1.5762962813604406e-05,-1.57629628136044e-05,1.5762962813604406e-05,1.57629628136044e-05,5.994245443583212e-06,0.014910685700609808,2.797140940882792e-06,5.545700948464665e-06,4.0553041468285866e-07,5.83042216890429e-06,2.6441358797167636e-06,1.075634168024313e-06
0,pred_polygon_centroid_aligned_to_target,189,189,0,0,0,189,189,0,1.0,1.0,-1.579919764252164e-05,-1.57629628136044e-05,1.579919764252164e-05,1.57629628136044e-05,0.0,0.0,-6.309244781732559e-06,-8.758506737649441e-07,5.6247226893901825e-06,9.109498932957649e-07,1.3016638104232023e-05,6.9892860076308785e-06
0,pred_polygon_edge_length_scaled_to_target,189,193,4,0,4,193,189,4,0.9792746113989638,0.9895287958115183,-1.5763070619798432e-05,-1.57629628136044e-05,1.5763070619798432e-05,1.57629628136044e-05,5.994245443584337e-06,0.014910685700612606,2.7758167746930185e-06,5.543465228840909e-06,4.2685224595218063e-07,5.832658008614387e-06,2.601591308869569e-06,1.0565272911862845e-06
0,pred_polygon_interpolate_gt_alpha_0.25,189,192,3,0,3,192,189,3,0.984375,0.9921259842519685,-1.5790135116051458e-05,-1.57629628136044e-05,1.5790135116051458e-05,1.57629628136044e-05,4.495684082688252e-06,0.011183014275459454,-3.2745301723480225e-06,3.596011083573103e-06,5.675945430994034e-06,4.936111508868635e-06,9.762478463858776e-06,5.241940122510398e-06
0,pred_polygon_interpolate_gt_alpha_0.50,189,191,2,0,2,191,189,2,0.9895287958115183,0.9947368421052631,-1.5781075135741857e-05,-1.57629628136044e-05,1.5781075135741857e-05,1.57629628136044e-05,2.9971227217921683e-06,0.007455342850306303,-2.1830201148986816e-06,2.3973407223820686e-06,3.783963620662689e-06,3.290741005912423e-06,6.508318899655502e-06,3.49461048219918e-06
0,pred_polygon_interpolate_gt_alpha_0.75,189,190,1,0,1,190,189,1,0.9947368421052631,0.9973614775725593,-1.5772017701592837e-05,-1.57629628136044e-05,1.5772017701592837e-05,1.57629628136044e-05,1.4985613608960842e-06,0.0037276714251531515,-1.0915100574493408e-06,1.1986703611910343e-06,1.8919818103313446e-06,1.6453705029562116e-06,3.2541594116829164e-06,1.7472971026919176e-06
