run,split,variant,samples,polygon_iou_mean,polygon_iou_min,polygon_dice_mean,zero_iou_count,area_diff_mean,area_abs_diff_mean,pred_x_bin_acc,pred_y_bin_acc
conditioning_center_bin,train,pred_all,30,0.9997493734335839,0.9924812030075187,0.999874213836478,0,0.03333333333333333,0.03333333333333333,1.0,1.0
conditioning_center_bin,train,gt_center_bin,30,0.9997493734335839,0.9924812030075187,0.999874213836478,0,0.03333333333333333,0.03333333333333333,1.0,1.0
conditioning_center_bin,train,gt_offset,30,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0
conditioning_center_bin,train,gt_center_bin_offset,30,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0
conditioning_center_bin,train,gt_local,30,0.9997493734335839,0.9924812030075187,0.999874213836478,0,0.03333333333333333,0.03333333333333333,1.0,1.0
conditioning_center_bin,train,gt_center_bin_offset_local,30,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0
conditioning_center_bin,val,pred_all,10,0.02721518987341772,0.0,0.042786069651741296,9,-51.0,89.2,0.38461538461538464,0.15384615384615385
conditioning_center_bin,val,gt_center_bin,10,0.27023441011125043,0.0,0.3819836643961933,1,-51.0,89.2,0.38461538461538464,0.15384615384615385
conditioning_center_bin,val,gt_offset,10,0.0327485380116959,0.0,0.04933920704845815,9,-48.6,90.0,0.38461538461538464,0.15384615384615385
conditioning_center_bin,val,gt_center_bin_offset,10,0.49573415521498737,0.12605042016806722,0.6185777682483756,0,-48.6,90.0,0.38461538461538464,0.15384615384615385
conditioning_center_bin,val,gt_local,10,0.034444444444444444,0.0,0.05876010781671159,8,-6.0,11.6,0.38461538461538464,0.15384615384615385
conditioning_center_bin,val,gt_center_bin_offset_local,10,1.0,1.0,1.0,0,0.0,0.0,0.38461538461538464,0.15384615384615385
conditioning_center_bin,test,pred_all,10,0.06705882352941175,0.0,0.08028169014084507,9,-40.4,59.2,0.6666666666666666,0.16666666666666666
conditioning_center_bin,test,gt_center_bin,10,0.40842389704840965,0.019736842105263157,0.5158889936778595,0,-40.4,59.2,0.6666666666666666,0.16666666666666666
conditioning_center_bin,test,gt_offset,10,0.08214285714285714,0.0,0.09019607843137255,9,-38.5,59.7,0.6666666666666666,0.16666666666666666
conditioning_center_bin,test,gt_center_bin_offset,10,0.5740235113928865,0.19183673469387755,0.7018261963571553,0,-38.5,59.7,0.6666666666666666,0.16666666666666666
conditioning_center_bin,test,gt_local,10,0.055102040816326525,0.0,0.07105263157894737,9,-15.4,15.4,0.6666666666666666,0.16666666666666666
conditioning_center_bin,test,gt_center_bin_offset_local,10,1.0,1.0,1.0,0,0.0,0.0,0.6666666666666666,0.16666666666666666
