run,split,variant,sample_index,polygon_iou,polygon_dice,zero_iou,target_area,pred_area,area_diff,exported_iou,exported_iou_abs_diff,exported_pred_area,exported_pred_area_diff
conditioning_center_bin,train,pred_all,0,1.0,1.0,0,63,63,0,1.0,0.0,63,0
conditioning_center_bin,train,pred_all,1,1.0,1.0,0,63,63,0,1.0,0.0,63,0
conditioning_center_bin,train,pred_all,2,1.0,1.0,0,92,92,0,1.0,0.0,92,0
conditioning_center_bin,train,pred_all,3,1.0,1.0,0,92,92,0,1.0,0.0,92,0
conditioning_center_bin,train,pred_all,4,1.0,1.0,0,57,57,0,1.0,0.0,57,0
conditioning_center_bin,train,pred_all,5,1.0,1.0,0,63,63,0,1.0,0.0,63,0
conditioning_center_bin,train,pred_all,6,1.0,1.0,0,74,74,0,1.0,0.0,74,0
conditioning_center_bin,train,pred_all,7,1.0,1.0,0,160,160,0,1.0,0.0,160,0
conditioning_center_bin,train,pred_all,8,1.0,1.0,0,120,120,0,1.0,0.0,120,0
conditioning_center_bin,train,pred_all,9,1.0,1.0,0,184,184,0,1.0,0.0,184,0
conditioning_center_bin,train,pred_all,10,1.0,1.0,0,160,160,0,1.0,0.0,160,0
conditioning_center_bin,train,pred_all,11,1.0,1.0,0,120,120,0,1.0,0.0,120,0
conditioning_center_bin,train,pred_all,12,1.0,1.0,0,105,105,0,1.0,0.0,105,0
conditioning_center_bin,train,pred_all,13,1.0,1.0,0,120,120,0,1.0,0.0,120,0
conditioning_center_bin,train,pred_all,14,1.0,1.0,0,140,140,0,1.0,0.0,140,0
conditioning_center_bin,train,pred_all,15,1.0,1.0,0,105,105,0,1.0,0.0,105,0
conditioning_center_bin,train,pred_all,16,1.0,1.0,0,105,105,0,1.0,0.0,105,0
conditioning_center_bin,train,pred_all,17,1.0,1.0,0,137,137,0,1.0,0.0,137,0
conditioning_center_bin,train,pred_all,18,1.0,1.0,0,140,140,0,1.0,0.0,140,0
conditioning_center_bin,train,pred_all,19,0.9924812030075187,0.9962264150943396,0,132,133,1,0.9924812030075187,0.0,133,0
conditioning_center_bin,train,pred_all,20,1.0,1.0,0,224,224,0,1.0,0.0,224,0
conditioning_center_bin,train,pred_all,21,1.0,1.0,0,189,189,0,1.0,0.0,189,0
conditioning_center_bin,train,pred_all,22,1.0,1.0,0,224,224,0,1.0,0.0,224,0
