run,split,variant,sample_index,component_slot,presence_true,presence_pred,type_true,type_pred,true_center_x_bin,pred_center_x_bin,true_center_y_bin,pred_center_y_bin,x_bin_correct,y_bin_correct,both_bins_correct,center_offset_mae,local_vertex_mae_grid
conditioning_center_bin,train,pred_component_diagnostics,0,0,1.0,1.0,1,1,7,7,5,5,1,1,1,7.4555842876078415e-06,0.00037547945976257324
conditioning_center_bin,train,pred_component_diagnostics,0,1,0.0,0.0,-1,0,0,19,0,3,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,0,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,1,0,1.0,1.0,0,0,14,14,6,6,1,1,1,2.844632041740236e-05,0.0002669095993041992
conditioning_center_bin,train,pred_component_diagnostics,1,1,0.0,0.0,-1,0,0,16,0,8,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,1,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,2,0,1.0,1.0,1,1,3,3,3,3,1,1,1,3.617556397914057e-05,0.00011181831359863281
conditioning_center_bin,train,pred_component_diagnostics,2,1,0.0,0.0,-1,0,0,11,0,5,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,2,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,3,0,1.0,1.0,1,1,10,10,3,3,1,1,1,3.276651260434443e-05,0.0005929619073867798
conditioning_center_bin,train,pred_component_diagnostics,3,1,0.0,0.0,-1,0,0,19,0,3,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,3,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,4,0,1.0,1.0,0,0,17,17,4,4,1,1,1,3.520331645934238e-05,0.0010413974523544312
conditioning_center_bin,train,pred_component_diagnostics,4,1,0.0,0.0,-1,0,0,11,0,5,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,4,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,5,0,1.0,1.0,1,1,6,6,4,4,1,1,1,2.482085877685003e-05,0.0003485679626464844
conditioning_center_bin,train,pred_component_diagnostics,5,1,0.0,0.0,-1,0,0,17,0,5,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,5,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,6,0,1.0,1.0,1,1,6,6,3,3,1,1,1,3.599388523725655e-05,0.0001490265130996704
conditioning_center_bin,train,pred_component_diagnostics,6,1,0.0,0.0,-1,0,0,11,0,5,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,6,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,7,0,1.0,1.0,1,1,15,15,4,4,1,1,1,2.0977510644282216e-05,0.0002639293670654297
conditioning_center_bin,train,pred_component_diagnostics,7,1,1.0,1.0,0,0,17,17,5,5,1,1,1,1.5221964759698503e-05,0.0007358044385910034
conditioning_center_bin,train,pred_component_diagnostics,7,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,8,0,1.0,1.0,1,1,12,12,6,6,1,1,1,5.069707726002015e-05,0.00043588876724243164
conditioning_center_bin,train,pred_component_diagnostics,8,1,0.0,0.0,-1,0,0,16,0,7,0,0,0,0.0,0.0
conditioning_center_bin,train,pred_component_diagnostics,8,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
