split,sample_index,hard_case_type,defect_type,component_type_combination,polygon_mask_iou,polygon_dice,target_area,pred_area,area_diff,true_component_count,pred_component_count,presence_correct,present_type_correct,present_vertex_mae_mean,present_vertex_mae_max
val,1,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.0,0.0,210,928,718,1,1,True,False,0.00605638325214386,0.00605638325214386
val,4,both_bins_wrong_like,rotated_rect,rotated_rect,0.0,0.0,96,775,679,1,1,True,False,0.006036589853465557,0.006036589853465557
val,9,rare_y_bin_wrong,rotated_rect,rotated_rect,0.0,0.0,132,279,147,1,1,True,True,0.004252454731613398,0.004252454731613398
test,1,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.0,0.0,224,103,-121,1,1,True,True,0.0017621670849621296,0.0017621670849621296
test,8,geometry_or_type_interaction,multi_defect,rotated_rect|rectangular_notch,0.0,0.0,105,868,763,2,2,True,True,0.004213485517539084,0.0047373585402965546
val,3,both_bins_wrong_like,multi_defect,rotated_rect|rectangular_notch,0.0021326095385808454,0.0042561423873089576,152,5017,4865,2,2,True,True,0.01578045915812254,0.021992431953549385
test,7,geometry_or_type_interaction,multi_defect,rotated_rect|rectangular_notch,0.0023603461841070024,0.004709576138147566,109,1165,1056,2,1,False,True,0.01838546944782138,0.028428325429558754
test,9,rare_y_bin_wrong,rotated_rect,rotated_rect,0.00625,0.012422360248447204,140,343,203,1,1,True,True,0.0032520219683647156,0.0032520219683647156
val,7,geometry_or_type_interaction,multi_defect,rotated_rect|rectangular_notch,0.012396694214876033,0.024489795918367346,105,385,280,2,1,False,False,0.019812379963696003,0.034384384751319885
val,8,geometry_or_type_interaction,multi_defect,rotated_rect|rectangular_notch,0.015306122448979591,0.03015075376884422,102,6664,6562,2,3,False,True,0.009434554725885391,0.010244607925415039
val,2,x_bin_wrong_like,rotated_rect,rotated_rect,0.028081123244929798,0.054628224582701064,217,442,225,1,1,True,True,0.006021449342370033,0.006021449342370033
test,6,bins_correct_center_or_offset_bad,rotated_rect,rotated_rect,0.030592734225621414,0.059369202226345084,71,468,397,1,1,True,False,0.008325653150677681,0.008325653150677681
test,5,bins_correct_center_or_offset_bad,rotated_rect,rotated_rect,0.03657074340527578,0.07056101792943899,61,1668,1607,1,1,True,True,0.004335449077188969,0.004335449077188969
val,6,bins_correct_center_or_offset_bad,rotated_rect,rotated_rect,0.04219745222929936,0.08097784568372804,74,1235,1161,1,1,True,False,0.005812356248497963,0.005812356248497963
val,5,bins_correct_center_or_offset_bad,rectangular_notch,rectangular_notch,0.04341317365269461,0.08321377331420372,76,621,545,1,1,True,True,0.005615617614239454,0.005615617614239454
test,3,both_bins_wrong_like,multi_defect,rotated_rect|rectangular_notch,0.0924092409240924,0.1691842900302115,160,502,342,2,2,True,True,0.002054460346698761,0.0026524122804403305
test,2,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.14666666666666667,0.2558139534883721,204,742,538,1,1,True,True,0.0015658128540962934,0.0015658128540962934
val,0,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.18769230769230769,0.3160621761658031,238,534,296,1,1,True,True,0.002858606167137623,0.002858606167137623
test,4,both_bins_wrong_like,rotated_rect,rotated_rect,0.1900958466453674,0.3194630872483222,120,625,505,1,1,True,True,0.0024148086085915565,0.0024148086085915565
test,0,x_bin_wrong_like,rotated_rect,rotated_rect,0.3898916967509025,0.561038961038961,202,183,-19,1,1,True,True,0.0010480775963515043,0.0010480775963515043
