split,hard_case_type,sample_count,mean_iou,min_iou,mean_present_vertex_mae,max_present_vertex_mae,mean_abs_area_diff,max_abs_area_diff,presence_sample_acc,present_type_sample_acc
test,bins_correct_center_or_offset_bad,2,0.0335817388154486,0.030592734225621414,0.006330551113933325,0.008325653150677681,1002.0,1607,1.0,0.5
test,both_bins_wrong_like,2,0.1412525437847299,0.0924092409240924,0.0022346344776451588,0.0024148086085915565,423.5,505,1.0,1.0
test,geometry_or_type_interaction,2,0.0011801730920535012,0.0,0.011299477482680231,0.01838546944782138,909.5,1056,0.5,1.0
test,rare_y_bin_wrong,1,0.00625,0.00625,0.0032520219683647156,0.0032520219683647156,203.0,203,1.0,1.0
test,x_bin_wrong_like,3,0.17885278780585642,0.0,0.0014586858451366425,0.0017621670849621296,226.0,538,1.0,1.0
train,bins_correct_center_or_offset_bad,7,0.6822152020840989,0.5185185185185185,0.00015736583736725152,0.00019561409135349095,8.0,27,1.0,1.0
train,both_bins_wrong_like,5,0.7404400778864659,0.6166666666666667,0.0001728670031297952,0.00022130434081191197,18.6,30,1.0,1.0
train,geometry_or_type_interaction,5,0.6541468625043986,0.6273291925465838,0.00019768183313620584,0.00022647281002718955,36.2,60,1.0,1.0
train,rare_y_bin_wrong,3,0.7202308802308802,0.6787878787878788,0.00013488781890676668,0.00015780124522279948,14.666666666666666,26,1.0,1.0
train,x_bin_wrong_like,10,0.8034224753169402,0.7598566308243727,0.00018522721220506355,0.00021628313697874546,30.0,58,1.0,1.0
val,bins_correct_center_or_offset_bad,2,0.04280531294099699,0.04219745222929936,0.005713986931368709,0.005812356248497963,853.0,1161,1.0,0.5
val,both_bins_wrong_like,2,0.0010663047692904227,0.0,0.010908524505794048,0.01578045915812254,2772.0,4865,1.0,0.5
val,geometry_or_type_interaction,2,0.013851408331927812,0.012396694214876033,0.014623467344790697,0.019812379963696003,3421.0,6562,0.0,0.5
val,rare_y_bin_wrong,1,0.0,0.0,0.004252454731613398,0.004252454731613398,147.0,147,1.0,1.0
val,x_bin_wrong_like,3,0.07192447697907917,0.0,0.004978812920550506,0.00605638325214386,413.0,718,1.0,0.6666666666666666
