sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9267589388696655,1716,1625,10578.271484375,52.42888259887695
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.963573883161512,2897,2817,12333.5966796875,69.1270523071289
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9592819614711033,2270,2205,13942.96484375,73.76302337646484
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.929064039408867,2009,1907,13724.0029296875,66.8947525024414
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9617575264442636,3670,3563,14757.09765625,70.0696029663086
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9553191489361702,1858,1818,7337.4072265625,39.08585739135742
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9547445255474453,1362,1316,7287.02490234375,49.5380859375
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9579710144927536,2052,2001,8736.775390625,53.522430419921875
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9588944011339475,2796,2732,12154.484375,67.1004409790039
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9528700906344411,1646,1586,9140.6396484375,52.22820281982422
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.08383233532934131,3006,1157,99163.8125,233.48809814453125
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.22541966426858512,3006,2104,98672.6171875,232.99642944335938
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.20560239325537122,3006,1427,95095.9765625,229.41619873046875
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.3182648401826484,3006,2768,97422.734375,231.74526977539062
14,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.7601063829787233,3006,3612,75117.3671875,209.41757202148438
