split,sample_index,component_slot,matched_slot,presence_true,presence_prob,presence_pred,type_true,type_pred,type_correct,center_x_true,center_x_pred,center_y_true,center_y_pred,axis_x_true,axis_x_pred,axis_y_true,axis_y_pred,depth_true,depth_pred,rotation_true,rotation_pred,center_error,axis_error,depth_error,rotation_error,target_schema,type_vocab,run_label,center_x_bin_true_derived,center_x_bin_pred_derived,center_y_bin_true_derived,center_y_bin_pred_derived,x_bin_correct,y_bin_correct,both_bins_correct,center_x_grid_error,center_y_grid_error,center_grid_error,center_offset_x_abs_error,center_offset_y_abs_error,center_offset_mae,pred_mask_iou,pred_area,target_area,area_diff,hard_case_type,defect_type,rotation_angle,component_type_combination
val,0,0,0,1,0.9999998807907104,1,rectangular_notch,rotated_rect,0.0,0.0111097712069749,-0.018620578572154,-0.0012666666880249,0.0052194390445947,0.0149333337321877,0.0039201420731842,0.0014666666975244,0.0050789378583431,80.0,0.0011701721232384,0.0,1.265513896942139,0.0304296445101499,0.0115904649719595,79.99883270263672,1.2655181884765625,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_to_repaired_v3_normalized,15,6,5,9,False,False,False,73.95424672858937,32.10622409409705,80.62282700807165,0.2442808410736707,0.013278011762131697,0.1287794264179012,0.0,951,259,692,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
val,1,0,0,1,0.9999395608901978,1,rectangular_notch,rectangular_notch,1.0,-0.0244279168546199,-0.0185629446059465,-0.0006333333440124,0.0051836199127137,0.0156444441527128,0.0058708121068775,0.0015999999595806,0.0037481354083865,85.0,0.0020334643777459,0.0,4.911794662475586,0.0082604391500353,0.0100069167092442,84.99796295166016,4.911788940429688,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_to_repaired_v3_normalized,4,6,5,9,False,False,False,14.589118794667302,28.793919264388446,32.27897417528994,0.1763601506665876,0.40076009195144385,0.28856012130901576,0.0,875,312,563,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
val,2,0,0,1,0.9999997615814208,1,rectangular_notch,rectangular_notch,1.0,-0.0017545504961162,-0.0189085938036441,0.0,0.0052916430868208,0.0135111110284924,0.005000764504075,0.001733333338052,0.0056561757810413,70.0,0.0022584598045796,0.0,-1.2862423658370972,0.0179516766220331,0.0093709491193294,69.99774169921875,1.2862396240234375,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_to_repaired_v3_normalized,11,6,6,9,False,False,False,42.67068368123975,26.1936338652363,50.06888955120209,0.33383546015496995,0.2742042331545381,0.304019846654754,0.0,977,264,713,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
val,3,0,0,1,0.9999938011169434,1,rectangular_notch,rectangular_notch,1.0,0.0197277497500181,-0.018017116934061,0.002373737283051,0.0053975228220224,0.0115555552765727,0.0049192672595381,0.0012000000569969,0.0063004912808537,75.0,0.0011825646506622,0.0,3.919025421142578,0.0378657914698123,0.0083699068054556,74.99881744384766,3.919021606445313,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_to_repaired_v3_normalized,18,6,7,9,False,False,False,93.8903579752598,14.967738752463461,95.07593030880334,0.26370525309252524,0.1290326559420671,0.19636895451729616,0.0325342465753424,1038,168,870,both_bins_wrong_like,rectangular_notch,0.0,rectangular_notch
val,4,0,0,1,0.9997312426567078,1,rectangular_notch,rotated_rect,0.0,-0.0138802900910377,-0.009159293025732,-0.0024747473653405,-0.0028885877691209,0.0115555552765727,0.0045678839087486,0.0012000000569969,0.0052559161558747,80.0,0.001519568497315,0.0,-12.644804000854492,0.0047391010448336,0.0080794803798198,79.99848175048828,12.644805908203123,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_to_repaired_v3_normalized,8,9,4,4,False,True,False,11.743480462435171,2.0485100445007483,11.920810659263783,0.46793505780439615,0.25606375556259353,0.36199940668349484,0.0436300174520069,1022,174,848,both_bins_wrong_like,rectangular_notch,0.0,rectangular_notch
val,5,0,0,1,0.9999998807907104,1,rectangular_notch,rotated_rect,0.0,0.0092685651034116,-0.0182825662195682,-0.0046000001020729,0.005098701454699,0.0111111113801598,0.0038295560516417,0.0010666666785255,0.0043878341093659,85.0,0.0010503998491913,0.0,3.1744866371154785,0.0292083825916051,0.0080031994730234,84.99894714355469,3.1744842529296875,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_to_repaired_v3_normalized,15,6,3,9,False,False,False,68.53344069775403,48.00857377909615,83.67589647070109,0.43331991278074705,0.001071722387019608,0.21719581758388334,0.0,791,140,651,bins_correct_center_or_offset_bad,rectangular_notch,0.0,rectangular_notch
val,6,0,0,1,0.999975562095642,1,rectangular_notch,rectangular_notch,1.0,-0.026108318939805,-0.0185092203319072,-0.0037333334330469,0.0051211058162152,0.0092444447800517,0.0055597312748432,0.000866666669026,0.0041195168159902,70.0,0.0018434665398672,0.0,5.63825273513794,0.0116682220250368,0.0049150940030813,69.99815368652344,5.6382598876953125,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_to_repaired_v3_normalized,4,6,3,9,False,False,False,18.90275820965535,43.82947526351251,47.731930296265496,0.3628447762069183,0.5213155920609357,0.442080184133927,0.0,947,115,832,bins_correct_center_or_offset_bad,rectangular_notch,0.0,rectangular_notch
val,7,0,0,1,0.9915686249732972,1,rectangular_notch,rectangular_notch,1.0,-0.0106488885357975,-0.0096265217289328,0.0007533333264291,-0.0028952250722795,0.0080000003799796,0.0047108503058552,0.0007999999797903,0.003988763783127,75.0,0.0020717729348689,0.0,-3.056987762451172,0.0037890912499278,0.0045811268500983,74.9979248046875,3.056991577148437,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_to_repaired_v3_normalized,9,9,6,4,True,False,False,2.5431374889194944,18.060364477288175,18.238539232626067,0.31789218611493686,0.25754555966102155,0.2877188728879792,0.0,853,76,777,geometry_or_type_interaction,rectangular_notch,0.0,rectangular_notch
val,8,0,0,1,0.99952232837677,1,rectangular_notch,rectangular_notch,1.0,-0.0075733331032097,-0.0146086178719997,0.0017466666176915,0.0048289974220097,0.008533333428204,0.0034761435817927,0.000866666669026,0.0056007113307714,80.0,0.0029281822498887,0.0,-8.71678638458252,0.007680885028094,0.0069272178225219,79.9970703125,8.716781616210938,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_to_repaired_v3_normalized,10,7,7,9,False,False,False,17.50027125352667,15.257537822407638,23.217492421646476,0.8124660933091665,0.09280777219904493,0.4526369327541057,0.0,1059,84,975,geometry_or_type_interaction,rectangular_notch,0.0,rectangular_notch
val,9,0,0,1,0.999739110469818,1,rectangular_notch,rotated_rect,0.0,0.0055111111141741,-0.0183939803391695,-0.0008484848658554,0.0050528831779956,0.0143999997526407,0.0039680306799709,0.0012000000569969,0.0047158817760646,85.0,0.0016870385734364,0.0,5.218027591705322,0.024622743949294,0.011008515022695,84.9983139038086,5.218032836914063,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_to_repaired_v3_normalized,14,6,5,9,False,False,False,59.46391631931431,29.211772469996443,66.25167918527995,0.5670104600857108,0.3485284412504436,0.45776945066807717,0.0,874,216,658,rare_y_bin_wrong,rectangular_notch,0.0,rectangular_notch
