split,shape,raw_x_min,raw_x_max,raw_y_min,raw_y_max,norm_x_min,norm_x_max,norm_y_min,norm_y_max,raw_center_x_min,raw_center_x_max,raw_center_y_min,raw_center_y_max,norm_center_x_min,norm_center_x_max,norm_center_y_min,norm_center_y_max,raw_axis_x_min,raw_axis_x_max,raw_axis_y_min,raw_axis_y_max,norm_axis_x_min,norm_axis_x_max,norm_axis_y_min,norm_axis_y_max,raw_depth_min,raw_depth_max,norm_depth_min,norm_depth_max,mask_threshold_mismatch
train,"(30, 3, 200)",0.0,4500.0,0.0,3000.0,-0.03999999910593033,0.03999999910593033,-0.009999999776482582,0.009999999776482582,704.070351759,3770.40201005,810.0,2342.42424242,-0.0274831937465066,0.0270293690675555,-0.0046,0.0056161616161333,420.0,880.0,110.0,260.0,0.0074666666666666,0.0156444444444444,0.0007333333333333,0.0017333333333333,70.0,85.0,70.0,85.0,0
val,"(10, 3, 200)",0.0,4500.0,0.0,3000.0,-0.03999999910593033,0.03999999910593033,-0.009999999776482582,0.009999999776482582,781.407035176,3359.68592965,810.0,1856.06060606,-0.0261083193746488,0.0197277498604444,-0.0046,0.0023737373737333,450.0,880.0,120.0,260.0,0.008,0.0156444444444444,0.0008,0.0017333333333333,70.0,85.0,70.0,85.0,0
test,"(10, 3, 200)",0.0,4500.0,0.0,3000.0,-0.03999999910593033,0.03999999910593033,-0.009999999776482582,0.009999999776482582,1125.51507538,3770.40201005,1200.0,2298.86363636,-0.0199908431043555,0.0270293690675555,-0.002,0.0053257575757333,420.0,840.0,110.0,260.0,0.0074666666666666,0.0149333333333333,0.0007333333333333,0.0017333333333333,70.0,85.0,70.0,85.0,0
