sample_index,ch0_mean,ch0_std,ch0_min,ch0_max,ch0_peak_abs,ch0_peak_to_peak,ch0_argmax_x,ch0_argmin_x,ch0_argmax_abs_x,ch0_energy,ch0_abs_area,ch0_signed_area,ch0_positive_peak_count,ch0_negative_peak_count,ch0_half_abs_width,ch0_center_of_abs_mass,ch0_left_right_abs_balance,ch1_mean,ch1_std,ch1_min,ch1_max,ch1_peak_abs,ch1_peak_to_peak,ch1_argmax_x,ch1_argmin_x,ch1_argmax_abs_x,ch1_energy,ch1_abs_area,ch1_signed_area,ch1_positive_peak_count,ch1_negative_peak_count,ch1_half_abs_width,ch1_center_of_abs_mass,ch1_left_right_abs_balance,ch2_mean,ch2_std,ch2_min,ch2_max,ch2_peak_abs,ch2_peak_to_peak,ch2_argmax_x,ch2_argmin_x,ch2_argmax_abs_x,ch2_energy,ch2_abs_area,ch2_signed_area,ch2_positive_peak_count,ch2_negative_peak_count,ch2_half_abs_width,ch2_center_of_abs_mass,ch2_left_right_abs_balance,peak_abs_ch1_over_ch0,peak_abs_ch2_over_ch0,energy_ch1_over_ch0,energy_ch2_over_ch0,corr_ch0_ch1,corr_ch0_ch2,corr_ch1_ch2
0,-2.8057122108293697e-05,0.00023810782295186073,-0.00047098068171180785,0.00035280510201118886,0.00047098068171180785,0.0008237857837229967,-0.03959798812866211,-0.011457286775112152,-0.011457286775112152,5.748253784076951e-08,0.00020804880477953702,-2.8057122108293697e-05,14.0,11.0,0.03417085483670235,0.0004931301227770746,-0.03609098866581917,-2.6715933927334845e-05,0.00022133700258564204,-0.00043545669177547097,0.00033347101998515427,0.00043545669177547097,0.0007689277408644557,0.01949748769402504,0.03999999910593033,0.03999999910593033,4.9703807292189595e-08,0.00019366625929251313,-2.6715933927334845e-05,12.0,12.0,0.034974873065948486,0.0008643463952466846,-0.024623928591609,-2.4646466044941917e-05,0.00018805803847499192,-0.0003892784006893635,0.0002991411602124572,0.0003892784006893635,0.0006884195609018207,-0.03999999910593033,0.03999999910593033,0.03999999910593033,3.597327236093406e-08,0.00016580955707468092,-2.4646466044941917e-05,13.0,15.0,0.03175879269838333,0.001633240608498454,0.007550358772277832,0.9245547652244568,0.8265097737312317,0.7365432381629944,0.5330752730369568,0.9936350584030151,0.9765602946281433,0.981590747833252
1,-8.428849469055422e-06,0.00015786150470376015,-0.000414654437918216,0.00039959457353688776,0.000414654437918216,0.0008142490405589342,-0.03999999910593033,0.036381907761096954,0.036381907761096954,2.4991299696353053e-08,0.00011607283522607759,-8.428849469055422e-06,6.0,9.0,0.013668341562151909,-0.00023506507568527013,-0.04464788734912872,-9.960612260329071e-06,0.0001461431384086609,-0.000377762655261904,0.0003785733715631068,0.0003785733715631068,0.0007563360268250108,-0.03999999910593033,0.035979900509119034,-0.03999999910593033,2.1457031706972884e-08,0.00010793079127324745,-9.960612260329071e-06,4.0,12.0,0.014070351608097553,-0.0002880199463106692,-0.051287941634655,-1.107887328544166e-05,0.00012951844837516546,-0.0003307852311991155,0.00033653093851171434,0.00033653093851171434,0.0006673161406069994,-0.03999999910593033,0.035577889531850815,-0.03999999910593033,1.6897770294121983e-08,9.372695058118552e-05,-1.107887328544166e-05,4.0,10.0,0.015678390860557556,-0.00044022046495229006,-0.04770977422595024,0.9129632115364075,0.8115741610527039,0.6132104992866516,0.48291346430778503,0.9756824970245361,0.9460949897766113,0.9647901654243469
2,2.630520157254068e-06,0.0001526644773548469,-0.0003797200333792716,0.00037939060712233186,0.0003797200333792716,0.0007591106696054339,-0.03999999910593033,0.03999999910593033,0.03999999910593033,2.3313361907639774e-08,0.00011962788266828284,2.630520157254068e-06,15.0,7.0,0.013668341562151909,0.0020238766446709633,-0.023517007008194923,3.877582457789686e-06,0.00014277416630648077,-0.00036337203346192837,0.000371276109945029,0.000371276109945029,0.0007346481434069574,-0.03999999910593033,0.03999999910593033,-0.03999999910593033,2.0399498978918018e-08,0.00011120692943222821,3.877582457789686e-06,16.0,8.0,0.01286432147026062,0.00214870972558856,-0.02077461965382099,4.2090068745892495e-06,0.00012649220298044384,-0.00033067603362724185,0.0003273554320912808,0.00033067603362724185,0.0006580314366146922,-0.03959798812866211,0.03999999910593033,0.03999999910593033,1.6017992265915382e-08,9.790132753551006e-05,4.2090068745892495e-06,12.0,6.0,0.012462311424314976,0.0032557733356952667,0.004683628212660551,0.9777370095252991,0.8708187341690063,0.6123518943786621,0.48082786798477173,0.9793037176132202,0.9392290711402893,0.9569713473320007
3,-3.207567351637408e-05,0.00024119460431393236,-0.0005624408950097859,0.0004732072993647307,0.0005624408950097859,0.0010356481652706861,-0.03839195892214775,0.03798994794487953,0.03798994794487953,5.92036855096012e-08,0.00020713340200018138,-3.207567351637408e-05,8.0,12.0,0.023316582664847374,-0.000765659031458199,-0.0992949828505516,-3.421810833970085e-05,0.0002267630334245041,-0.0005457479855976999,0.0004492333100643009,0.0005457479855976999,0.0009949812665581703,-0.03839195892214775,0.03798994794487953,0.03798994794487953,5.259235535959306e-08,0.00019509746925905347,-3.421810833970085e-05,6.0,9.0,0.021708542481064796,-0.0007731743971817195,-0.1029265746474266,-3.5025845136260614e-05,0.00019657918892335147,-0.00048249849351122975,0.00037743939901702106,0.00048249849351122975,0.0008599378634244204,-0.03999999910593033,0.03758794069290161,0.03758794069290161,3.987019070450515e-08,0.0001683641894487664,-3.5025845136260614e-05,6.0,13.0,0.02050251141190529,-0.0006912840181030333,-0.10805883258581161,0.9703033566474915,0.8578500151634216,0.759964644908905,0.5761281251907349,0.9900314211845398,0.9714495539665222,0.9807612299919128
4,-1.4208319953468163e-05,0.00020041485549882054,-0.0004808880912605673,0.0004237186803948134,0.0004808880912605673,0.0009046067716553807,-0.03999999910593033,0.03999999910593033,0.03999999910593033,4.0367993392464996e-08,0.00015845171583350748,-1.4208319953468163e-05,7.0,9.0,0.01889447122812271,0.003346191020682454,0.09272000938653946,-1.4951207049307413e-05,0.0001853119902079925,-0.0004601909895427525,0.0003931806131731719,0.0004601909895427525,0.0008533715736120939,-0.03999999910593033,0.03999999910593033,0.03999999910593033,3.456407426938313e-08,0.00014746567467227578,-1.4951207049307413e-05,9.0,9.0,0.017688442021608353,0.003759613260626793,0.10103762894868851,-1.6376829080400057e-05,0.00016711394710000604,-0.0004187967861071229,0.0003321044787298888,0.0004187967861071229,0.0007509012939408422,-0.03999999910593033,0.03999999910593033,0.03999999910593033,2.81952701186583e-08,0.00013380586460698396,-1.6376829080400057e-05,11.0,8.0,0.016884421929717064,0.0037289494648575783,0.0827508345246315,0.956940770149231,0.8708639144897461,0.6862309575080872,0.5597854852676392,0.980889618396759,0.9640832543373108,0.9842432141304016
5,-4.7798504965612665e-05,0.0001761168532539159,-0.0004201903357170522,0.00048251348198391497,0.00048251348198391497,0.0009027038468047976,-0.03999999910593033,0.035979900509119034,-0.03999999910593033,3.3301841284583134e-08,0.00013345354818738997,-4.7798504965612665e-05,2.0,13.0,0.015276381745934486,0.0040512396954,0.1336693912744522,-4.3979754991596565e-05,0.00016735614917706698,-0.00042672985000535846,0.00044825024087913334,0.00044825024087913334,0.0008749801199883223,-0.03999999910593033,0.028341708704829216,-0.03999999910593033,2.994229930664005e-08,0.00012782952398993075,-4.3979754991596565e-05,2.0,13.0,0.014874371699988842,0.0037487365771085024,0.14563296735286713,-3.75325143977534e-05,0.00014790226123295724,-0.0003528348170220852,0.0003797237586695701,0.0003797237586695701,0.0007325585465878248,-0.03999999910593033,0.035979900509119034,-0.03999999910593033,2.3283769579052205e-08,0.0001178174206870608,-3.75325143977534e-05,6.0,11.0,0.016080401837825775,0.00315880891866982,0.13041093945503235,0.9289708137512207,0.7869539260864258,0.6914786696434021,0.5377085208892822,0.9773176908493042,0.9433828592300415,0.9588778018951416
6,-3.875634865835309e-05,0.0002527402248233557,-0.0005128307384438813,0.00044640875421464443,0.0005128307384438813,0.0009592394926585257,-0.03999999910593033,-0.015477387234568596,-0.015477387234568596,6.537967323083649e-08,0.0002243809140054509,-3.875634865835309e-05,11.0,16.0,0.034974873065948486,-0.00041982406401075423,-0.06813381612300873,-3.719572850968689e-05,0.0002351969014853239,-0.0004461556382011622,0.00042390869930386543,0.0004461556382011622,0.0008700643666088581,-0.03999999910593033,-0.015879396349191666,-0.015879396349191666,5.6701104256262624e-08,0.00020872811728622764,-3.719572850968689e-05,12.0,13.0,0.03899497538805008,-0.0004957767087034881,-0.07662542164325714,-3.352036219439469e-05,0.0002025092690018937,-0.0004228800826240331,0.0003143181966152042,0.0004228800826240331,0.0007371982792392373,-0.03879396989941597,-0.015879396349191666,-0.015879396349191666,4.213362103655527e-08,0.00018016446847468615,-3.352036219439469e-05,11.0,13.0,0.03175879269838333,-0.00029402264044620097,-0.0686669871211052,0.8699691891670227,0.8245836496353149,0.7522068023681641,0.5589520335197449,0.9915849566459656,0.9813053011894226,0.9902765154838562
7,-3.6916757380822673e-05,0.0002198199654230848,-0.0005541678983718157,0.000422459386754781,0.0005541678983718157,0.0009766272269189358,-0.03999999910593033,-0.02030150778591633,-0.02030150778591633,4.9683663405630796e-08,0.00017805304378271103,-3.6916757380822673e-05,10.0,11.0,0.016482410952448845,-0.00044443985098041594,-0.042744800448417664,-3.582406498026103e-05,0.00020185277389828116,-0.0004882110806647688,0.0003992191341239959,0.0004882110806647688,0.0008874302147887647,-0.03999999910593033,-0.020703516900539398,-0.020703516900539398,4.202790648832888e-08,0.0001635369408177212,-3.582406498026103e-05,8.0,11.0,0.018090451136231422,-0.0008810335421003401,-0.05084981769323349,-3.0456410968326963e-05,0.0001749462098814547,-0.00044941477244719863,0.0003527386288624257,0.00044941477244719863,0.0008021533722057939,-0.03999999910593033,-0.021507536992430687,-0.021507536992430687,3.1533769373481846e-08,0.00014566969184670597,-3.0456410968326963e-05,9.0,13.0,0.017286431044340134,-0.001795089105144143,-0.08467627316713333,0.8809645175933838,0.8109576106071472,0.704177737236023,0.528348445892334,0.9826724529266357,0.9663997888565063,0.9798864126205444
8,-3.478168582660146e-05,0.0001848462998168543,-0.0004253981460351497,0.0004233693762216717,0.0004253981460351497,0.0008487675222568214,-0.03999999910593033,0.034371860325336456,0.034371860325336456,3.537791926078171e-08,0.00015699972573202103,-3.478168582660146e-05,13.0,15.0,0.022110551595687866,0.0023932780604809523,-0.04692300409078598,-2.9234746762085706e-05,0.0001749120419844985,-0.0004192890482954681,0.0003915578417945653,0.0004192890482954681,0.0008108469191938639,-0.03999999910593033,0.034371860325336456,0.034371860325336456,3.14488950436953e-08,0.00014692157856188715,-2.9234746762085706e-05,8.0,12.0,0.02010050229728222,0.0026823317166417837,-0.04565269127488136,-2.6077650545630604e-05,0.00015863931912463158,-0.00043929260573349893,0.00037305967998690903,0.00043929260573349893,0.000812352285720408,-0.03999999910593033,0.03477386757731438,0.03477386757731438,2.584647873504764e-08,0.00012904830509796739,-2.6077650545630604e-05,8.0,10.0,0.013266331516206264,0.003590413834899664,-0.01787981018424034,0.9856159090995789,1.0326379537582397,0.6930439472198486,0.5695827007293701,0.9768487215042114,0.9463939070701599,0.9655413031578064
9,-1.4022307368577458e-05,0.00025706415181048214,-0.0005209906375966966,0.00045328616397455335,0.0005209906375966966,0.00097427680157125,0.010251256637275219,0.03999999910593033,0.03999999910593033,6.627860216212866e-08,0.00022310280473902822,-1.4022307368577458e-05,13.0,14.0,0.029748743399977684,-0.00038619397673755884,-0.012086342088878155,-1.673888436926063e-05,0.00024305474653374404,-0.0004975756164640188,0.00045219692401587963,0.0004975756164640188,0.0009497725404798985,0.009849246591329575,0.03999999910593033,0.03999999910593033,5.935579849847272e-08,0.0002119374112226069,-1.673888436926063e-05,13.0,14.0,0.029748743399977684,-0.0004028470430057496,-0.014184398576617241,-1.600982795935124e-05,0.00021415448281913996,-0.0004507456033024937,0.0004029281553812325,0.0004507456033024937,0.0008536737877875566,0.00944723654538393,0.03999999910593033,0.03999999910593033,4.611845838553563e-08,0.0001870317355496809,-1.600982795935124e-05,9.0,15.0,0.030150752514600754,-5.958083420409821e-05,0.012860455550253391,0.9550384283065796,0.8651536703109741,0.7781448364257812,0.604605495929718,0.9908953905105591,0.9771014451980591,0.9810166358947754
