sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,964,233885.59375,483.5581970214844
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1092,234147.15625,483.8214416503906
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1128,234377.8125,484.0592041015625
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,932,233835.625,483.5083923339844
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1066,234086.625,483.76025390625
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1104,234336.390625,484.0177917480469
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1040,234020.859375,483.693603515625
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1030,234015.28125,483.6885070800781
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1080,234381.03125,484.0659484863281
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1008,233962.859375,483.6354064941406
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1004,233983.515625,483.65728759765625
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1196,234340.296875,484.01519775390625
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,996,233952.171875,483.6252136230469
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,978,233912.265625,483.5849914550781
14,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1172,234423.734375,484.1039123535156
15,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,964,233902.671875,483.5758972167969
16,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1092,234131.84375,483.8055114746094
17,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1128,234252.421875,483.9284973144531
18,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,932,233822.625,483.4949035644531
19,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1066,234091.21875,483.7650451660156
20,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1104,234190.5625,483.8658142089844
21,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1040,234022.765625,483.6955871582031
22,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1030,234036.890625,483.71099853515625
23,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1080,234215.6875,483.8937072753906
24,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1008,233974.34375,483.64739990234375
25,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1063,234065.3125,483.7383117675781
26,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1181,234287.84375,483.9616394042969
27,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1097,234160.40625,483.83489990234375
28,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1047,234034.4375,483.7072448730469
29,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,pos_weighted_bce,0.0,0,1150,234221.765625,483.8950500488281
