sample_index,signal_normalization,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,0.0,0,3,15210.98828125,16.233266830444336
1,per_sample_zscore,1.0,7,7,1010.1134643554688,7.399573802947998
2,per_sample_zscore,1.0,6,6,33.28279113769531,0.7453776001930237
3,per_sample_zscore,1.0,4,4,15.340475082397461,0.4024813771247864
4,per_sample_zscore,1.0,6,6,83.97017669677734,1.3749035596847534
5,per_sample_zscore,1.0,6,6,253.8607177734375,3.287144422531128
6,per_sample_zscore,1.0,6,6,264.4304504394531,2.4086225032806396
7,per_sample_zscore,1.0,6,6,98.18356323242188,2.106985330581665
8,per_sample_zscore,1.0,5,5,893.4404907226562,6.094810962677002
9,per_sample_zscore,1.0,12,12,1015.9807739257812,6.111697196960449
10,per_sample_zscore,1.0,10,10,102.93521118164062,1.6445039510726929
11,per_sample_zscore,1.0,4,4,59.719947814941406,0.7597955465316772
12,per_sample_zscore,1.0,3,3,100.00166320800781,1.3511786460876465
13,per_sample_zscore,1.0,9,9,36.70185470581055,1.0481785535812378
14,per_sample_zscore,1.0,8,8,125.59355163574219,2.223731756210327
15,per_sample_zscore,1.0,6,6,537.62255859375,4.602476596832275
16,per_sample_zscore,1.0,6,6,70.73902130126953,1.0759106874465942
17,per_sample_zscore,1.0,3,3,30.49634552001953,0.8887268900871277
18,per_sample_zscore,1.0,6,6,0.7709469795227051,0.1372840851545334
19,per_sample_zscore,1.0,4,4,87.35469055175781,1.534106731414795
20,per_sample_zscore,1.0,6,6,265.3271789550781,3.1418509483337402
21,per_sample_zscore,0.875,7,8,5129.22265625,7.036795139312744
22,per_sample_zscore,1.0,11,11,93.44068145751953,1.5525269508361816
23,per_sample_zscore,1.0,12,12,353.5964050292969,3.168069839477539
24,per_sample_zscore,1.0,8,8,140.81033325195312,2.037360191345215
25,per_sample_zscore,1.0,3,3,44.28727722167969,1.0294742584228516
26,per_sample_zscore,1.0,9,9,459.9145812988281,3.1663601398468018
27,per_sample_zscore,1.0,7,7,66.42272186279297,1.183316707611084
28,per_sample_zscore,1.0,13,13,384.1593322753906,4.289930820465088
29,per_sample_zscore,1.0,6,6,413.5228271484375,3.286731243133545
30,per_sample_zscore,1.0,5,5,124.6992416381836,1.943822979927063
31,per_sample_zscore,1.0,9,9,290.0273742675781,2.777070999145508
32,per_sample_zscore,1.0,11,11,372.7411804199219,3.289483070373535
33,per_sample_zscore,0.0,0,7,34930.7890625,35.062408447265625
34,per_sample_zscore,1.0,3,3,60.133811950683594,0.9703333973884583
35,per_sample_zscore,1.0,4,4,198.60308837890625,1.9318609237670898
36,per_sample_zscore,0.0,0,4,19979.287109375,20.301725387573242
37,per_sample_zscore,1.0,6,6,185.4097137451172,2.330460548400879
38,per_sample_zscore,1.0,5,5,178.82984924316406,2.6429059505462646
39,per_sample_zscore,0.8571428571428571,6,7,5412.54541015625,8.424529075622559
40,per_sample_zscore,1.0,9,9,51.445762634277344,1.033156156539917
41,per_sample_zscore,1.0,16,16,258.3379211425781,3.050583600997925
42,per_sample_zscore,1.0,6,6,1337.4254150390625,8.966023445129395
43,per_sample_zscore,1.0,9,9,349.7027282714844,3.4654324054718018
44,per_sample_zscore,1.0,6,6,111.03445434570312,1.330471158027649
45,per_sample_zscore,1.0,5,5,55.776573181152344,1.1009271144866943
46,per_sample_zscore,0.8333333333333334,6,5,5044.05322265625,6.339734077453613
47,per_sample_zscore,0.8571428571428571,6,7,5556.72021484375,8.814126014709473
48,per_sample_zscore,1.0,7,7,178.46273803710938,2.4115192890167236
49,per_sample_zscore,1.0,6,6,41.37836456298828,0.8722759485244751
50,per_sample_zscore,0.0,0,3,15065.3046875,15.781767845153809
51,per_sample_zscore,1.0,8,8,359.5731506347656,3.692258834838867
52,per_sample_zscore,0.7272727272727273,8,11,15562.490234375,19.087038040161133
53,per_sample_zscore,1.0,6,6,20.120752334594727,0.6682552099227905
54,per_sample_zscore,1.0,5,5,31.463438034057617,0.7609832882881165
55,per_sample_zscore,1.0,10,10,199.21429443359375,2.495309591293335
56,per_sample_zscore,0.6666666666666666,9,11,21792.3984375,28.284467697143555
57,per_sample_zscore,1.0,14,14,318.9109802246094,3.0493271350860596
58,per_sample_zscore,1.0,11,11,259.01318359375,2.675987958908081
59,per_sample_zscore,1.0,6,6,27.340534210205078,0.7144725918769836
60,per_sample_zscore,1.0,12,12,216.771484375,2.483656406402588
61,per_sample_zscore,1.0,5,5,141.8469696044922,1.7849524021148682
62,per_sample_zscore,1.0,4,4,397.5764465332031,3.291975975036621
63,per_sample_zscore,0.75,3,4,5234.1533203125,7.48335075378418
64,per_sample_zscore,1.0,9,9,319.98175048828125,2.7780027389526367
65,per_sample_zscore,1.0,5,5,965.612548828125,8.026981353759766
66,per_sample_zscore,1.0,8,8,701.9799194335938,5.447368621826172
67,per_sample_zscore,1.0,4,4,242.265625,2.4820384979248047
68,per_sample_zscore,0.8,12,15,15324.6923828125,18.163421630859375
69,per_sample_zscore,1.0,16,16,358.6771545410156,3.431825637817383
70,per_sample_zscore,0.875,7,8,5011.609375,5.873337268829346
71,per_sample_zscore,1.0,9,9,117.81341552734375,2.0298824310302734
72,per_sample_zscore,1.0,4,4,6.581867694854736,0.3437768816947937
73,per_sample_zscore,1.0,4,4,30.936582565307617,0.8996401429176331
74,per_sample_zscore,1.0,3,3,37.44630813598633,0.9850760698318481
75,per_sample_zscore,1.0,8,8,199.00741577148438,2.6679940223693848
76,per_sample_zscore,1.0,9,9,275.295166015625,3.0903737545013428
77,per_sample_zscore,1.0,10,10,41.33586502075195,0.998012363910675
78,per_sample_zscore,0.5,3,6,15104.38671875,16.55060577392578
79,per_sample_zscore,1.0,13,13,292.3865966796875,3.837218999862671
80,per_sample_zscore,1.0,6,6,4.311060905456543,0.3098710775375366
81,per_sample_zscore,0.9411764705882353,16,17,6060.603515625,11.356803894042969
82,per_sample_zscore,1.0,9,9,216.57054138183594,2.5148706436157227
83,per_sample_zscore,1.0,9,9,575.9157104492188,4.1307268142700195
84,per_sample_zscore,1.0,10,10,332.61773681640625,3.147667646408081
85,per_sample_zscore,1.0,6,6,10.691886901855469,0.5118880271911621
86,per_sample_zscore,1.0,17,17,637.073974609375,4.693869590759277
87,per_sample_zscore,1.0,15,15,367.457275390625,3.8217663764953613
88,per_sample_zscore,1.0,8,8,16.973970413208008,0.6921058893203735
89,per_sample_zscore,1.0,5,5,4.643691539764404,0.23411725461483002
90,per_sample_zscore,1.0,4,4,18.37367820739746,0.5532582998275757
91,per_sample_zscore,1.0,3,3,19.614360809326172,0.7171494960784912
92,per_sample_zscore,1.0,8,8,119.65003204345703,1.556398868560791
93,per_sample_zscore,1.0,10,10,466.4072570800781,4.688206195831299
94,per_sample_zscore,1.0,9,9,34.80317687988281,0.7256984114646912
95,per_sample_zscore,1.0,8,8,11.282414436340332,0.6159705519676208
96,per_sample_zscore,1.0,6,6,170.76820373535156,1.9510912895202637
97,per_sample_zscore,1.0,5,5,1267.33984375,6.495491981506348
98,per_sample_zscore,1.0,6,6,34.90734100341797,0.6020090579986572
99,per_sample_zscore,1.0,10,10,85.79610443115234,1.859939694404602
100,per_sample_zscore,1.0,13,13,1424.96240234375,8.745570182800293
101,per_sample_zscore,1.0,17,17,1577.5123291015625,10.071817398071289
102,per_sample_zscore,1.0,14,14,35.175209045410156,1.0576848983764648
103,per_sample_zscore,1.0,4,4,22.81909942626953,0.883009135723114
104,per_sample_zscore,1.0,8,8,1079.2205810546875,7.426779270172119
105,per_sample_zscore,1.0,13,13,903.6095581054688,6.746325492858887
106,per_sample_zscore,1.0,4,4,36.81679153442383,1.4363528490066528
107,per_sample_zscore,1.0,4,4,1157.6148681640625,8.362468719482422
108,per_sample_zscore,1.0,8,8,390.8573303222656,3.568532705307007
109,per_sample_zscore,1.0,8,8,97.17607116699219,1.5687443017959595
110,per_sample_zscore,1.0,5,5,298.18487548828125,3.1308906078338623
111,per_sample_zscore,1.0,13,13,222.98414611816406,2.4994776248931885
112,per_sample_zscore,0.5714285714285714,4,7,15010.8486328125,15.982827186584473
113,per_sample_zscore,1.0,9,9,652.3992309570312,4.556742191314697
114,per_sample_zscore,1.0,9,9,83.10871124267578,1.0930640697479248
115,per_sample_zscore,1.0,4,4,65.50227355957031,1.0740338563919067
116,per_sample_zscore,1.0,8,8,110.50157165527344,1.5018203258514404
117,per_sample_zscore,1.0,2,2,22.361047744750977,0.5767995119094849
118,per_sample_zscore,1.0,7,7,461.91534423828125,4.238629341125488
119,per_sample_zscore,1.0,11,11,993.9545288085938,7.128769397735596
120,per_sample_zscore,1.0,4,4,32.2125358581543,0.6613052487373352
121,per_sample_zscore,1.0,3,3,3032.280517578125,11.809804916381836
122,per_sample_zscore,1.0,9,9,291.5347900390625,2.9760499000549316
123,per_sample_zscore,1.0,9,9,23.48501205444336,0.8763868808746338
124,per_sample_zscore,1.0,4,4,8.704233169555664,0.47752857208251953
125,per_sample_zscore,1.0,3,3,7.933172225952148,0.36662864685058594
126,per_sample_zscore,1.0,6,6,120.81640625,1.4037203788757324
127,per_sample_zscore,1.0,12,12,217.94287109375,2.199882984161377
128,per_sample_zscore,0.8888888888888888,8,9,5450.50927734375,8.378196716308594
129,per_sample_zscore,1.0,5,5,141.12408447265625,1.695939540863037
130,per_sample_zscore,1.0,5,5,4.884711742401123,0.3083440065383911
131,per_sample_zscore,1.0,6,6,65.0578842163086,0.9633767008781433
132,per_sample_zscore,1.0,12,12,251.06619262695312,2.2191429138183594
133,per_sample_zscore,1.0,11,11,469.0653076171875,3.851393938064575
134,per_sample_zscore,1.0,6,6,47.102691650390625,0.8398549556732178
135,per_sample_zscore,0.8,4,5,5199.19091796875,7.227757453918457
136,per_sample_zscore,1.0,5,5,1748.69189453125,9.355508804321289
137,per_sample_zscore,1.0,9,9,150.3701934814453,2.2164549827575684
138,per_sample_zscore,0.8,4,5,5851.31005859375,9.610187530517578
139,per_sample_zscore,1.0,3,3,64.71871185302734,1.0434997081756592
140,per_sample_zscore,0.9090909090909091,10,11,6174.03515625,11.94375228881836
141,per_sample_zscore,0.8333333333333334,15,18,15086.1845703125,17.045753479003906
142,per_sample_zscore,1.0,13,13,1517.0386962890625,10.345833778381348
143,per_sample_zscore,1.0,4,4,1.5879384279251099,0.1654335856437683
144,per_sample_zscore,1.0,12,12,60.8267936706543,1.1863386631011963
145,per_sample_zscore,1.0,4,4,112.34222412109375,1.7353023290634155
146,per_sample_zscore,1.0,14,14,576.9685668945312,4.395547866821289
147,per_sample_zscore,0.0,0,6,29944.1328125,30.288780212402344
148,per_sample_zscore,1.0,6,6,62.596595764160156,0.7755709886550903
149,per_sample_zscore,1.0,15,15,895.322509765625,6.735013008117676
150,per_sample_zscore,1.0,6,6,288.2357177734375,3.0654959678649902
151,per_sample_zscore,1.0,6,6,371.5482177734375,3.757741928100586
152,per_sample_zscore,1.0,10,10,744.1734619140625,5.091748237609863
153,per_sample_zscore,1.0,10,10,119.6670150756836,1.7557950019836426
154,per_sample_zscore,1.0,15,15,1143.7314453125,7.7753190994262695
155,per_sample_zscore,1.0,4,4,168.43081665039062,1.9714552164077759
156,per_sample_zscore,1.0,11,11,543.3157958984375,3.663498640060425
