step,total_loss,presence_loss,type_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice
1,2.820824146270752,0.7317806482315063,0.6848949193954468,0.44266757369041443,nan,nan,nan,nan,1.85934317111969,0.9614808559417725,0.6498735547065735,0.9614808559417725,0.019732121378183365,0.03851914405822754
100,0.9184441566467285,0.0004654261574614793,0.23708808422088623,0.29553815722465515,nan,nan,nan,nan,0.53309166431427,0.3853524923324585,0.19870582222938538,0.3853524923324585,0.4735465943813324,0.6146475076675415
200,0.5286718010902405,2.726258935581427e-05,0.009719876572489738,0.22963693737983704,nan,nan,nan,nan,0.23938407003879547,0.2892877459526062,0.13362951576709747,0.2892877459526062,0.5658714771270752,0.7107122540473938
300,0.46644145250320435,1.3178319932194427e-05,0.003217250807210803,0.18430401384830475,nan,nan,nan,nan,0.18753443658351898,0.27890700101852417,0.12381413578987122,0.27890700101852417,0.5736005902290344,0.7210929989814758
400,0.40901002287864685,9.2638838395942e-06,0.0020552491769194603,0.15177737176418304,nan,nan,nan,nan,0.15384188294410706,0.2551681399345398,0.11096639931201935,0.2551681399345398,0.598568320274353,0.7448318600654602
500,0.3738342225551605,5.488716396939708e-06,0.0016617956571280956,0.12079232931137085,nan,nan,nan,nan,0.12245961278676987,0.25137460231781006,0.10947933793067932,0.25137460231781006,0.6033095121383667,0.7486253976821899
600,0.35371118783950806,3.481386556813959e-06,0.0014281678013503551,0.09948096424341202,nan,nan,nan,nan,0.10091261565685272,0.25279855728149414,0.10999656468629837,0.25279855728149414,0.6012625098228455,0.7472014427185059
700,0.3361513912677765,2.727877927100053e-06,0.0010611077304929495,0.08446606248617172,nan,nan,nan,nan,0.08552990108728409,0.250621497631073,0.10942794382572174,0.250621497631073,0.6041281819343567,0.749378502368927
800,0.32559263706207275,2.4285216113639763e-06,0.0007721525616943836,0.07274637371301651,nan,nan,nan,nan,0.0735209584236145,0.25207167863845825,0.10962933301925659,0.25207167863845825,0.6023418307304382,0.7479283213615417
900,0.3191424012184143,2.1296254999469966e-06,0.0006087477086111903,0.06473129987716675,nan,nan,nan,nan,0.06534218043088913,0.2538002133369446,0.1102217584848404,0.2538002133369446,0.6001178026199341,0.7461997866630554
1000,0.31185948848724365,2.0843488073296612e-06,0.000509481003973633,0.06020841747522354,nan,nan,nan,nan,0.06071998178958893,0.2511395215988159,0.1094224825501442,0.2511395215988159,0.6035593748092651,0.7488604784011841
1100,0.31270265579223633,1.9895801415259484e-06,0.0004374832788016647,0.05741392448544502,nan,nan,nan,nan,0.057853396981954575,0.25484925508499146,0.11049865931272507,0.25484925508499146,0.5987518429756165,0.7451507449150085
1200,0.3088211715221405,2.111584990416304e-06,0.00038516343920491636,0.0557977668941021,nan,nan,nan,nan,0.0561850406229496,0.2526361346244812,0.1098017767071724,0.2526361346244812,0.6015692353248596,0.7473638653755188
1300,0.3073413372039795,2.038178536167834e-06,0.0003281364915892482,0.05383243411779404,nan,nan,nan,nan,0.054162610322237015,0.2531787157058716,0.1099574863910675,0.2531787157058716,0.6009362936019897,0.7468212842941284
1400,0.30568957328796387,2.0289803615014534e-06,0.0002719156618695706,0.052856557071208954,nan,nan,nan,nan,0.05313050001859665,0.2525590658187866,0.10973773896694183,0.2525590658187866,0.6017744541168213,0.7474409341812134
1500,0.30435559153556824,2.217977453256026e-06,0.00025029745302163064,0.05175207927823067,nan,nan,nan,nan,0.05200459435582161,0.25235098600387573,0.10971839725971222,0.25235098600387573,0.6021758913993835,0.7476490139961243
1600,0.30361872911453247,2.187683321608347e-06,0.00021121904137544334,0.05144147947430611,nan,nan,nan,nan,0.051654886454343796,0.25196385383605957,0.10961321741342545,0.25196385383605957,0.6026728749275208,0.7480361461639404
1700,0.3008275032043457,2.1008465864724712e-06,0.0001869854750111699,0.05127027630805969,nan,nan,nan,nan,0.051459360867738724,0.24936813116073608,0.10884233564138412,0.24936813116073608,0.6059854626655579,0.7506318688392639
1800,0.30095505714416504,2.111177991537261e-06,0.00016473798314109445,0.051128730177879333,nan,nan,nan,nan,0.051295578479766846,0.2496594786643982,0.10890015214681625,0.2496594786643982,0.6056137681007385,0.7503405213356018
1900,0.30036890506744385,2.1164237296034116e-06,0.00014947415911592543,0.05117419362068176,nan,nan,nan,nan,0.051325783133506775,0.24904310703277588,0.10876460373401642,0.24904310703277588,0.6063768267631531,0.7509568929672241
2000,0.30283814668655396,2.0656300421251217e-06,0.00014432502212002873,0.05073119327425957,nan,nan,nan,nan,0.05087758228182793,0.2519605755805969,0.10965847223997116,0.2519605755805969,0.6026630401611328,0.7480394244194031
2100,0.30007901787757874,2.0378140561660985e-06,0.00012891479127574712,0.050864193588495255,nan,nan,nan,nan,0.05099514499306679,0.24908387660980225,0.10875792056322098,0.24908387660980225,0.6063555479049683,0.7509161233901978
2200,0.30081629753112793,2.036033265540027e-06,0.00012310310557950288,0.05087326094508171,nan,nan,nan,nan,0.05099840089678764,0.24981790781021118,0.10898825526237488,0.24981790781021118,0.6053990721702576,0.7501820921897888
2300,0.30426156520843506,1.8305397588846972e-06,0.00011602511222008616,0.05119684711098671,nan,nan,nan,nan,0.05131470412015915,0.2529468536376953,0.10985759645700455,0.2529468536376953,0.6012306213378906,0.7470531463623047
2400,0.30280691385269165,1.771837901287654e-06,0.00010196972289122641,0.05083887279033661,nan,nan,nan,nan,0.050942614674568176,0.25186431407928467,0.10959148406982422,0.25186431407928467,0.602637767791748,0.7481356859207153
2500,0.2993909418582916,1.8183619658884709e-06,9.803446300793439e-05,0.050980404019355774,nan,nan,nan,nan,0.05108025670051575,0.24831068515777588,0.10847526788711548,0.24831068515777588,0.6073209643363953,0.7516893148422241
2600,0.3011678457260132,1.754420395627676e-06,9.131296974373981e-05,0.05106141045689583,nan,nan,nan,nan,0.0511544793844223,0.2500133514404297,0.10900883376598358,0.2500133514404297,0.6050816178321838,0.7499866485595703
2700,0.3002702593803406,1.7463160020270152e-06,8.915679791243747e-05,0.05107426270842552,nan,nan,nan,nan,0.05116516724228859,0.24910509586334229,0.10878349840641022,0.24910509586334229,0.6062663793563843,0.7508949041366577
2800,0.2997652590274811,1.6723176941013662e-06,8.448695007245988e-05,0.05087357759475708,nan,nan,nan,nan,0.05095973610877991,0.24880552291870117,0.10861801356077194,0.24880552291870117,0.6066826581954956,0.7511944770812988
2900,0.3019685745239258,1.5461870361832553e-06,7.875150913605466e-05,0.05114751309156418,nan,nan,nan,nan,0.051227811723947525,0.25074076652526855,0.10912255942821503,0.25074076652526855,0.6041510105133057,0.7492592334747314
3000,0.30042824149131775,1.5645902067262796e-06,7.960207585711032e-05,0.0508326031267643,nan,nan,nan,nan,0.050913769751787186,0.24951446056365967,0.10884905606508255,0.24951446056365967,0.6057488918304443,0.7504855394363403
