comparison_run,split,sample_index,reference_mask_iou,comparison_mask_iou,delta_mask_iou,reference_mean_center_grid_error,comparison_mean_center_grid_error,delta_center_grid_error,reference_any_x_bin_wrong,comparison_any_x_bin_wrong,delta_x_wrong,reference_any_y_bin_wrong,comparison_any_y_bin_wrong,delta_y_wrong,reference_pred_area,comparison_pred_area,delta_pred_area,reference_failure_label
x_bin_weighted,test,0,0.5089940039973351,0.5292942743009321,0.020300,3.208589894458454,1.698044009477174,-1.510546,true,false,-1,false,false,0,1161.0,1193.0,32.000000,x_bin_wrong
x_bin_weighted,test,1,0.7469782433521354,0.7470686767169179,0.000090,1.5275310161841114,1.7299258941543167,0.202395,false,true,1,false,false,0,1128.0,1046.0,-82.000000,geometry_or_type_interaction
x_bin_weighted,test,2,0.6497584541062802,0.514004542013626,-0.135754,2.3412033192274233,4.055706639261906,1.714503,true,true,0,false,false,0,1019.0,970.0,-49.000000,x_bin_wrong
x_bin_weighted,test,3,0.6552771450265755,0.5203784570596798,-0.134899,1.3612274176822627,3.234944891618547,1.873717,false,false,0,false,false,0,1100.0,1009.0,-91.000000,geometry_or_type_interaction
x_bin_weighted,test,4,0.4875,0.5014705882352941,0.013971,4.431268641378538,3.9301336551028645,-0.501135,true,true,0,true,true,0,1134.0,1034.0,-100.000000,both_bins_wrong
x_bin_weighted,test,5,0.4671232876712329,0.5032211882605584,0.036098,4.156142957685934,3.8561605955827267,-0.299982,true,true,0,false,false,0,1084.0,1042.0,-42.000000,x_bin_wrong
x_bin_weighted,test,6,0.5068002863278454,0.5047688921496698,-0.002031,3.660544323360997,3.371914848682129,-0.288629,false,true,1,false,false,0,1095.0,1041.0,-54.000000,bins_correct_center_or_offset_bad
x_bin_weighted,test,7,0.5513333333333333,0.5220539828834759,-0.029279,2.463720759838393,3.0951418850562185,0.631421,true,false,-1,false,false,0,1047.0,1032.0,-15.000000,x_bin_wrong
x_bin_weighted,test,8,0.5142065142065142,0.5816398037841626,0.067433,3.6814220695375464,2.599791489949023,-1.081631,false,false,0,false,false,0,1126.0,1198.0,72.000000,bins_correct_center_or_offset_bad
x_bin_weighted,test,9,0.5085122131754256,0.4842027920646583,-0.024309,2.9217799142106458,3.442525033455118,0.520745,false,true,1,false,false,0,1063.0,1045.0,-18.000000,geometry_or_type_interaction
x_bin_weighted,test,10,0.6836902800658978,0.6051851851851852,-0.078505,0.7821606370288228,1.1479601382409084,0.365800,false,false,0,false,false,0,1125.0,1248.0,123.000000,geometry_or_type_interaction
x_bin_weighted,test,11,0.5044490075290896,0.5238095238095238,0.019361,4.179948984353319,4.189804959418441,0.009856,true,true,0,false,true,1,1035.0,1045.0,10.000000,x_bin_wrong
x_bin_weighted,test,12,0.6138448707256047,0.38722044728434507,-0.226624,2.694573452335345,4.237581222914506,1.543008,false,true,1,false,false,0,960.0,1196.0,236.000000,bins_correct_center_or_offset_bad
x_bin_weighted,test,13,0.6672012830793905,0.7232289950576606,0.056028,1.7758220731728622,0.5611137083453023,-1.214708,false,false,0,false,false,0,1049.0,1062.0,13.000000,area_or_distribution_case
x_bin_weighted,test,14,0.6425373134328358,0.5958620689655172,-0.046675,2.58245109747992,2.254149004078855,-0.328302,false,false,0,true,false,-1,1086.0,1199.0,113.000000,y_bin_wrong
x_bin_weighted,test,15,0.6106312292358804,0.6512928022361985,0.040662,0.6077014798296626,0.8276227209069632,0.219921,false,false,0,false,false,0,1222.0,1161.0,-61.000000,area_or_distribution_case
x_bin_weighted,test,16,0.593944099378882,0.6323165704863973,0.038372,2.1393706977551026,2.7937847091769314,0.654414,true,true,0,false,false,0,1060.0,987.0,-73.000000,x_bin_wrong
x_bin_weighted,test,17,0.6247334754797441,0.5370879120879121,-0.087646,1.8419104005614966,3.024866958280345,1.182957,false,true,1,false,false,0,1208.0,1160.0,-48.000000,geometry_or_type_interaction
x_bin_weighted,test,18,0.5568904593639576,0.5056417489421721,-0.051249,3.1495260555435323,3.793053521351735,0.643527,false,false,0,false,false,0,1035.0,967.0,-68.000000,bins_correct_center_or_offset_bad
x_bin_weighted,test,19,0.6365054602184087,0.5460624071322436,-0.090443,1.9507620901624474,2.4295356428286374,0.478774,true,false,-1,false,false,0,985.0,968.0,-17.000000,x_bin_wrong
x_bin_weighted,train,0,0.7658802177858439,0.7421100090171325,-0.023770,1.659613594382023,1.7042309887507605,0.044617,false,false,0,false,true,1,982.0,968.0,-14.000000,area_or_distribution_case
x_bin_weighted,train,1,0.8255613126079447,0.8666666666666667,0.041105,0.5784256882801434,0.4916061086699588,-0.086820,false,false,0,false,false,0,1022.0,1036.0,14.000000,area_or_distribution_case
x_bin_weighted,train,2,0.6748148148148149,0.6460966542750929,-0.028718,0.6111934729227858,0.6026067384678802,-0.008587,false,false,0,false,false,0,1133.0,1086.0,-47.000000,area_or_distribution_case
x_bin_weighted,train,3,0.7919463087248322,0.761994355597366,-0.029952,0.15195413290763923,0.5831258755488683,0.431172,false,false,0,false,false,0,937.0,941.0,4.000000,area_or_distribution_case
x_bin_weighted,train,4,0.8312937062937062,0.8143872113676732,-0.016906,0.5538200669190031,0.5874792497149618,0.033659,false,false,0,false,false,0,1029.0,977.0,-52.000000,area_or_distribution_case
x_bin_weighted,train,5,0.6504065040650406,0.668918918918919,0.018512,0.18213088956654624,0.43129792738529754,0.249167,false,false,0,false,false,0,1129.0,1119.0,-10.000000,area_or_distribution_case
x_bin_weighted,train,6,0.8420107719928187,0.7497893850042123,-0.092221,0.8875487861053705,1.3444317983452925,0.456883,false,false,0,false,false,0,1012.0,1037.0,25.000000,area_or_distribution_case
x_bin_weighted,train,7,0.7546174142480211,0.7676678445229682,0.013050,0.7356122744893053,0.9725628453047568,0.236951,false,false,0,false,false,0,965.0,971.0,6.000000,area_or_distribution_case
x_bin_weighted,train,8,0.612759643916914,0.6275964391691394,0.014837,0.15120468966810388,0.5613295739992916,0.410125,false,false,0,false,false,0,1094.0,1114.0,20.000000,area_or_distribution_case
x_bin_weighted,train,9,0.8184281842818428,0.6515650741350906,-0.166863,0.5876498689966961,2.1559292124822305,1.568279,false,false,0,false,false,0,1005.0,997.0,-8.000000,area_or_distribution_case
x_bin_weighted,train,10,0.783303730017762,0.8093922651933702,0.026089,0.5617298083756224,0.39219716760611956,-0.169533,false,false,0,false,false,0,1004.0,961.0,-43.000000,area_or_distribution_case
x_bin_weighted,train,11,0.7345132743362832,0.7257476294675419,-0.008766,0.11144140252280936,0.42908143137135957,0.317640,false,false,0,false,false,0,1156.0,1170.0,14.000000,area_or_distribution_case
x_bin_weighted,train,12,0.7197563098346388,0.7112676056338029,-0.008489,2.061038221889202,0.8620928839008997,-1.198945,false,false,0,false,false,0,980.0,948.0,-32.000000,area_or_distribution_case
x_bin_weighted,train,13,0.6077943615257048,0.6067687348912167,-0.001026,1.4399426392695942,1.4724626789450774,0.032520,false,false,0,false,false,0,961.0,1016.0,55.000000,area_or_distribution_case
x_bin_weighted,train,14,0.6725274725274726,0.7048585931834663,0.032331,1.1046118444704438,0.3807165106016161,-0.723895,false,false,0,false,false,0,1111.0,1179.0,68.000000,area_or_distribution_case
