phase,step,total_loss,bce_loss,dice_loss,mu_mse_loss,area_loss,batch_iou,batch_area_pred,batch_area_label,pred_area_soft_mean,true_area_mean,mean_mu,min_mu,max_mu,mean_soft_defect,mask_bce_mode,point_sampling_mode,train_point_subsample
finetune,1,1.6170687675476074,0.7092372179031372,0.9078314900398254,245286.796875,0.0,0.01843965251567377,1435.02001953125,212.75999450683594,1893.0823974609375,212.75999450683594,507.0476989746094,382.2149963378906,579.2379150390625,0.4621783494949341,bce,random,4096
finetune,250,1.153788685798645,0.21666331589221954,0.9371253848075867,153025.828125,0.0,0.0,0.0,227.11000061035156,298.4587707519531,227.11000061035156,627.1810913085938,624.1343383789062,629.6603393554688,0.07286591827869415,bce,random,4096
finetune,500,1.1491143703460693,0.21367815136909485,0.9354362487792969,157033.78125,0.0,0.0,0.0,216.60000610351562,340.9194641113281,216.60000610351562,619.9732666015625,615.352294921875,623.7252197265625,0.08323229104280472,bce,random,4096
finetune,750,1.1509885787963867,0.21591569483280182,0.9350728392601013,156421.0625,0.0,0.0,0.0,221.75,332.5550842285156,221.75,621.3731079101562,612.1668090820312,628.2551879882812,0.08119020611047745,bce,random,4096
finetune,1000,1.151233196258545,0.21603500843048096,0.9351981282234192,155386.984375,0.0,0.0,0.0,223.91000366210938,322.2991027832031,223.91000366210938,623.123779296875,613.47509765625,636.9736938476562,0.07868629693984985,bce,random,4096
finetune,1250,1.1519967317581177,0.2155948430299759,0.9364018440246582,154346.234375,0.0,0.0,0.0,223.9600067138672,311.8620300292969,223.9600067138672,624.8011474609375,624.4096069335938,625.6309814453125,0.0761381983757019,bce,random,4096
finetune,1500,1.0742095708847046,0.19460441172122955,0.8796051144599915,130084.09375,0.0,0.0,0.0,212.1999969482422,366.8089599609375,212.1999969482422,662.9696655273438,541.3275146484375,820.7596435546875,0.08955297619104385,bce,random,4096
finetune,1750,1.0575817823410034,0.1892019808292389,0.8683798313140869,119741.890625,0.0,0.0,0.0,214.27999877929688,360.6197509765625,214.27999877929688,686.7052612304688,513.5379028320312,914.9345703125,0.08804192394018173,bce,random,4096
finetune,2000,1.1858494281768799,0.26293104887008667,0.9229183793067932,116190.6328125,0.0,0.008980623592125737,124.87000274658203,219.4600067138672,362.8406982421875,219.4600067138672,713.4375610351562,463.9311828613281,939.9572143554688,0.08858415484428406,bce,random,4096
finetune,2250,1.1481609344482422,0.20882117748260498,0.9393396973609924,151861.078125,0.0,0.0,0.0,214.97000122070312,294.91619873046875,214.97000122070312,627.8214721679688,626.0252685546875,629.717529296875,0.07200102508068085,bce,random,4096
finetune,2500,1.1466562747955322,0.21067553758621216,0.9359807372093201,156232.65625,0.0,0.0,0.0,212.6699981689453,336.6086730957031,212.6699981689453,620.8047485351562,613.0330200195312,632.7689819335938,0.08217985183000565,bce,random,4096
finetune,2750,1.147070288658142,0.20328740775585175,0.9437828660011292,136197.8125,0.0,0.0,0.0,218.6300048828125,194.24966430664062,218.6300048828125,652.951171875,633.996826171875,722.3729248046875,0.047424234449863434,bce,random,4096
finetune,3000,1.1498584747314453,0.211960107088089,0.9378983378410339,153267.734375,0.0,0.0,0.0,218.72999572753906,305.031982421875,218.72999572753906,625.998046875,625.8308715820312,626.1679077148438,0.07447069883346558,bce,random,4096
