sample_index,signal_normalization,conditioning_mode,encoder_type,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,concat,cnn,1.0,3,3,1901.423095703125,16.173778533935547
1,per_sample_zscore,concat,cnn,1.0,7,7,1366.8280029296875,10.261879920959473
2,per_sample_zscore,concat,cnn,1.0,6,6,344.0087890625,6.419912338256836
3,per_sample_zscore,concat,cnn,1.0,4,4,218.9985809326172,4.499728679656982
4,per_sample_zscore,concat,cnn,1.0,6,6,175.16131591796875,5.205974578857422
5,per_sample_zscore,concat,cnn,1.0,6,6,463.2341003417969,6.812495231628418
6,per_sample_zscore,concat,cnn,1.0,6,6,619.8744506835938,7.679001331329346
7,per_sample_zscore,concat,cnn,1.0,6,6,486.4493103027344,6.092235088348389
8,per_sample_zscore,concat,cnn,0.0,0,5,25814.939453125,32.251007080078125
9,per_sample_zscore,concat,cnn,1.0,12,12,2943.8271484375,16.297883987426758
10,per_sample_zscore,concat,cnn,1.0,10,10,1546.2176513671875,10.844160079956055
11,per_sample_zscore,concat,cnn,1.0,4,4,217.8910675048828,5.118833541870117
12,per_sample_zscore,concat,cnn,1.0,3,3,331.45782470703125,5.722540378570557
13,per_sample_zscore,concat,cnn,1.0,9,9,673.766845703125,7.706828594207764
14,per_sample_zscore,concat,cnn,1.0,8,8,3950.19091796875,23.450599670410156
15,per_sample_zscore,concat,cnn,1.0,6,6,760.314453125,7.321541786193848
16,per_sample_zscore,concat,cnn,1.0,6,6,488.2607727050781,6.669734001159668
17,per_sample_zscore,concat,cnn,1.0,3,3,388.1260070800781,6.157530307769775
18,per_sample_zscore,concat,cnn,1.0,6,6,316.25592041015625,6.035873889923096
19,per_sample_zscore,concat,cnn,1.0,4,4,318.2050476074219,5.597419261932373
20,per_sample_zscore,concat,cnn,1.0,6,6,383.7544860839844,6.643657207489014
21,per_sample_zscore,concat,cnn,1.0,8,8,892.942626953125,9.2396879196167
22,per_sample_zscore,concat,cnn,1.0,11,11,1407.421875,11.011871337890625
23,per_sample_zscore,concat,cnn,1.0,12,12,1690.9945068359375,12.110347747802734
24,per_sample_zscore,concat,cnn,1.0,8,8,732.4410400390625,9.44982624053955
25,per_sample_zscore,concat,cnn,1.0,3,3,642.9727172851562,7.560956954956055
26,per_sample_zscore,concat,cnn,1.0,9,9,1201.40576171875,9.785320281982422
27,per_sample_zscore,concat,cnn,1.0,7,7,982.9403076171875,9.478263854980469
28,per_sample_zscore,concat,cnn,1.0,13,13,2185.140869140625,14.070416450500488
29,per_sample_zscore,concat,cnn,0.8571428571428571,7,6,5739.5888671875,12.631572723388672
30,per_sample_zscore,concat,cnn,1.0,5,5,750.9390869140625,7.581900596618652
31,per_sample_zscore,concat,cnn,1.0,9,9,1516.9105224609375,13.068289756774902
32,per_sample_zscore,concat,cnn,1.0,11,11,1877.3817138671875,13.110058784484863
33,per_sample_zscore,concat,cnn,1.0,7,7,3477.12744140625,20.947614669799805
34,per_sample_zscore,concat,cnn,1.0,3,3,544.5328979492188,7.667547225952148
35,per_sample_zscore,concat,cnn,1.0,4,4,434.9581298828125,5.544069766998291
36,per_sample_zscore,concat,cnn,1.0,4,4,212.5615692138672,4.052148342132568
37,per_sample_zscore,concat,cnn,1.0,6,6,461.7235107421875,8.803571701049805
38,per_sample_zscore,concat,cnn,1.0,5,5,1005.7732543945312,9.770808219909668
39,per_sample_zscore,concat,cnn,0.8571428571428571,6,7,5484.1943359375,14.010375022888184
40,per_sample_zscore,concat,cnn,1.0,9,9,860.026611328125,8.754341125488281
41,per_sample_zscore,concat,cnn,1.0,16,16,2785.97021484375,17.503524780273438
42,per_sample_zscore,concat,cnn,0.5,3,6,15007.177734375,21.243600845336914
43,per_sample_zscore,concat,cnn,0.9,10,9,6329.40625,15.164140701293945
44,per_sample_zscore,concat,cnn,1.0,6,6,534.282958984375,8.378798484802246
45,per_sample_zscore,concat,cnn,1.0,5,5,848.727783203125,7.422095775604248
46,per_sample_zscore,concat,cnn,1.0,5,5,791.9345092773438,7.479928970336914
47,per_sample_zscore,concat,cnn,1.0,7,7,854.8355712890625,8.303872108459473
48,per_sample_zscore,concat,cnn,1.0,7,7,1184.2554931640625,11.501694679260254
49,per_sample_zscore,concat,cnn,1.0,6,6,372.8134765625,6.126601696014404
50,per_sample_zscore,concat,cnn,1.0,3,3,309.22076416015625,6.236759185791016
51,per_sample_zscore,concat,cnn,1.0,8,8,1675.63720703125,11.66828727722168
52,per_sample_zscore,concat,cnn,0.7272727272727273,8,11,16768.328125,27.149999618530273
53,per_sample_zscore,concat,cnn,1.0,6,6,713.7918701171875,7.516031265258789
54,per_sample_zscore,concat,cnn,1.0,5,5,691.015625,6.934518337249756
55,per_sample_zscore,concat,cnn,1.0,10,10,1438.4915771484375,12.66622543334961
56,per_sample_zscore,concat,cnn,0.5454545454545454,6,11,25916.484375,36.04842758178711
57,per_sample_zscore,concat,cnn,1.0,14,14,1467.90673828125,10.979236602783203
58,per_sample_zscore,concat,cnn,1.0,11,11,1596.4964599609375,12.61587142944336
59,per_sample_zscore,concat,cnn,1.0,6,6,439.52215576171875,5.832869052886963
60,per_sample_zscore,concat,cnn,1.0,12,12,1121.3504638671875,10.60931396484375
61,per_sample_zscore,concat,cnn,1.0,5,5,850.0278930664062,9.245340347290039
62,per_sample_zscore,concat,cnn,1.0,4,4,832.8222045898438,9.146564483642578
63,per_sample_zscore,concat,cnn,1.0,4,4,570.5964965820312,7.896329402923584
64,per_sample_zscore,concat,cnn,1.0,9,9,1909.8380126953125,13.04100227355957
65,per_sample_zscore,concat,cnn,0.8,4,5,5751.39794921875,19.083778381347656
66,per_sample_zscore,concat,cnn,0.875,7,8,6517.23486328125,16.879444122314453
67,per_sample_zscore,concat,cnn,1.0,4,4,600.9033813476562,7.208673000335693
68,per_sample_zscore,concat,cnn,0.8,12,15,15933.3046875,27.997358322143555
69,per_sample_zscore,concat,cnn,1.0,16,16,932.429931640625,9.541851043701172
70,per_sample_zscore,concat,cnn,1.0,8,8,1096.83251953125,10.145950317382812
71,per_sample_zscore,concat,cnn,1.0,9,9,1023.5145874023438,11.01295280456543
72,per_sample_zscore,concat,cnn,1.0,4,4,599.7709350585938,8.964164733886719
73,per_sample_zscore,concat,cnn,1.0,4,4,2471.53173828125,16.307310104370117
74,per_sample_zscore,concat,cnn,1.0,3,3,247.19058227539062,5.910925388336182
75,per_sample_zscore,concat,cnn,1.0,8,8,377.5179748535156,6.788839817047119
76,per_sample_zscore,concat,cnn,1.0,9,9,1015.8409423828125,9.032487869262695
77,per_sample_zscore,concat,cnn,1.0,10,10,806.453857421875,9.652679443359375
78,per_sample_zscore,concat,cnn,1.0,6,6,1243.0849609375,10.113224983215332
79,per_sample_zscore,concat,cnn,1.0,13,13,4421.044921875,19.938379287719727
80,per_sample_zscore,concat,cnn,1.0,6,6,382.5603942871094,5.836321830749512
81,per_sample_zscore,concat,cnn,0.8235294117647058,14,17,15967.2900390625,27.73471450805664
82,per_sample_zscore,concat,cnn,1.0,9,9,872.2394409179688,9.5120210647583
83,per_sample_zscore,concat,cnn,1.0,9,9,771.531005859375,9.223944664001465
84,per_sample_zscore,concat,cnn,1.0,10,10,577.3546142578125,7.486466884613037
85,per_sample_zscore,concat,cnn,1.0,6,6,419.70477294921875,6.851762771606445
86,per_sample_zscore,concat,cnn,1.0,17,17,3129.47119140625,17.96158790588379
87,per_sample_zscore,concat,cnn,1.0,15,15,3346.02490234375,17.138425827026367
88,per_sample_zscore,concat,cnn,1.0,8,8,751.329833984375,9.276004791259766
89,per_sample_zscore,concat,cnn,1.0,5,5,687.78076171875,8.531534194946289
90,per_sample_zscore,concat,cnn,1.0,4,4,143.62586975097656,4.1737470626831055
91,per_sample_zscore,concat,cnn,1.0,3,3,989.260009765625,9.375940322875977
92,per_sample_zscore,concat,cnn,1.0,8,8,930.6994018554688,8.130359649658203
93,per_sample_zscore,concat,cnn,0.9,9,10,7972.56103515625,23.020692825317383
94,per_sample_zscore,concat,cnn,1.0,9,9,867.0195922851562,7.958927631378174
95,per_sample_zscore,concat,cnn,1.0,8,8,464.9008483886719,6.364277362823486
96,per_sample_zscore,concat,cnn,1.0,6,6,630.6949462890625,8.245684623718262
97,per_sample_zscore,concat,cnn,0.8333333333333334,6,5,8596.4404296875,33.17892074584961
98,per_sample_zscore,concat,cnn,1.0,6,6,547.2332763671875,7.3857421875
99,per_sample_zscore,concat,cnn,1.0,10,10,945.3128051757812,10.684637069702148
100,per_sample_zscore,concat,cnn,1.0,13,13,2345.604736328125,14.814414024353027
101,per_sample_zscore,concat,cnn,0.8888888888888888,17,17,13789.1552734375,32.0283088684082
102,per_sample_zscore,concat,cnn,1.0,14,14,3280.34521484375,17.147748947143555
103,per_sample_zscore,concat,cnn,1.0,4,4,443.16192626953125,7.196832656860352
104,per_sample_zscore,concat,cnn,1.0,8,8,2658.61865234375,15.962433815002441
105,per_sample_zscore,concat,cnn,0.9230769230769231,12,13,8584.009765625,24.172544479370117
106,per_sample_zscore,concat,cnn,0.0,0,4,21359.505859375,31.592981338500977
107,per_sample_zscore,concat,cnn,0.75,3,4,6427.5810546875,30.08332061767578
