phase,step,total_loss,bce_loss,dice_loss,mu_mse_loss,batch_iou,batch_area_pred,batch_area_label,mean_mu,min_mu,max_mu,mean_soft_defect,mask_bce_mode,point_sampling_mode,train_point_subsample
finetune,1,1.362794280052185,0.4470244348049164,0.9157698154449463,203909.265625,0.0094384765625,696.3200073242188,224.4499969482422,558.9708251953125,423.0382385253906,648.9861450195312,0.2769017517566681,bce,random,4096
finetune,250,1.1506829261779785,0.21561390161514282,0.9350690245628357,156792.421875,0.0,0.0,220.5399932861328,620.7037353515625,616.4423217773438,624.0836181640625,0.08212044090032578,bce,random,4096
finetune,500,1.1496144533157349,0.2100691944360733,0.9395452737808228,151121.515625,0.0,0.0,217.8000030517578,629.2572021484375,622.85107421875,633.7726440429688,0.07013292610645294,bce,random,4096
finetune,750,1.1532632112503052,0.21658140420913696,0.9366818070411682,153434.875,0.0,0.0,226.77999877929688,626.48291015625,618.449462890625,633.7747192382812,0.07386548817157745,bce,random,4096
finetune,1000,1.1350024938583374,0.20791170001029968,0.9270907640457153,159593.015625,0.0,0.0,208.35000610351562,614.5679931640625,597.9046630859375,662.5015869140625,0.09317152202129364,bce,random,4096
finetune,1250,1.5213565826416016,0.5214558243751526,0.9999008178710938,52055.61328125,0.0,0.0,215.47999572753906,995.5635375976562,995.5397338867188,995.7623291015625,4.9609923735260963e-05,bce,random,4096
finetune,1500,1.1539431810379028,0.21934734284877777,0.9345958232879639,156084.9375,0.0,0.0,228.35000610351562,622.5159301757812,622.3001708984375,623.3956298828125,0.07941527664661407,bce,random,4096
finetune,1750,1.1509373188018799,0.21300025284290314,0.9379370212554932,152912.546875,0.0,0.0,220.92999267578125,626.762939453125,626.4473876953125,627.59033203125,0.07342319190502167,bce,random,4096
finetune,2000,1.152892827987671,0.21698904037475586,0.9359038472175598,154872.34375,0.0,0.0,225.67999267578125,624.1535034179688,623.648681640625,625.2783203125,0.07705388218164444,bce,random,4096
finetune,2250,1.15055513381958,0.21619753539562225,0.9343575835227966,157991.609375,0.0,0.0,219.52000427246094,618.78271484375,617.9336547851562,622.6895141601562,0.08505014330148697,bce,random,4096
finetune,2500,1.1520977020263672,0.21840721368789673,0.9336904883384705,158125.703125,0.0,0.0,223.49000549316406,618.92724609375,617.3916625976562,623.296875,0.08482670783996582,bce,random,4096
finetune,2750,1.15031898021698,0.21322910487651825,0.9370898604393005,154200.015625,0.0,0.0,219.8800048828125,624.6517944335938,622.0084838867188,629.0369262695312,0.07635342329740524,bce,random,4096
finetune,3000,1.1482293605804443,0.21038901805877686,0.9378402829170227,153965.015625,0.0,0.0,215.1300048828125,624.5720825195312,621.072509765625,627.486572265625,0.07646898925304413,bce,random,4096
