step,total_loss,presence_loss,type_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,other_loss
1,2.1405434608459473,0.6793494820594788,0.6940373182296753,0.42013823986053467,0.46363183856010437,0.47246053814888,0.4511667788028717,0.3778567612171173,nan
100,1.2506362199783325,0.00026334941503591835,0.6053222417831421,0.3423895537853241,0.2293710559606552,0.4276367127895355,0.39955028891563416,0.33259308338165283,nan
200,1.1718337535858154,7.765978580209776e-07,0.5725479125976562,0.31301116943359375,0.1654713898897171,0.40837544202804565,0.3509522080421448,0.3177560269832611,nan
300,1.0417815446853638,3.075190875279077e-07,0.49582773447036743,0.29803964495658875,0.13211511075496674,0.3873714804649353,0.3548718988895416,0.30462646484375,nan
400,0.9367846846580505,7.225090712381643e-07,0.4389415979385376,0.27837157249450684,0.1220342218875885,0.3753128945827484,0.3320935368537903,0.28026291728019714,nan
500,0.8359692096710205,5.931545743464994e-08,0.3913087248802185,0.24900607764720917,0.10950940102338791,0.35996323823928833,0.3025340139865875,0.24067659676074982,nan
600,0.8170984387397766,1.453950915220048e-07,0.38209566473960876,0.2439548522233963,0.10927939414978027,0.35672271251678467,0.2962266802787781,0.2338334619998932,nan
700,1.036147117614746,4.678141607428188e-08,0.5001314878463745,0.28594982624053955,0.11139808595180511,0.37620171904563904,0.3362164795398712,0.2972942292690277,nan
800,0.7133487462997437,4.983595758289994e-08,0.3277739882469177,0.2216876745223999,0.10376472771167755,0.34013617038726807,0.27428480982780457,0.20398014783859253,nan
900,0.6645705699920654,2.264965992537782e-08,0.29989534616470337,0.2147275060415268,0.10197771340608597,0.3318856656551361,0.265974760055542,0.19617560505867004,nan
1000,0.643592357635498,1.0824695806377349e-08,0.28803595900535583,0.2115384340286255,0.10057399421930313,0.32540276646614075,0.2616088390350342,0.19388164579868317,nan
1100,0.8943359851837158,1.0057295867227367e-06,0.4177077114582062,0.26777341961860657,0.10368683189153671,0.3604804277420044,0.32327091693878174,0.273067444562912,nan
1200,0.7296682000160217,2.2475147432032827e-07,0.3223755657672882,0.24610461294651031,0.09826178103685379,0.3455715477466583,0.3109135031700134,0.2406269609928131,nan
1300,0.5868583917617798,7.338316265759204e-08,0.248331218957901,0.2143615037202835,0.09843559563159943,0.32343918085098267,0.2637351453304291,0.20018638670444489,nan
1400,0.5414430499076843,2.8735138712931985e-08,0.22371803224086761,0.2058659791946411,0.09734442085027695,0.3162078559398651,0.2508724331855774,0.1902570277452469,nan
1500,0.5201564431190491,9.666959677190334e-09,0.2095530480146408,0.20582687854766846,0.09610242396593094,0.3128998279571533,0.24756169319152832,0.19279909133911133,nan
1600,0.5068378448486328,4.085392024677503e-09,0.2027948945760727,0.20264552533626556,0.09596943110227585,0.3091000020503998,0.24039530754089355,0.1901361048221588,nan
1700,0.4780147075653076,2.1558477225624983e-09,0.1867208629846573,0.19793342053890228,0.09457143396139145,0.30434244871139526,0.23146842420101166,0.1857393980026245,nan
1800,0.4384232759475708,1.1597030002974407e-09,0.16418910026550293,0.1921396255493164,0.09259352833032608,0.2985953986644745,0.22238929569721222,0.1797531694173813,nan
1900,0.4405866265296936,6.71336708446546e-10,0.16445140540599823,0.19390954077243805,0.0929555892944336,0.2992592751979828,0.22661900520324707,0.18154111504554749,nan
2000,0.40333232283592224,3.689246130811341e-10,0.14146238565444946,0.19113874435424805,0.09289245307445526,0.2932194471359253,0.21556267142295837,0.18171928822994232,nan
