sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,concat,mlp,local_value,0.0,0,3,14970.0361328125,14.9990816116333
1,per_sample_zscore,concat,mlp,local_value,1.0,7,7,437.0836486816406,4.092864513397217
2,per_sample_zscore,concat,mlp,local_value,1.0,6,6,58.36159896850586,0.9836582541465759
3,per_sample_zscore,concat,mlp,local_value,1.0,4,4,15.211933135986328,0.5363625288009644
4,per_sample_zscore,concat,mlp,local_value,1.0,6,6,76.85151672363281,1.1964930295944214
5,per_sample_zscore,concat,mlp,local_value,1.0,6,6,287.80291748046875,3.3069560527801514
6,per_sample_zscore,concat,mlp,local_value,1.0,6,6,46.77485275268555,1.2334731817245483
7,per_sample_zscore,concat,mlp,local_value,0.0,0,6,29941.21875,30.050315856933594
8,per_sample_zscore,concat,mlp,local_value,0.0,0,5,24952.642578125,25.20454216003418
9,per_sample_zscore,concat,mlp,local_value,1.0,12,12,225.13522338867188,2.3686671257019043
10,per_sample_zscore,concat,mlp,local_value,1.0,10,10,106.15377044677734,1.6102004051208496
11,per_sample_zscore,concat,mlp,local_value,1.0,4,4,44.715003967285156,1.0430587530136108
12,per_sample_zscore,concat,mlp,local_value,1.0,3,3,4.268310546875,0.23872706294059753
13,per_sample_zscore,concat,mlp,local_value,1.0,9,9,46.32840347290039,0.912545919418335
14,per_sample_zscore,concat,mlp,local_value,1.0,8,8,53.7385139465332,1.3277901411056519
15,per_sample_zscore,concat,mlp,local_value,1.0,6,6,5.073573112487793,0.32686033844947815
16,per_sample_zscore,concat,mlp,local_value,1.0,6,6,6.622476577758789,0.37195903062820435
17,per_sample_zscore,concat,mlp,local_value,1.0,3,3,59.073974609375,0.9087945222854614
18,per_sample_zscore,concat,mlp,local_value,1.0,6,6,17.213956832885742,0.5107874870300293
19,per_sample_zscore,concat,mlp,local_value,1.0,4,4,8.102559089660645,0.2802124619483948
20,per_sample_zscore,concat,mlp,local_value,1.0,6,6,165.50498962402344,2.3532838821411133
21,per_sample_zscore,concat,mlp,local_value,1.0,8,8,693.4185791015625,3.877265214920044
22,per_sample_zscore,concat,mlp,local_value,1.0,11,11,105.62857055664062,2.200834035873413
23,per_sample_zscore,concat,mlp,local_value,1.0,12,12,110.07552337646484,2.434526205062866
24,per_sample_zscore,concat,mlp,local_value,1.0,8,8,45.62215805053711,1.209667682647705
25,per_sample_zscore,concat,mlp,local_value,1.0,3,3,54.98299789428711,0.7529065012931824
26,per_sample_zscore,concat,mlp,local_value,1.0,9,9,35.12172317504883,0.9893476366996765
27,per_sample_zscore,concat,mlp,local_value,1.0,7,7,92.7979736328125,1.47728431224823
28,per_sample_zscore,concat,mlp,local_value,1.0,13,13,533.4029541015625,4.816908836364746
29,per_sample_zscore,concat,mlp,local_value,0.8333333333333334,5,6,5013.2412109375,5.804880619049072
30,per_sample_zscore,concat,mlp,local_value,1.0,5,5,127.65685272216797,2.1673638820648193
31,per_sample_zscore,concat,mlp,local_value,1.0,9,9,93.53960418701172,1.5838091373443604
32,per_sample_zscore,concat,mlp,local_value,1.0,11,11,177.25936889648438,2.377797842025757
33,per_sample_zscore,concat,mlp,local_value,1.0,7,7,8.200278282165527,0.44607916474342346
34,per_sample_zscore,concat,mlp,local_value,1.0,3,3,44.58435821533203,0.8738126754760742
35,per_sample_zscore,concat,mlp,local_value,1.0,4,4,99.35171508789062,1.8639259338378906
36,per_sample_zscore,concat,mlp,local_value,1.0,4,4,16.684553146362305,0.5041248798370361
37,per_sample_zscore,concat,mlp,local_value,1.0,6,6,34.79934310913086,0.7312813401222229
38,per_sample_zscore,concat,mlp,local_value,1.0,5,5,154.44927978515625,2.2235395908355713
39,per_sample_zscore,concat,mlp,local_value,1.0,7,7,396.3287048339844,3.962965250015259
40,per_sample_zscore,concat,mlp,local_value,1.0,9,9,124.54869079589844,2.2321319580078125
41,per_sample_zscore,concat,mlp,local_value,1.0,16,16,246.4492950439453,3.337540626525879
42,per_sample_zscore,concat,mlp,local_value,1.0,6,6,1892.0341796875,11.456097602844238
43,per_sample_zscore,concat,mlp,local_value,1.0,9,9,288.99114990234375,2.369882822036743
44,per_sample_zscore,concat,mlp,local_value,1.0,6,6,6.654430389404297,0.34597858786582947
45,per_sample_zscore,concat,mlp,local_value,1.0,5,5,137.61871337890625,1.6023608446121216
46,per_sample_zscore,concat,mlp,local_value,1.0,5,5,178.995849609375,2.0750465393066406
47,per_sample_zscore,concat,mlp,local_value,1.0,7,7,1307.0760498046875,6.686607360839844
48,per_sample_zscore,concat,mlp,local_value,1.0,7,7,108.24481964111328,1.4569555521011353
49,per_sample_zscore,concat,mlp,local_value,1.0,6,6,15.748597145080566,0.4132404625415802
50,per_sample_zscore,concat,mlp,local_value,0.6666666666666666,2,3,5401.49658203125,9.37324333190918
51,per_sample_zscore,concat,mlp,local_value,1.0,8,8,191.42767333984375,2.1030797958374023
52,per_sample_zscore,concat,mlp,local_value,1.0,11,11,1570.453125,13.27218246459961
53,per_sample_zscore,concat,mlp,local_value,1.0,6,6,15.12520980834961,0.4736785292625427
54,per_sample_zscore,concat,mlp,local_value,1.0,5,5,97.8255844116211,1.3386491537094116
55,per_sample_zscore,concat,mlp,local_value,1.0,10,10,361.255859375,3.2732696533203125
56,per_sample_zscore,concat,mlp,local_value,0.9090909090909091,10,11,5682.05908203125,11.009428024291992
57,per_sample_zscore,concat,mlp,local_value,1.0,14,14,173.9110870361328,2.031856060028076
58,per_sample_zscore,concat,mlp,local_value,1.0,11,11,121.42401885986328,1.581018328666687
59,per_sample_zscore,concat,mlp,local_value,1.0,6,6,41.31913375854492,0.9508315324783325
60,per_sample_zscore,concat,mlp,local_value,1.0,12,12,66.04823303222656,1.4001480340957642
61,per_sample_zscore,concat,mlp,local_value,1.0,5,5,113.23646545410156,2.291642904281616
62,per_sample_zscore,concat,mlp,local_value,1.0,4,4,548.879638671875,4.141839981079102
63,per_sample_zscore,concat,mlp,local_value,1.0,4,4,201.1035919189453,2.0186426639556885
64,per_sample_zscore,concat,mlp,local_value,1.0,9,9,63.1309928894043,1.1854498386383057
65,per_sample_zscore,concat,mlp,local_value,1.0,5,5,384.57177734375,4.526892185211182
66,per_sample_zscore,concat,mlp,local_value,1.0,8,8,388.0616455078125,3.946223020553589
67,per_sample_zscore,concat,mlp,local_value,1.0,4,4,558.9287109375,3.789410352706909
68,per_sample_zscore,concat,mlp,local_value,0.8,12,15,15670.9306640625,20.117713928222656
69,per_sample_zscore,concat,mlp,local_value,1.0,16,16,375.58135986328125,3.628157377243042
70,per_sample_zscore,concat,mlp,local_value,1.0,8,8,229.9822998046875,2.4337313175201416
71,per_sample_zscore,concat,mlp,local_value,1.0,9,9,167.4247589111328,2.1995275020599365
72,per_sample_zscore,concat,mlp,local_value,1.0,4,4,12.851990699768066,0.44592684507369995
73,per_sample_zscore,concat,mlp,local_value,1.0,4,4,47.92112731933594,0.9670887589454651
74,per_sample_zscore,concat,mlp,local_value,1.0,3,3,25.8900089263916,0.7407422661781311
75,per_sample_zscore,concat,mlp,local_value,1.0,8,8,78.61392211914062,1.4083905220031738
76,per_sample_zscore,concat,mlp,local_value,1.0,9,9,264.5174255371094,2.4271349906921387
77,per_sample_zscore,concat,mlp,local_value,1.0,10,10,93.8675765991211,1.6359386444091797
78,per_sample_zscore,concat,mlp,local_value,1.0,6,6,325.2599182128906,3.2505509853363037
79,per_sample_zscore,concat,mlp,local_value,1.0,13,13,344.1749267578125,3.5919933319091797
80,per_sample_zscore,concat,mlp,local_value,1.0,6,6,13.71713924407959,0.4563293755054474
81,per_sample_zscore,concat,mlp,local_value,0.8823529411764706,15,17,10136.6787109375,12.504390716552734
82,per_sample_zscore,concat,mlp,local_value,1.0,9,9,213.04774475097656,2.430466890335083
83,per_sample_zscore,concat,mlp,local_value,1.0,9,9,35.689964294433594,0.8174965977668762
84,per_sample_zscore,concat,mlp,local_value,1.0,10,10,369.3615417480469,3.349945068359375
85,per_sample_zscore,concat,mlp,local_value,1.0,6,6,3.3906373977661133,0.23382224142551422
86,per_sample_zscore,concat,mlp,local_value,1.0,17,17,180.1156005859375,2.63325834274292
87,per_sample_zscore,concat,mlp,local_value,1.0,15,15,254.01600646972656,3.033726453781128
88,per_sample_zscore,concat,mlp,local_value,1.0,8,8,151.13954162597656,2.426604747772217
89,per_sample_zscore,concat,mlp,local_value,1.0,5,5,54.81587219238281,0.9565531015396118
90,per_sample_zscore,concat,mlp,local_value,1.0,4,4,48.10369110107422,1.0822527408599854
91,per_sample_zscore,concat,mlp,local_value,1.0,3,3,12.307845115661621,0.45646438002586365
92,per_sample_zscore,concat,mlp,local_value,0.875,7,8,5076.0009765625,6.343756198883057
93,per_sample_zscore,concat,mlp,local_value,0.8,8,10,10474.2451171875,14.098432540893555
94,per_sample_zscore,concat,mlp,local_value,1.0,9,9,121.22978210449219,1.611032247543335
95,per_sample_zscore,concat,mlp,local_value,1.0,8,8,22.61257553100586,0.6803818941116333
96,per_sample_zscore,concat,mlp,local_value,1.0,6,6,1029.4696044921875,5.526792526245117
97,per_sample_zscore,concat,mlp,local_value,0.0,0,5,24973.03515625,25.458221435546875
98,per_sample_zscore,concat,mlp,local_value,1.0,6,6,6.945624351501465,0.3491019010543823
99,per_sample_zscore,concat,mlp,local_value,1.0,10,10,46.628822326660156,1.1049860715866089
100,per_sample_zscore,concat,mlp,local_value,1.0,13,13,385.9390563964844,3.0962276458740234
101,per_sample_zscore,concat,mlp,local_value,0.8823529411764706,15,17,10363.5849609375,14.085206031799316
102,per_sample_zscore,concat,mlp,local_value,1.0,14,14,10.39212417602539,0.6637241244316101
103,per_sample_zscore,concat,mlp,local_value,0.0,0,4,19962.4609375,20.16534423828125
104,per_sample_zscore,concat,mlp,local_value,0.875,7,8,5050.20556640625,6.491796493530273
105,per_sample_zscore,concat,mlp,local_value,0.9230769230769231,12,13,5555.02685546875,9.967663764953613
106,per_sample_zscore,concat,mlp,local_value,0.0,0,4,19965.421875,20.158447265625
107,per_sample_zscore,concat,mlp,local_value,0.75,3,4,5082.2216796875,6.657506942749023
108,per_sample_zscore,concat,mlp,local_value,1.0,8,8,104.1705322265625,1.8529601097106934
109,per_sample_zscore,concat,mlp,local_value,1.0,8,8,68.9080581665039,1.151665210723877
110,per_sample_zscore,concat,mlp,local_value,1.0,5,5,96.84751892089844,1.5333126783370972
111,per_sample_zscore,concat,mlp,local_value,1.0,13,13,205.70089721679688,2.323273181915283
112,per_sample_zscore,concat,mlp,local_value,1.0,7,7,330.3776550292969,3.544147253036499
113,per_sample_zscore,concat,mlp,local_value,0.9,10,9,5455.7119140625,8.607522010803223
114,per_sample_zscore,concat,mlp,local_value,1.0,9,9,112.3819580078125,1.8061928749084473
115,per_sample_zscore,concat,mlp,local_value,0.0,0,4,19960.326171875,20.025848388671875
116,per_sample_zscore,concat,mlp,local_value,1.0,8,8,109.65679168701172,1.4124985933303833
117,per_sample_zscore,concat,mlp,local_value,0.0,0,2,10049.744140625,10.604321479797363
118,per_sample_zscore,concat,mlp,local_value,0.7142857142857143,5,7,10024.845703125,10.902602195739746
119,per_sample_zscore,concat,mlp,local_value,1.0,11,11,82.260009765625,1.3604768514633179
120,per_sample_zscore,concat,mlp,local_value,1.0,4,4,32.45653533935547,0.7130311131477356
121,per_sample_zscore,concat,mlp,local_value,0.6666666666666666,2,3,5507.75,8.512012481689453
122,per_sample_zscore,concat,mlp,local_value,1.0,9,9,46.53490447998047,1.483346700668335
123,per_sample_zscore,concat,mlp,local_value,1.0,9,9,126.3600082397461,1.5523563623428345
124,per_sample_zscore,concat,mlp,local_value,1.0,4,4,15.274890899658203,0.6114356517791748
125,per_sample_zscore,concat,mlp,local_value,1.0,3,3,1.1229217052459717,0.1080784797668457
126,per_sample_zscore,concat,mlp,local_value,1.0,6,6,14.178653717041016,0.41451725363731384
127,per_sample_zscore,concat,mlp,local_value,1.0,12,12,248.39776611328125,2.9416277408599854
128,per_sample_zscore,concat,mlp,local_value,1.0,9,9,612.2003784179688,4.7431321144104
129,per_sample_zscore,concat,mlp,local_value,1.0,5,5,28.08550262451172,0.8313978314399719
130,per_sample_zscore,concat,mlp,local_value,1.0,5,5,49.93770217895508,1.0122677087783813
131,per_sample_zscore,concat,mlp,local_value,1.0,6,6,47.10856246948242,0.9764266610145569
132,per_sample_zscore,concat,mlp,local_value,1.0,12,12,534.7501220703125,4.460016250610352
133,per_sample_zscore,concat,mlp,local_value,1.0,11,11,61.671600341796875,1.0362731218338013
134,per_sample_zscore,concat,mlp,local_value,0.8571428571428571,7,6,5128.17626953125,6.922793865203857
135,per_sample_zscore,concat,mlp,local_value,1.0,5,5,645.3187255859375,4.326258659362793
136,per_sample_zscore,concat,mlp,local_value,1.0,5,5,976.6187133789062,5.436430931091309
137,per_sample_zscore,concat,mlp,local_value,1.0,9,9,114.3353271484375,1.6489806175231934
138,per_sample_zscore,concat,mlp,local_value,1.0,5,5,134.6167755126953,1.8216288089752197
139,per_sample_zscore,concat,mlp,local_value,1.0,3,3,6.940495014190674,0.3373519480228424
140,per_sample_zscore,concat,mlp,local_value,0.9090909090909091,10,11,5368.0185546875,8.206310272216797
