split,true_center_y_bin,pred_center_y_bin,count,mean_polygon_iou,zero_iou_count
test,3,5,1,0.0,1
test,3,8,1,0.0,1
test,4,6,1,0.0,1
test,5,3,1,0.0,1
test,5,7,2,0.0,2
test,6,3,1,0.0,1
test,6,6,1,0.7236842105263158,0
test,6,7,1,0.0,1
test,6,8,1,0.0,1
test,7,6,2,0.0,2
train,2,2,1,0.9927007299270073,0
train,3,3,6,0.9945846968988624,0
train,4,4,4,0.9953607852158577,0
train,5,5,10,0.99542869471857,0
train,6,6,10,0.9953430459188803,0
train,7,7,5,0.9971631205673759,0
train,8,8,3,1.0,0
val,3,7,1,0.0,1
val,4,3,1,0.0,1
val,4,5,1,0.0,1
val,4,7,1,0.0,1
val,4,8,1,0.0,1
val,5,2,1,0.0,1
val,5,5,3,0.12414842480201957,1
val,5,7,2,0.0,2
val,6,5,1,0.0,1
val,6,8,1,0.0,1
