step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,2.5442380905151367,0.7317806482315063,0.6848949193954468,0.6848949193954468,0.9897947311401367,0.6848949193954468,0.0,0.44266757369041443,nan,nan,nan,nan,2.5442380905151367,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,0.34262996912002563,2.247619522677269e-05,0.041160065680742264,0.041160065680742264,0.8248878121376038,0.041160065680742264,0.0,0.260287344455719,nan,nan,nan,nan,0.34262996912002563,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,0.15795670449733734,2.7234301569478703e-07,0.0010052536381408572,0.0010052536381408572,0.6537537574768066,0.0010052536381408572,0.0,0.15594592690467834,nan,nan,nan,nan,0.15795670449733734,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,0.08317393064498901,3.5771559936392805e-08,0.000427956081693992,0.000427956081693992,0.21469849348068237,0.000427956081693992,0.0,0.08231798559427261,nan,nan,nan,nan,0.08317393064498901,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.043958574533462524,6.726751600183434e-09,0.0003412038495298475,0.0003412038495298475,0.05364526808261871,0.0003412038495298475,0.0,0.04327616095542908,nan,nan,nan,nan,0.043958574533462524,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.025440305471420288,2.9656448408132974e-09,0.0002328605914954096,0.0002328605914954096,0.029691852629184723,0.0002328605914954096,0.0,0.024974580854177475,nan,nan,nan,nan,0.025440305471420288,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,0.014810130931437016,2.5966062633386855e-09,0.0001708860945655033,0.0001708860945655033,0.022714821621775627,0.0001708860945655033,0.0,0.014468356035649776,nan,nan,nan,nan,0.014810130931437016,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.008353344164788723,2.2490953544007652e-09,0.00011393455497454852,0.00011393455497454852,0.014926242642104626,0.00011393455497454852,0.0,0.00812547281384468,nan,nan,nan,nan,0.008353344164788723,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.005194072611629963,2.361441264753239e-09,7.53692293073982e-05,7.53692293073982e-05,0.010105225257575512,7.53692293073982e-05,0.0,0.005043331999331713,nan,nan,nan,nan,0.005194072611629963,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.0040433648973703384,3.4720379904484844e-09,5.8472378441365436e-05,5.8472378441365436e-05,0.0074415430426597595,5.8472378441365436e-05,0.0,0.003926416859030724,nan,nan,nan,nan,0.0040433648973703384,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1000,0.002034551929682493,3.1410434253587027e-09,4.463961522560567e-05,4.463961522560567e-05,0.004358657635748386,4.463961522560567e-05,0.0,0.0019452694104984403,nan,nan,nan,nan,0.002034551929682493,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1100,0.0014344509690999985,4.330119374174046e-09,3.6902096326230094e-05,3.6902096326230094e-05,0.003061421448364854,3.6902096326230094e-05,0.0,0.0013606423744931817,nan,nan,nan,nan,0.0014344509690999985,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1200,0.0011363447410985827,5.37548627832507e-09,3.114471837761812e-05,3.114471837761812e-05,0.0023281830362975597,3.114471837761812e-05,0.0,0.0010740499710664153,nan,nan,nan,nan,0.0011363447410985827,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1300,0.0008839958463795483,5.897459409709427e-09,2.701167977647856e-05,2.701167977647856e-05,0.0017895400524139404,2.701167977647856e-05,0.0,0.0008299666224047542,nan,nan,nan,nan,0.0008839958463795483,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1400,0.31053709983825684,5.492721015798452e-07,0.05203806236386299,0.05203806236386299,0.6694803833961487,0.05203806236386299,0.0,0.2064604014158249,nan,nan,nan,nan,0.31053709983825684,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1500,0.033662762492895126,1.0797341753326917e-12,0.0002955501258838922,0.0002955501258838922,0.03801487758755684,0.0002955501258838922,0.0,0.03307166323065758,nan,nan,nan,nan,0.033662762492895126,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1600,0.012219905853271484,2.448083511082111e-13,0.00013509247219190001,0.00013509247219190001,0.016237834468483925,0.00013509247219190001,0.0,0.011949721723794937,nan,nan,nan,nan,0.012219905853271484,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1700,0.005911739077419043,1.1419124922983775e-13,7.980778173077852e-05,7.980778173077852e-05,0.009524104185402393,7.980778173077852e-05,0.0,0.005752123426645994,nan,nan,nan,nan,0.005911739077419043,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1800,0.003561823396012187,7.415085662458229e-14,5.5045074986992404e-05,5.5045074986992404e-05,0.006435329094529152,5.5045074986992404e-05,0.0,0.003451733151450753,nan,nan,nan,nan,0.003561823396012187,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1900,0.0024935519322752953,5.823961376095338e-14,4.267350595910102e-05,4.267350595910102e-05,0.004690854344516993,4.267350595910102e-05,0.0,0.0024082050658762455,nan,nan,nan,nan,0.0024935519322752953,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
2000,0.001835897914133966,4.686687846079847e-14,3.410324643482454e-05,3.410324643482454e-05,0.0036346958950161934,3.410324643482454e-05,0.0,0.0017676913412287831,nan,nan,nan,nan,0.001835897914133966,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
2100,0.001442644977942109,3.788069575898223e-14,2.8284017389523797e-05,2.8284017389523797e-05,0.002885489258915186,2.8284017389523797e-05,0.0,0.0013860769104212523,nan,nan,nan,nan,0.001442644977942109,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
2200,0.0011935747461393476,3.212687209905134e-14,2.405992017884273e-05,2.405992017884273e-05,0.0023545208387076855,2.405992017884273e-05,0.0,0.0011454549385234714,nan,nan,nan,nan,0.0011935747461393476,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
2300,0.001006075064651668,2.8156340784292813e-14,2.0792709619854577e-05,2.0792709619854577e-05,0.0019804874900728464,2.0792709619854577e-05,0.0,0.0009644896490499377,nan,nan,nan,nan,0.001006075064651668,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
2400,0.001014888403005898,2.5224785164834097e-14,1.8149157767766155e-05,1.8149157767766155e-05,0.0017885359702631831,1.8149157767766155e-05,0.0,0.0009785901056602597,nan,nan,nan,nan,0.001014888403005898,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
2500,0.000710435037035495,2.3799575998113484e-14,1.611541665624827e-05,1.611541665624827e-05,0.0014015238266438246,1.611541665624827e-05,0.0,0.000678204174619168,nan,nan,nan,nan,0.000710435037035495,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
2600,0.0007330753142014146,2.1895063073793658e-14,1.4326363270811271e-05,1.4326363270811271e-05,0.0013641329715028405,1.4326363270811271e-05,0.0,0.0007044225931167603,nan,nan,nan,nan,0.0007330753142014146,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
2700,0.0005916265654377639,2.0564564049037337e-14,1.2877378139819484e-05,1.2877378139819484e-05,0.0010539534268900752,1.2877378139819484e-05,0.0,0.0005658717709593475,nan,nan,nan,nan,0.0005916265654377639,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
2800,0.000612700532656163,2.0123288682638053e-14,1.172436896013096e-05,1.172436896013096e-05,0.0010418667225167155,1.172436896013096e-05,0.0,0.0005892518092878163,nan,nan,nan,nan,0.000612700532656163,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
2900,0.0005354917957447469,1.916544519115805e-14,1.066115055436967e-05,1.066115055436967e-05,0.0008720038458704948,1.066115055436967e-05,0.0,0.000514169514644891,nan,nan,nan,nan,0.0005354917957447469,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
3000,0.0004042194050271064,1.8939228101934845e-14,9.81048015091801e-06,9.81048015091801e-06,0.000740068091545254,9.81048015091801e-06,0.0,0.00038459841744042933,nan,nan,nan,nan,0.0004042194050271064,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
