runner config | sample=8 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=1.000000e+00
sample=8 | outer=1/30 | loss_phi=2.204431e+00 | loss_mu=1.483279e+00 | mu_mse=1.644550e+05 | mu_mae=4.027283e+02 | defect_area_pred=0 | defect_area_label=5 | defect_iou=0.000000e+00
sample=8 | outer=2/30 | loss_phi=2.188029e+00 | loss_mu=1.051864e+00 | mu_mse=1.340328e+05 | mu_mae=3.601776e+02 | defect_area_pred=3 | defect_area_label=5 | defect_iou=0.000000e+00
sample=8 | outer=3/30 | loss_phi=2.185136e+00 | loss_mu=9.162031e-01 | mu_mse=1.027946e+05 | mu_mae=3.080518e+02 | defect_area_pred=11 | defect_area_label=5 | defect_iou=1.428571e-01
sample=8 | outer=4/30 | loss_phi=2.184032e+00 | loss_mu=8.773755e-01 | mu_mse=8.416170e+04 | mu_mae=2.735929e+02 | defect_area_pred=8 | defect_area_label=5 | defect_iou=3.000000e-01
sample=8 | outer=5/30 | loss_phi=2.183109e+00 | loss_mu=8.536420e-01 | mu_mse=7.411947e+04 | mu_mae=2.549832e+02 | defect_area_pred=6 | defect_area_label=5 | defect_iou=5.714286e-01
sample=8 | outer=6/30 | loss_phi=2.182089e+00 | loss_mu=8.520376e-01 | mu_mse=6.409213e+04 | mu_mae=2.332689e+02 | defect_area_pred=7 | defect_area_label=5 | defect_iou=5.000000e-01
sample=8 | outer=7/30 | loss_phi=2.180989e+00 | loss_mu=9.246657e-01 | mu_mse=5.641196e+04 | mu_mae=2.121593e+02 | defect_area_pred=7 | defect_area_label=5 | defect_iou=5.000000e-01
sample=8 | outer=8/30 | loss_phi=2.179651e+00 | loss_mu=1.093315e+00 | mu_mse=5.427600e+04 | mu_mae=2.033634e+02 | defect_area_pred=7 | defect_area_label=5 | defect_iou=5.000000e-01
sample=8 | outer=9/30 | loss_phi=2.177641e+00 | loss_mu=1.378191e+00 | mu_mse=6.220414e+04 | mu_mae=2.185202e+02 | defect_area_pred=7 | defect_area_label=5 | defect_iou=5.000000e-01
sample=8 | outer=10/30 | loss_phi=2.173794e+00 | loss_mu=1.744933e+00 | mu_mse=8.053253e+04 | mu_mae=2.562439e+02 | defect_area_pred=9 | defect_area_label=5 | defect_iou=4.000000e-01
sample=8 | outer=11/30 | loss_phi=2.168444e+00 | loss_mu=1.962877e+00 | mu_mse=1.000246e+05 | mu_mae=2.921971e+02 | defect_area_pred=14 | defect_area_label=5 | defect_iou=3.571429e-01
sample=8 | outer=12/30 | loss_phi=2.164317e+00 | loss_mu=2.191105e+00 | mu_mse=1.174168e+05 | mu_mae=3.181782e+02 | defect_area_pred=21 | defect_area_label=5 | defect_iou=2.380952e-01
sample=8 | outer=13/30 | loss_phi=2.160412e+00 | loss_mu=2.264989e+00 | mu_mse=1.250246e+05 | mu_mae=3.286932e+02 | defect_area_pred=24 | defect_area_label=5 | defect_iou=2.083333e-01
sample=8 | outer=14/30 | loss_phi=2.157185e+00 | loss_mu=2.257829e+00 | mu_mse=1.270738e+05 | mu_mae=3.306035e+02 | defect_area_pred=25 | defect_area_label=5 | defect_iou=2.000000e-01
sample=8 | outer=15/30 | loss_phi=2.154444e+00 | loss_mu=2.160246e+00 | mu_mse=1.215959e+05 | mu_mae=3.225548e+02 | defect_area_pred=25 | defect_area_label=5 | defect_iou=2.000000e-01
sample=8 | outer=16/30 | loss_phi=2.152625e+00 | loss_mu=1.955848e+00 | mu_mse=1.050041e+05 | mu_mae=2.988498e+02 | defect_area_pred=20 | defect_area_label=5 | defect_iou=2.500000e-01
sample=8 | outer=17/30 | loss_phi=2.152266e+00 | loss_mu=1.603695e+00 | mu_mse=7.633526e+04 | mu_mae=2.526687e+02 | defect_area_pred=9 | defect_area_label=5 | defect_iou=5.555556e-01
sample=8 | outer=18/30 | loss_phi=2.153655e+00 | loss_mu=1.141286e+00 | mu_mse=5.161359e+04 | mu_mae=2.019876e+02 | defect_area_pred=5 | defect_area_label=5 | defect_iou=6.666667e-01
sample=8 | outer=19/30 | loss_phi=2.155180e+00 | loss_mu=8.053442e-01 | mu_mse=4.053149e+04 | mu_mae=1.716502e+02 | defect_area_pred=5 | defect_area_label=5 | defect_iou=6.666667e-01
sample=8 | outer=20/30 | loss_phi=2.155252e+00 | loss_mu=6.115832e-01 | mu_mse=3.278464e+04 | mu_mae=1.468758e+02 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
sample=8 | outer=21/30 | loss_phi=2.155198e+00 | loss_mu=4.715093e-01 | mu_mse=2.712270e+04 | mu_mae=1.264764e+02 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
sample=8 | outer=22/30 | loss_phi=2.155086e+00 | loss_mu=3.830558e-01 | mu_mse=2.340191e+04 | mu_mae=1.115415e+02 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
sample=8 | outer=23/30 | loss_phi=2.154843e+00 | loss_mu=3.124715e-01 | mu_mse=2.047708e+04 | mu_mae=9.950302e+01 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
sample=8 | outer=24/30 | loss_phi=2.154501e+00 | loss_mu=2.660639e-01 | mu_mse=1.824112e+04 | mu_mae=9.013577e+01 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
sample=8 | outer=25/30 | loss_phi=2.153919e+00 | loss_mu=2.139148e-01 | mu_mse=1.601431e+04 | mu_mae=8.162479e+01 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
sample=8 | outer=26/30 | loss_phi=2.152848e+00 | loss_mu=1.996367e-01 | mu_mse=1.426597e+04 | mu_mae=7.443794e+01 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
sample=8 | outer=27/30 | loss_phi=2.151194e+00 | loss_mu=1.746657e-01 | mu_mse=1.212519e+04 | mu_mae=6.570880e+01 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
sample=8 | outer=28/30 | loss_phi=2.149790e+00 | loss_mu=1.595663e-01 | mu_mse=1.110683e+04 | mu_mae=6.016224e+01 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
sample=8 | outer=29/30 | loss_phi=2.148687e+00 | loss_mu=1.565929e-01 | mu_mse=1.050579e+04 | mu_mae=5.639344e+01 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
