split,abs_y_bin_error,count,mean_polygon_iou,zero_iou_count
test,0,2,0.34955520669806384,0
test,1,4,0.0,4
test,2,3,0.0,3
test,3,2,0.0,2
test,4,1,0.0,1
train,0,39,0.9893658077163506,0
val,0,4,0.13686884725309623,2
val,1,5,0.0033195020746887966,4
val,3,3,0.0,3
val,4,1,0.0,1
