split,true_center_y_bin,pred_center_y_bin,count,mean_polygon_iou,zero_iou_count
test,3,6,1,0.0,1
test,3,7,1,0.0,1
test,4,6,1,0.0,1
test,5,4,1,0.0,1
test,5,6,1,0.0,1
test,5,7,1,0.0,1
test,6,3,1,0.0,1
test,6,4,1,0.0,1
test,6,5,1,0.0,1
test,6,6,1,0.6923076923076923,0
test,7,6,1,0.0,1
test,7,7,1,0.006802721088435374,0
train,2,2,1,0.9782608695652174,0
train,3,3,6,0.9760580575149214,0
train,4,4,4,0.9875,0
train,5,5,10,0.9906709956709957,0
train,6,6,10,0.9953472351024085,0
train,7,7,5,0.9911025145067698,0
train,8,8,3,0.9949874686716792,0
val,3,7,1,0.0,1
val,4,3,1,0.0,1
val,4,4,2,0.15671641791044777,1
val,4,7,1,0.0,1
val,5,2,1,0.0,1
val,5,5,2,0.11702127659574468,1
val,5,6,2,0.0,2
val,5,8,1,0.0,1
val,6,5,1,0.0,1
val,6,7,1,0.016597510373443983,0
