split,sample_index,hard_case_type,component_count,polygon_iou,zero_iou,any_x_bin_error,any_y_bin_error,all_bins_correct,mean_abs_y_bin_error,mean_local_vertex_grid_mae,pred_area,target_area,area_diff,is_true_rotated,is_true_multi_component,all_bins_exactly_covered,all_bins_within_distance1,max_center_bin_distance_to_train
train,0,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.01794147491455078,63,63,0,1,0,1,1,0.0
train,1,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.013092100620269775,63,63,0,0,0,1,1,0.0
train,2,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.006805866956710815,92,92,0,1,0,1,1,0.0
train,3,bins_correct_center_or_offset_bad,1,0.9484536082474226,0,0,0,1,0.0,0.036026135087013245,97,92,5,1,0,1,1,0.0
train,4,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.016681626439094543,57,57,0,0,0,1,1,0.0
train,5,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.0053442418575286865,63,63,0,1,0,1,1,0.0
train,6,bins_correct_center_or_offset_bad,1,0.9078947368421053,0,0,0,1,0.0,0.009877920150756836,71,74,-3,1,0,1,1,0.0
train,7,both_bins_wrong_like,2,0.975,0,0,0,1,0.0,0.010783962905406952,156,160,-4,1,1,1,1,0.0
train,8,both_bins_wrong_like,1,1.0,0,0,0,1,0.0,0.03231737017631531,120,120,0,1,0,1,1,0.0
train,9,both_bins_wrong_like,2,1.0,0,0,0,1,0.0,0.006698869168758392,184,184,0,1,1,1,1,0.0
train,10,both_bins_wrong_like,2,0.975,0,0,0,1,0.0,0.00941845029592514,156,160,-4,1,1,1,1,0.0
train,11,both_bins_wrong_like,1,1.0,0,0,0,1,0.0,0.023097187280654907,120,120,0,1,0,1,1,0.0
train,12,geometry_or_type_interaction,2,1.0,0,0,0,1,0.0,0.020743459463119507,105,105,0,1,1,1,1,0.0
train,13,geometry_or_type_interaction,2,1.0,0,0,0,1,0.0,0.025981709361076355,120,120,0,1,1,1,1,0.0
train,14,geometry_or_type_interaction,3,0.9929078014184397,0,0,0,1,0.0,0.017265145977338154,141,140,1,1,1,1,1,0.0
train,15,geometry_or_type_interaction,2,1.0,0,0,0,1,0.0,0.01975664496421814,105,105,0,1,1,1,1,0.0
train,16,geometry_or_type_interaction,2,1.0,0,0,0,1,0.0,0.017336785793304443,105,105,0,1,1,1,1,0.0
train,17,rare_y_bin_wrong,1,0.9782608695652174,0,0,0,1,0.0,0.007252499461174011,136,137,-1,1,0,1,1,0.0
train,18,rare_y_bin_wrong,1,1.0,0,0,0,1,0.0,0.005479633808135986,140,140,0,1,0,1,1,0.0
train,19,rare_y_bin_wrong,1,0.9849624060150376,0,0,0,1,0.0,0.005839943885803223,132,132,0,1,0,1,1,0.0
train,20,x_bin_wrong_like,1,0.9696969696969697,0,0,0,1,0.0,0.037678927183151245,231,224,7,0,0,1,1,0.0
train,21,x_bin_wrong_like,1,1.0,0,0,0,1,0.0,0.03885564208030701,189,189,0,1,0,1,1,0.0
train,22,x_bin_wrong_like,1,0.9696969696969697,0,0,0,1,0.0,0.05080747604370117,231,224,7,0,0,1,1,0.0
train,23,x_bin_wrong_like,1,1.0,0,0,0,1,0.0,0.030849188566207886,238,238,0,0,0,1,1,0.0
train,24,x_bin_wrong_like,1,1.0,0,0,0,1,0.0,0.04627761244773865,210,210,0,0,0,1,1,0.0
train,25,x_bin_wrong_like,1,0.9696969696969697,0,0,0,1,0.0,0.03871709108352661,231,224,7,0,0,1,1,0.0
train,26,x_bin_wrong_like,1,1.0,0,0,0,1,0.0,0.04437658190727234,204,204,0,0,0,1,1,0.0
train,27,x_bin_wrong_like,1,0.987012987012987,0,0,0,1,0.0,0.04368659853935242,231,228,3,1,0,1,1,0.0
train,28,x_bin_wrong_like,1,1.0,0,0,0,1,0.0,0.0487217903137207,210,210,0,0,0,1,1,0.0
train,29,x_bin_wrong_like,1,0.9908675799086758,0,0,0,1,0.0,0.04662466049194336,219,217,2,1,0,1,1,0.0
val,0,bins_correct_center_or_offset_bad,1,0.0,1,1,1,0,4.0,0.537945568561554,110,71,39,1,0,1,1,0.0
val,1,bins_correct_center_or_offset_bad,1,0.23404255319148937,0,1,0,0,0.0,7.77449893951416,156,76,80,1,0,0,1,1.0
val,2,both_bins_wrong_like,1,0.31343283582089554,0,0,0,1,0.0,0.35945022106170654,92,84,8,1,0,0,1,1.0
val,3,both_bins_wrong_like,2,0.0,1,1,1,0,0.5,3.17815899848938,29,152,-123,1,1,0,1,1.0
val,4,geometry_or_type_interaction,2,0.0,1,1,1,0,0.5,2.518687129020691,40,102,-62,1,1,0,1,1.0
val,5,geometry_or_type_interaction,2,0.0,1,1,1,0,3.0,0.611590564250946,91,102,-11,1,1,0,1,1.0
val,6,rare_y_bin_wrong,1,0.0,1,0,1,0,1.0,0.34045475721359253,108,140,-32,1,0,0,1,1.0
val,7,x_bin_wrong_like,1,0.016597510373443983,0,0,1,0,1.0,8.446863174438477,43,202,-159,1,0,0,1,1.0
val,8,x_bin_wrong_like,1,0.0,1,0,1,0,3.0,7.104461669921875,32,224,-192,0,0,0,1,1.0
val,9,x_bin_wrong_like,1,0.0,1,1,1,0,1.0,5.464951038360596,44,238,-194,0,0,1,1,0.0
test,0,bins_correct_center_or_offset_bad,1,0.0,1,1,1,0,4.0,2.1355795860290527,109,61,48,1,0,0,1,1.0
test,1,bins_correct_center_or_offset_bad,1,0.6923076923076923,0,0,0,1,0.0,0.41679054498672485,56,76,-20,0,0,1,1,0.0
test,2,both_bins_wrong_like,1,0.0,1,0,1,0,1.0,0.8972837328910828,125,88,37,1,0,0,1,1.0
test,3,both_bins_wrong_like,1,0.0,1,0,1,0,1.0,1.8587453365325928,49,96,-47,1,0,0,1,1.0
test,4,geometry_or_type_interaction,2,0.0,1,0,1,0,2.5,0.42993131279945374,80,109,-29,1,1,0,1,1.0
test,5,geometry_or_type_interaction,2,0.0,1,0,1,0,1.5,3.1886136531829834,22,105,-83,1,1,1,1,0.0
test,6,rare_y_bin_wrong,1,0.006802721088435374,0,0,0,1,0.0,4.708087921142578,32,116,-84,1,0,0,1,1.0
test,7,x_bin_wrong_like,1,0.0,1,0,1,0,2.0,0.7668452262878418,187,204,-17,0,0,0,1,1.0
test,8,x_bin_wrong_like,1,0.0,1,0,1,0,3.0,9.010616302490234,59,217,-158,1,0,0,1,1.0
test,9,x_bin_wrong_like,1,0.0,1,1,1,0,1.0,5.739998817443848,45,245,-200,0,0,0,1,1.0
