split,is_true_rotated,component_count,x_bin_acc,y_bin_acc,both_bins_acc,mean_abs_y_bin_error,mean_polygon_iou,zero_iou_rate,mean_center_offset_y_abs,mean_target_bbox_height_grid,mean_defect_axis_y,mean_rotation_angle,true_rotated_rate,true_multi_component_rate
test,0,5,0.8,0.2,0.2,1.4,0.13846153846153847,0.8,0.3040999561548233,4.567200565338135,0.0013333333333326002,0.3,0.0,0.4
test,1,7,0.8571428571428571,0.14285714285714285,0.14285714285714285,1.8571428571428572,0.0009718172983479105,0.8571428571428571,0.19810715683602861,4.376012802124023,0.0011209523809514285,0.45714285714285713,1.0,0.2857142857142857
train,0,17,1.0,1.0,1.0,0.0,0.9912940417946676,0.0,0.2774236294276574,4.6704707426183365,0.001523921568626059,0.12941176470588237,0.0,0.47058823529411764
train,1,22,1.0,1.0,1.0,0.0,0.9878758086558329,0.0,0.29097954340448434,4.36798719926314,0.0013309090909077728,0.16590909090909092,1.0,0.4090909090909091
val,0,5,0.2,0.0,0.0,1.8,0.0,1.0,0.2507501164451241,4.39560022354126,0.0015853333333340001,0.23,0.0,0.6
val,1,8,0.375,0.5,0.125,1.125,0.07050911242322862,0.625,0.23682819120585918,4.354213356971741,0.0012533333333328751,0.20625,1.0,0.375
