split,sample_index,component_slot,matched_slot,presence_true,presence_prob,presence_pred,type_true,type_pred,type_correct,center_x_true,center_x_pred,center_y_true,center_y_pred,axis_x_true,axis_x_pred,axis_y_true,axis_y_pred,depth_true,depth_pred,rotation_true,rotation_pred,center_error,axis_error,depth_error,rotation_error,target_schema,type_vocab,run_label,center_x_bin_true_derived,center_x_bin_pred_derived,center_y_bin_true_derived,center_y_bin_pred_derived,x_bin_correct,y_bin_correct,both_bins_correct,center_x_grid_error,center_y_grid_error,center_grid_error,center_offset_x_abs_error,center_offset_y_abs_error,center_offset_mae,pred_mask_iou,pred_area,target_area,area_diff,hard_case_type,defect_type,rotation_angle,component_type_combination
train,0,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,-0.0274831932038068,-0.0274945739656686,-0.0012666666880249,-0.0012669168645516,0.0135111110284924,0.0135075040161609,0.0014666666975244,0.0014663150068372,70.0,70.000244140625,0.0,0.0004613175988197,1.1383511264284609e-05,3.624116970968316e-06,0.000244140625,0.000457763671875,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,normalized_v3_candidate,3,3,5,5,True,True,True,0.028309645763991618,0.001238373834845761,0.028336718459227403,0.003538705720498969,0.0001547967293557273,0.0018467512249273482,1.0,231,231,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,1,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,-0.0051314351148903,-0.0051293447613716,-0.0006333333440124,-0.0006341993575915,0.0142222223803401,0.0142330210655927,0.0015999999595806,0.0015999515308067,75.0,74.99351501464844,0.0,-0.000487407669425,2.262643874928472e-06,1.0798794392030686e-05,0.0064849853515625,0.00048828125,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,normalized_v3_candidate,10,10,5,5,True,True,True,0.005199754493988049,0.0042867673123620055,0.00673897772574478,0.0006499693117484884,0.0005358459140452076,0.000592907612896848,1.0,280,280,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,2,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,0.0175419319421052,0.0175388436764478,0.0,-2.568238414824009e-06,0.0149333337321877,0.0149511797353625,0.001733333338052,0.0017320706974714,80.0,80.00457763671875,0.0,0.0012702457606792,4.016619641333818e-06,1.789061388990376e-05,0.00457763671875,0.0012664794921875,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,normalized_v3_candidate,17,17,6,6,True,True,True,0.007682060994491538,0.01271278043753163,0.014853580294864105,0.0009602576243114003,0.0015890975546914432,0.0012746775895014217,1.0,296,296,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,3,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,-0.0179957561194896,-0.0179949030280113,0.0006333333440124,0.000632575887721,0.0156444441527128,0.0156531259417533,0.0014666666975244,0.0014659918379038,85.0,85.00562286376953,0.0,-0.0010966602712869,1.1408352520447806e-06,8.707978849997744e-06,0.0056228637695312,0.0010986328125,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,normalized_v3_candidate,6,6,6,6,True,True,True,0.002122065099701126,0.0037494087262355566,0.004308274142129408,0.0002652581374626428,0.0004686760907794407,0.00036696711412104177,1.0,273,273,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,4,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,0.0046776104718446,0.0046757748350501,0.0012666666880249,0.0012672017328441,0.0135111110284924,0.0135044055059552,0.0015999999595806,0.0016019374597817,70.0,69.99967193603516,0.0,-6.511807441711426e-05,1.912023890326964e-06,6.979823865549406e-06,0.0003280639648437,6.103515625e-05,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,normalized_v3_candidate,13,13,6,6,True,True,True,0.0045661466283808795,0.0026484719142383364,0.005278645518727636,0.0005707683285475773,0.0003310589892797644,0.00045091365891367086,1.0,264,264,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,5,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,0.0270293690264225,0.0270370934158563,-0.0012666666880249,-0.0012666431721299,0.0142222223803401,0.0142249772325158,0.001733333338052,0.0017329248366877,75.0,75.00016021728516,0.0,0.0001417770981788,7.724424904154148e-06,2.784974640235305e-06,0.0001602172851562,0.0001373291015625,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,normalized_v3_candidate,20,20,5,5,True,True,True,0.01921441914604908,0.00011640368285149605,0.019214771737843746,0.0024018023932561583,1.455046035643559e-05,0.001208176426806297,1.0,315,315,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,6,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,-0.0081867109984159,-0.0081876730546355,-0.0006333333440124,-0.0006363459397107,0.0149333337321877,0.0149308573454618,0.0014666666975244,0.0014678407460451,80.0,79.99381256103516,0.0,0.0008615013211965,3.1624808798369486e-06,2.7405985747464e-06,0.0061874389648437,0.0008544921875,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,normalized_v3_candidate,9,9,5,5,True,True,True,0.002393114899746134,0.014912349039901865,0.015103150426690751,0.00029913936246828143,0.0018640436299877106,0.001081591496227996,1.0,259,259,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,7,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,0.0141650475561618,0.0141697619110345,0.0,-1.5256227925419807e-06,0.0156444441527128,0.0156369619071483,0.0015999999595806,0.0016017314046621,85.0,85.00602722167969,0.0,-0.000360794365406,4.955064923706232e-06,7.679967893636785e-06,0.0060272216796875,0.0003662109375,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,normalized_v3_candidate,16,16,6,6,True,True,True,0.011726958007959393,0.007551832991879426,0.013948180012377295,0.001465869750994886,0.0009439791239849171,0.0012049244374899015,1.0,312,312,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,8,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,-0.0210510324686765,-0.0210469514131546,0.0006333333440124,0.0006431002984754,0.0135111110284924,0.013497207313776,0.001733333338052,0.0017343967920169,70.0,70.00025939941406,0.0,0.0016494747251272,1.0585292329778896e-05,1.3944325473858044e-05,0.0002593994140625,0.00164794921875,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,normalized_v3_candidate,5,5,6,6,True,True,True,0.01015162583763918,0.04834642567247674,0.04940073261047594,0.0012689532297048833,0.006043303209059589,0.003656128219382236,1.0,264,264,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,9,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,0.0013007258530706,0.0013035313459113,0.0012666666880249,0.0012650832068175,0.0142222223803401,0.0142267271876335,0.0014666666975244,0.0014647296629846,75.0,74.98486328125,0.0,0.0081886760890483,3.2215218652709154e-06,4.903609806206077e-06,0.01513671875,0.0081939697265625,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,normalized_v3_candidate,12,12,6,6,True,True,True,0.006978663597226362,0.007838232151828035,0.010494742915822338,0.0008723329496533316,0.0009797790189784994,0.0009260559843159155,1.0,245,245,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,10,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,0.022783026099205,0.0227871481329202,-0.0024747473653405,-0.0024690427817404,0.0115555552765727,0.0115388138219714,0.0012000000569969,0.0012025069445371,80.0,80.01376342773438,0.0,0.0003906600177288,7.0379992394009605e-06,1.6928106560953893e-05,0.013763427734375,0.000396728515625,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,normalized_v3_candidate,19,19,4,4,True,True,True,0.01025355909574375,0.028237689451655102,0.03004168070694486,0.0012816948869679677,0.003529711181456896,0.002405703034212432,1.0,174,174,0,both_bins_wrong_like,rectangular_notch,0.0,rectangular_notch
