step,loss,presence_loss,type_loss,center_bin_loss,center_x_bin_loss,center_y_bin_loss,center_y_bin_extra_loss,center_offset_loss,local_vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_center_bin_loss,weighted_center_y_bin_extra_loss,weighted_center_offset_loss,weighted_local_vertex_loss
1,15.074166297912598,0.6585171818733215,0.7046038508415222,2.8861427307128906,3.217832565307617,2.554453134536743,2.5514161586761475,0.2619263231754303,6.929930686950684,-0.0,-0.0,-0.0,-0.0,0.6585171818733215,0.7046038508415222,2.8861427307128906,1.2757080793380737,2.619263172149658,6.929930686950684
100,3.2081096172332764,0.09858290106058121,0.028106341138482094,0.5196887850761414,0.3982749283313751,0.64110267162323,1.5049915313720703,0.02290278859436512,1.5802079439163208,-0.0,-0.0,-0.0,-0.0,0.09858290106058121,0.028106341138482094,0.5196887850761414,0.7524957656860352,0.2290278822183609,1.5802079439163208
200,1.4693527221679688,0.029617685824632645,0.0052920444868505,0.2059316337108612,0.058375634253025055,0.35348764061927795,1.3569947481155396,0.03466261178255081,0.20338793098926544,-0.0,-0.0,-0.0,-0.0,0.029617685824632645,0.0052920444868505,0.2059316337108612,0.6784973740577698,0.3466261029243469,0.20338793098926544
300,1.0539093017578125,0.012320001609623432,0.002205601893365383,0.16195203363895416,0.028103403747081757,0.29580065608024597,1.293830156326294,0.01905713975429535,0.039945147931575775,-0.0,-0.0,-0.0,-0.0,0.012320001609623432,0.002205601893365383,0.16195203363895416,0.646915078163147,0.1905713975429535,0.039945147931575775
400,1.000978708267212,0.007299615070223808,0.0014104273868724704,0.14639106392860413,0.017044976353645325,0.2757371664047241,1.2800767421722412,0.017810456454753876,0.02773466520011425,-0.0,-0.0,-0.0,-0.0,0.007299615070223808,0.0014104273868724704,0.14639106392860413,0.6400383710861206,0.17810456454753876,0.02773466520011425
500,0.9559860229492188,0.005070050712674856,0.001072473474778235,0.14207428693771362,0.012672017328441143,0.2714765667915344,1.2730902433395386,0.013578846119344234,0.03543560206890106,-0.0,-0.0,-0.0,-0.0,0.005070050712674856,0.001072473474778235,0.14207428693771362,0.6365451216697693,0.1357884556055069,0.03543560206890106
600,0.9102354645729065,0.0041179354302585125,0.001015692949295044,0.1406932771205902,0.010833731852471828,0.2705528140068054,1.269447684288025,0.01129874400794506,0.016697296872735023,-0.0,-0.0,-0.0,-0.0,0.0041179354302585125,0.001015692949295044,0.1406932771205902,0.6347238421440125,0.1129874438047409,0.016697296872735023
700,0.9147576093673706,0.0036000327672809362,0.000912918709218502,0.14009611308574677,0.009691530838608742,0.27050068974494934,1.2668923139572144,0.010939366184175014,0.027308708056807518,-0.0,-0.0,-0.0,-0.0,0.0036000327672809362,0.000912918709218502,0.14009611308574677,0.6334461569786072,0.1093936637043953,0.027308708056807518
800,0.9613627791404724,0.0031956625171005726,0.0008385569090023637,0.13989517092704773,0.008780598640441895,0.27100974321365356,1.2645657062530518,0.015586838126182556,0.029282163828611374,-0.0,-0.0,-0.0,-0.0,0.0031956625171005726,0.0008385569090023637,0.13989517092704773,0.6322828531265259,0.15586838126182556,0.029282163828611374
900,0.9224283695220947,0.0029982503037899733,0.0008446757565252483,0.13943515717983246,0.008313341997563839,0.2705569863319397,1.2639108896255493,0.011859978549182415,0.02859506942331791,-0.0,-0.0,-0.0,-0.0,0.0029982503037899733,0.0008446757565252483,0.13943515717983246,0.6319554448127747,0.1185997873544693,0.02859506942331791
