label,split,sample_index,component_slot,type_true,type_pred,center_x_true,center_x_pred,center_y_true,center_y_pred,center_x_bin_true,center_x_bin_pred,center_y_bin_true,center_y_bin_pred,x_bin_correct,y_bin_correct,both_bins_correct,center_offset_x_error,center_offset_y_error,center_grid_error,rotation_true,rotation_pred,rotation_error,axis_x_true,axis_x_pred,axis_error,mask_iou,pred_area,target_area,mask_iou_bin,target_area_bin,rotation_bin
aux_center_bin_offset_xweighted,train,0,0,rectangular_notch,rectangular_notch,-0.010499999858438969,-0.009405232965946198,-0.003000000026077032,-0.00293451058678329,9,9,4,4,true,true,true,0.3404040882430953,0.04052159146873113,2.7424595404011693,0.0,0.13496804237365723,0.1349639892578125,0.004399999976158142,0.004329675808548927,0.00027669448172673583,0.7434094903339191,1020.0,964.0,>=0.60,500-1000,<15deg
aux_center_bin_offset_xweighted,train,0,1,rectangular_notch,rectangular_notch,0.0,0.00020620512077584863,0.0044999998062849045,0.003978155553340912,12,12,8,8,true,true,true,0.06411690617436497,-0.3228911387262748,2.633563853036538,0.0,-3.600022792816162,3.6000213623046875,0.004800000227987766,0.005168689880520105,0.0005802222876809537,0.7434094903339191,1020.0,964.0,>=0.60,500-1000,<15deg
aux_center_bin_offset_xweighted,train,0,2,rectangular_notch,rectangular_notch,0.010499999858438969,0.010456450283527374,-0.003000000026077032,-0.0030042591970413923,15,15,4,4,true,true,true,-0.013541196251743187,-0.002635362093102833,0.11036205994162668,0.0,-3.1962995529174805,3.1963043212890625,0.005200000014156103,0.0052212076261639595,0.0003126521478407085,0.7434094903339191,1020.0,964.0,>=0.60,500-1000,<15deg
aux_center_bin_offset_xweighted,train,1,0,rectangular_notch,rectangular_notch,-0.013000000268220901,-0.012403402477502823,-0.004600000102072954,-0.004587664734572172,8,8,3,3,true,true,true,0.18550462969775416,0.007632508811708738,1.4852926516764127,0.0,2.164231777191162,2.1642303466796875,0.005200000014156103,0.005004451144486666,0.00020382933143991977,0.8252853380158033,987.0,1092.0,>=0.60,1000-1500,<15deg
aux_center_bin_offset_xweighted,train,1,1,rectangular_notch,rectangular_notch,0.0007999999797903001,0.0007774551631882787,0.004999999888241291,0.004988224245607853,12,12,9,9,true,true,true,-0.0070100290688774325,-0.007286179042298613,0.08088665158917155,0.0,0.04130434989929199,0.0413055419921875,0.005200000014156103,0.005107760429382324,0.00011980379349552095,0.8252853380158033,987.0,1092.0,>=0.60,1000-1500,<15deg
aux_center_bin_offset_xweighted,train,1,2,rectangular_notch,rectangular_notch,0.014600000344216824,0.014494989067316055,-0.004600000102072954,-0.004568109754472971,16,16,3,3,true,true,true,-0.0326519446411605,0.01973215301853759,0.305208896499052,0.0,0.9131162166595459,0.913116455078125,0.005200000014156103,0.005206106696277857,8.732503920327872e-05,0.8252853380158033,987.0,1092.0,>=0.60,1000-1500,<15deg
aux_center_bin_offset_xweighted,train,2,0,rectangular_notch,rectangular_notch,-0.01979999989271164,-0.01967620849609375,0.004600000102072954,0.004649003501981497,6,6,9,9,true,true,true,0.038491388246224556,0.030320854371134687,0.3919951982495418,0.0,-0.8877716064453125,0.8877716064453125,0.004000000189989805,0.003948645666241646,0.00014317981549538672,0.6531961792799412,1122.0,1128.0,>=0.60,1000-1500,<15deg
aux_center_bin_offset_xweighted,train,2,1,rectangular_notch,rectangular_notch,-0.0007999999797903001,-0.0005786754190921783,-0.00570000009611249,-0.005731520708650351,12,12,2,2,true,true,true,0.0688181071302768,-0.019503379443735896,0.5722272935102958,0.0,-0.5879642963409424,0.5879669189453125,0.00559999980032444,0.00534234382212162,0.00026379182236269116,0.6531961792799412,1122.0,1128.0,>=0.60,1000-1500,<15deg
aux_center_bin_offset_xweighted,train,2,2,rectangular_notch,rectangular_notch,0.018200000748038292,0.018378334119915962,0.004600000102072954,0.004667562898248434,18,18,9,9,true,true,true,0.05545053405762912,0.04180448106798118,0.555546656309735,0.0,1.0440196990966797,1.0440216064453125,0.005200000014156103,0.005180056206882,8.49771749926731e-05,0.6531961792799412,1122.0,1128.0,>=0.60,1000-1500,<15deg
aux_center_bin_offset_xweighted,train,3,0,rectangular_notch,rectangular_notch,-0.00930000003427267,-0.009250623174011707,-0.003100000089034438,-0.0030338293872773647,9,9,4,4,true,true,true,0.015353117830562243,0.04094312262733929,0.3498166392928931,0.0,-0.4045119285583496,0.404510498046875,0.004800000227987766,0.004852293059229851,5.7679008023114875e-05,0.7953443258971872,919.0,932.0,>=0.60,500-1000,<15deg
aux_center_bin_offset_xweighted,train,3,1,rectangular_notch,rectangular_notch,0.0012000000569969416,0.0013169933808967471,0.004399999976158142,0.004332671873271465,12,12,8,8,true,true,true,0.036377612463198816,-0.041659264592288414,0.4424531624399921,0.0,-0.0013079643249511719,0.001312255859375,0.004000000189989805,0.003944385796785355,0.0001481857616454363,0.7953443258971872,919.0,932.0,>=0.60,500-1000,<15deg
