split,variant,samples,avg_mask_iou,avg_dice,avg_pred_area,avg_target_area,avg_abs_area_diff,delta_iou_vs_pred_all,delta_iou_vs_oracle,oracle_gap
train,pred_all,100,0.6980715694294751,0.8199347159945773,1068.91,1071.17,12.24,0.0,-0.024925124701638324,0.024925124701638324
train,gt_type,100,0.6980715694294751,0.8199347159945773,1068.91,1071.17,12.24,0.0,-0.024925124701638324,0.024925124701638324
train,gt_rotation,100,0.6984192205661429,0.8201724878950799,1068.78,1071.17,12.45,0.00034765113666779257,-0.02457747356497053,0.02457747356497053
train,gt_type_rotation,100,0.6984192205661429,0.8201724878950799,1068.78,1071.17,12.45,0.00034765113666779257,-0.02457747356497053,0.02457747356497053
train,gt_center,100,0.7233958840697626,0.8367771227934577,1069.98,1071.17,13.55,0.025324314640287504,0.0003991899386491804,-0.0003991899386491804
train,gt_axis,100,0.6984778428447713,0.8202079401247632,1067.4,1071.17,12.19,0.00040627341529619887,-0.024518851286342125,0.024518851286342125
train,gt_depth,100,0.6980715694294751,0.8199347159945773,1068.91,1071.17,12.24,0.0,-0.024925124701638324,0.024925124701638324
train,gt_continuous_all,100,0.7229966941311134,0.8365437593424875,1069.19,1071.17,13.38,0.024925124701638324,0.0,0.0
train,gt_type_continuous,100,0.7229966941311134,0.8365437593424875,1069.19,1071.17,13.38,0.024925124701638324,0.0,0.0
train,gt_all,100,0.7229966941311134,0.8365437593424875,1069.19,1071.17,13.38,0.024925124701638324,0.0,0.0
