split,sample_index,variant,mask_iou,dice,pred_area,target_area,area_diff
train,0,pred_all,0.7474931631722881,0.8555033907146583,953,964,-11
train,1,pred_all,0.8442906574394463,0.9155722326454033,1040,1092,-52
train,2,pred_all,0.6907993966817496,0.8171275646743978,1114,1128,-14
train,3,pred_all,0.7230483271375465,0.8392664509169363,922,932,-10
train,4,pred_all,0.8053633217993079,0.8921897460469573,1021,1066,-45
train,5,pred_all,0.6541070082893745,0.7908883826879272,1091,1104,-13
train,6,pred_all,0.8245614035087719,0.9038461538461539,1040,1040,0
train,7,pred_all,0.7701754385964912,0.8701684836471755,988,1030,-42
train,8,pred_all,0.6123054114158636,0.7595402298850574,1095,1080,15
train,9,pred_all,0.6050955414012739,0.753968253968254,1008,1008,0
train,10,pred_all,0.6314475873544093,0.7740948495665477,957,1004,-47
train,11,pred_all,0.6892655367231638,0.8160535117056856,1196,1196,0
train,12,pred_all,0.8442396313364056,0.9155422288855573,1005,996,9
train,13,pred_all,0.733754512635379,0.8464341488807913,943,978,-35
train,14,pred_all,0.7084548104956269,0.8293515358361775,1172,1172,0
train,15,pred_all,0.7724770642201835,0.8716356107660456,968,964,4
train,16,pred_all,0.6849960722702279,0.813053613053613,1053,1092,-39
train,17,pred_all,0.6805349182763745,0.8099027409372237,1134,1128,6
train,18,pred_all,0.6912691269126913,0.817456093666844,947,932,15
train,19,pred_all,0.8051724137931034,0.89207258834766,1028,1066,-38
train,20,pred_all,0.6482449589245706,0.7865881286814681,1103,1104,-1
train,21,pred_all,0.8162544169611308,0.8988326848249028,1016,1040,-24
train,22,pred_all,0.6872393661384487,0.81463173504696,993,1030,-37
train,23,pred_all,0.6178010471204188,0.7637540453074434,1083,1080,3
train,24,pred_all,0.7362068965517241,0.8480635551142006,1006,1008,-2
train,25,pred_all,0.6726422447388932,0.804287045666356,1083,1063,20
train,26,pred_all,0.5774932614555256,0.7321657411362665,1160,1181,-21
train,27,pred_all,0.7223950233281493,0.8388261851015801,1118,1097,21
train,28,pred_all,0.7333333333333333,0.8461538461538461,1059,1047,12
train,29,pred_all,0.5544286680189318,0.7133536320139191,1149,1150,-1
train,30,pred_all,0.6919431279620853,0.8179271708683473,1084,1058,26
train,31,pred_all,0.6093133385951065,0.7572339382050024,1029,1010,19
train,32,pred_all,0.6354234001292824,0.7770750988142292,1250,1280,-30
train,33,pred_all,0.7668049792531121,0.86801315171442,1070,1059,11
train,34,pred_all,0.6686592655849701,0.8014329580348004,979,975,4
train,35,pred_all,0.6364234056541749,0.777822418642025,1239,1250,-11
train,36,pred_all,0.6905349794238683,0.8169425511197663,1036,1018,18
train,37,pred_all,0.7081081081081081,0.8291139240506329,1114,1098,16
train,38,pred_all,0.6269465132024373,0.7707032875572202,1191,1212,-21
train,39,pred_all,0.6829477292202228,0.8116089613034623,985,979,6
train,40,pred_all,0.6526806526806527,0.7898448519040903,1064,1063,1
train,41,pred_all,0.5808625336927223,0.7348678601875532,1165,1181,-16
train,42,pred_all,0.7811745776347546,0.8771454381210478,1117,1097,20
train,43,pred_all,0.725793327908869,0.8411126826968411,1074,1047,27
train,44,pred_all,0.5501373626373627,0.7097917589720868,1107,1150,-43
train,45,pred_all,0.6808846761453397,0.8101503759398496,1070,1058,12
train,46,pred_all,0.6272,0.7708947885939036,1024,1010,14
train,47,pred_all,0.6503225806451612,0.7881157154026583,1278,1280,-2
train,48,pred_all,0.7346437346437347,0.8470254957507082,1059,1059,0
train,49,pred_all,0.6476030277544155,0.7861153649821337,984,975,9
train,50,pred_all,0.609992542878449,0.7577582213987958,1085,1074,11
train,51,pred_all,0.7627264883520276,0.8653940283896231,1015,1028,-13
train,52,pred_all,0.7753960857409133,0.873490813648294,959,946,13
train,53,pred_all,0.6857749469214437,0.8136020151133502,1198,1184,14
train,54,pred_all,0.8087431693989071,0.8942598187311178,982,1004,-22
train,55,pred_all,0.7526165556612749,0.8588490770901195,923,919,4
train,56,pred_all,0.7038123167155426,0.8261617900172117,1161,1163,-2
train,57,pred_all,0.7527272727272727,0.8589211618257261,953,975,-22
train,58,pred_all,0.8923357664233577,0.9431051108968177,1044,1030,14
train,59,pred_all,0.6366959064327485,0.7780259044216168,1124,1115,9
train,60,pred_all,0.7142857142857143,0.8333333333333334,921,951,-30
train,61,pred_all,0.8634686346863468,0.9267326732673268,1017,1003,14
train,62,pred_all,0.6300963676797627,0.7730786721236926,1107,1092,15
train,63,pred_all,0.8763440860215054,0.9340974212034384,1041,1053,-12
train,64,pred_all,0.7355298308103295,0.8476141611082606,976,973,3
train,65,pred_all,0.6164280331574982,0.7627039627039627,1071,1074,-3
train,66,pred_all,0.6996644295302014,0.8232971372161896,998,1028,-30
train,67,pred_all,0.76274328081557,0.8654048370136698,956,946,10
train,68,pred_all,0.7198838896952104,0.8371308016877637,1186,1184,2
train,69,pred_all,0.705932932072227,0.8276209677419355,980,1004,-24
train,70,pred_all,0.7481132075471698,0.8559093362115489,934,919,15
train,71,pred_all,0.7045454545454546,0.8266666666666667,1162,1163,-1
train,72,pred_all,0.7948243992606284,0.8856848609680742,967,975,-8
train,73,pred_all,0.802608695652174,0.8904968644476604,1043,1030,13
train,74,pred_all,0.6300072833211945,0.773011617515639,1123,1115,8
train,75,pred_all,0.7485714285714286,0.8562091503267973,1071,1071,0
train,76,pred_all,0.6306677658697445,0.7735085945399394,991,987,4
train,77,pred_all,0.6361829025844931,0.7776427703523694,1235,1234,1
train,78,pred_all,0.7087136929460581,0.8295288975230695,1031,1028,3
train,79,pred_all,0.7768924302788844,0.874439461883408,1115,1115,0
train,80,pred_all,0.6154362416107383,0.7619443290402991,1205,1202,3
train,81,pred_all,0.6804733727810651,0.8098591549295775,995,993,2
train,82,pred_all,0.7014218009478673,0.8245125348189415,1076,1078,-2
train,83,pred_all,0.5723905723905723,0.728051391862955,1167,1168,-1
train,84,pred_all,0.7400468384074942,0.8506056527590848,1116,1113,3
train,85,pred_all,0.7093397745571659,0.8299576071596797,1062,1061,1
train,86,pred_all,0.5563139931740614,0.7149122807017544,1140,1140,0
train,87,pred_all,0.6934594168636722,0.8189855746859004,1079,1070,9
train,88,pred_all,0.6786885245901639,0.80859375,1024,1024,0
train,89,pred_all,0.6478232618583496,0.7862776025236593,1271,1265,6
train,90,pred_all,0.7213771016813451,0.838139534883721,1079,1071,8
train,91,pred_all,0.6619007569386038,0.7965587044534413,989,987,2
train,92,pred_all,0.6338400528750826,0.7758899676375405,1238,1234,4
train,93,pred_all,0.7075393537696769,0.8287239204269772,1033,1028,5
train,94,pred_all,0.7064220183486238,0.8279569892473119,1117,1115,2
train,95,pred_all,0.6145063801208865,0.7612312811980033,1202,1202,0
train,96,pred_all,0.592948717948718,0.744466800804829,995,993,2
train,97,pred_all,0.7126984126984127,0.8322520852641334,1080,1078,2
train,98,pred_all,0.5750841750841751,0.7302265925609235,1171,1168,3
train,99,pred_all,0.7658227848101266,0.8673835125448028,1119,1113,6
train,0,gt_type,0.7474931631722881,0.8555033907146583,953,964,-11
train,1,gt_type,0.8442906574394463,0.9155722326454033,1040,1092,-52
train,2,gt_type,0.6907993966817496,0.8171275646743978,1114,1128,-14
train,3,gt_type,0.7230483271375465,0.8392664509169363,922,932,-10
train,4,gt_type,0.8053633217993079,0.8921897460469573,1021,1066,-45
train,5,gt_type,0.6541070082893745,0.7908883826879272,1091,1104,-13
train,6,gt_type,0.8245614035087719,0.9038461538461539,1040,1040,0
train,7,gt_type,0.7701754385964912,0.8701684836471755,988,1030,-42
train,8,gt_type,0.6123054114158636,0.7595402298850574,1095,1080,15
train,9,gt_type,0.6050955414012739,0.753968253968254,1008,1008,0
train,10,gt_type,0.6314475873544093,0.7740948495665477,957,1004,-47
train,11,gt_type,0.6892655367231638,0.8160535117056856,1196,1196,0
train,12,gt_type,0.8442396313364056,0.9155422288855573,1005,996,9
train,13,gt_type,0.733754512635379,0.8464341488807913,943,978,-35
train,14,gt_type,0.7084548104956269,0.8293515358361775,1172,1172,0
train,15,gt_type,0.7724770642201835,0.8716356107660456,968,964,4
train,16,gt_type,0.6849960722702279,0.813053613053613,1053,1092,-39
train,17,gt_type,0.6805349182763745,0.8099027409372237,1134,1128,6
train,18,gt_type,0.6912691269126913,0.817456093666844,947,932,15
train,19,gt_type,0.8051724137931034,0.89207258834766,1028,1066,-38
train,20,gt_type,0.6482449589245706,0.7865881286814681,1103,1104,-1
train,21,gt_type,0.8162544169611308,0.8988326848249028,1016,1040,-24
train,22,gt_type,0.6872393661384487,0.81463173504696,993,1030,-37
train,23,gt_type,0.6178010471204188,0.7637540453074434,1083,1080,3
train,24,gt_type,0.7362068965517241,0.8480635551142006,1006,1008,-2
train,25,gt_type,0.6726422447388932,0.804287045666356,1083,1063,20
train,26,gt_type,0.5774932614555256,0.7321657411362665,1160,1181,-21
train,27,gt_type,0.7223950233281493,0.8388261851015801,1118,1097,21
train,28,gt_type,0.7333333333333333,0.8461538461538461,1059,1047,12
train,29,gt_type,0.5544286680189318,0.7133536320139191,1149,1150,-1
train,30,gt_type,0.6919431279620853,0.8179271708683473,1084,1058,26
train,31,gt_type,0.6093133385951065,0.7572339382050024,1029,1010,19
train,32,gt_type,0.6354234001292824,0.7770750988142292,1250,1280,-30
train,33,gt_type,0.7668049792531121,0.86801315171442,1070,1059,11
train,34,gt_type,0.6686592655849701,0.8014329580348004,979,975,4
train,35,gt_type,0.6364234056541749,0.777822418642025,1239,1250,-11
train,36,gt_type,0.6905349794238683,0.8169425511197663,1036,1018,18
train,37,gt_type,0.7081081081081081,0.8291139240506329,1114,1098,16
train,38,gt_type,0.6269465132024373,0.7707032875572202,1191,1212,-21
train,39,gt_type,0.6829477292202228,0.8116089613034623,985,979,6
train,40,gt_type,0.6526806526806527,0.7898448519040903,1064,1063,1
train,41,gt_type,0.5808625336927223,0.7348678601875532,1165,1181,-16
train,42,gt_type,0.7811745776347546,0.8771454381210478,1117,1097,20
train,43,gt_type,0.725793327908869,0.8411126826968411,1074,1047,27
train,44,gt_type,0.5501373626373627,0.7097917589720868,1107,1150,-43
train,45,gt_type,0.6808846761453397,0.8101503759398496,1070,1058,12
train,46,gt_type,0.6272,0.7708947885939036,1024,1010,14
train,47,gt_type,0.6503225806451612,0.7881157154026583,1278,1280,-2
train,48,gt_type,0.7346437346437347,0.8470254957507082,1059,1059,0
train,49,gt_type,0.6476030277544155,0.7861153649821337,984,975,9
train,50,gt_type,0.609992542878449,0.7577582213987958,1085,1074,11
train,51,gt_type,0.7627264883520276,0.8653940283896231,1015,1028,-13
train,52,gt_type,0.7753960857409133,0.873490813648294,959,946,13
train,53,gt_type,0.6857749469214437,0.8136020151133502,1198,1184,14
train,54,gt_type,0.8087431693989071,0.8942598187311178,982,1004,-22
train,55,gt_type,0.7526165556612749,0.8588490770901195,923,919,4
train,56,gt_type,0.7038123167155426,0.8261617900172117,1161,1163,-2
train,57,gt_type,0.7527272727272727,0.8589211618257261,953,975,-22
train,58,gt_type,0.8923357664233577,0.9431051108968177,1044,1030,14
train,59,gt_type,0.6366959064327485,0.7780259044216168,1124,1115,9
train,60,gt_type,0.7142857142857143,0.8333333333333334,921,951,-30
train,61,gt_type,0.8634686346863468,0.9267326732673268,1017,1003,14
train,62,gt_type,0.6300963676797627,0.7730786721236926,1107,1092,15
train,63,gt_type,0.8763440860215054,0.9340974212034384,1041,1053,-12
train,64,gt_type,0.7355298308103295,0.8476141611082606,976,973,3
train,65,gt_type,0.6164280331574982,0.7627039627039627,1071,1074,-3
train,66,gt_type,0.6996644295302014,0.8232971372161896,998,1028,-30
train,67,gt_type,0.76274328081557,0.8654048370136698,956,946,10
train,68,gt_type,0.7198838896952104,0.8371308016877637,1186,1184,2
train,69,gt_type,0.705932932072227,0.8276209677419355,980,1004,-24
train,70,gt_type,0.7481132075471698,0.8559093362115489,934,919,15
train,71,gt_type,0.7045454545454546,0.8266666666666667,1162,1163,-1
train,72,gt_type,0.7948243992606284,0.8856848609680742,967,975,-8
train,73,gt_type,0.802608695652174,0.8904968644476604,1043,1030,13
