run_label,split,sample_index,hard_case_type,mask_iou,center_grid_mae,max_center_grid_error,x_bin_acc,y_bin_acc,both_bin_acc,center_offset_mae,pred_area,target_area,area_diff
zero_shot_v2_train,test,1,x_bin_wrong_like,0.0,119.43917106502977,119.43917106502977,0.0,0.0,0.0,0.3385533814437741,1071,280,791
zero_shot_v2_train,test,6,bins_correct_center_or_offset_bad,0.0,116.07069179476618,116.07069179476618,0.0,0.0,0.0,0.0773841288735525,1071,130,941
v3_train_candidate,test,1,x_bin_wrong_like,0.0,97.3756677847548,97.3756677847548,0.0,0.0,0.0,0.17478853360046898,192,280,-88
v3_train_candidate,test,6,bins_correct_center_or_offset_bad,0.0,93.4068335983343,93.4068335983343,0.0,0.0,0.0,0.2411486511177151,192,130,62
zero_shot_v2_train,val,5,bins_correct_center_or_offset_bad,0.0,87.03710020995791,87.03710020995791,0.0,0.0,0.0,0.1498842208853228,1071,140,931
zero_shot_v2_train,val,0,x_bin_wrong_like,0.0,82.94335618311989,82.94335618311989,0.0,0.0,0.0,0.3286677558910707,1071,259,812
v3_train_candidate,val,3,both_bins_wrong_like,0.0,82.03015519804649,82.03015519804649,0.0,0.0,0.0,0.13135096781121336,192,280,-88
v3_train_param_only,test,1,x_bin_wrong_like,0.0,70.02506130454583,70.02506130454583,0.0,1.0,0.0,0.4639359889567089,217,280,-63
v3_train_candidate,test,3,both_bins_wrong_like,0.0,70.01875738957435,70.01875738957435,0.0,0.0,0.0,0.13135115407574482,192,324,-132
zero_shot_v2_train,val,9,rare_y_bin_wrong,0.0,69.45500657148304,69.45500657148304,0.0,0.0,0.0,0.17112395399232827,1071,216,855
zero_shot_v2_train,test,0,x_bin_wrong_like,0.0,68.58973473315478,68.58973473315478,0.0,0.0,0.0,0.32866774424954004,1071,264,807
zero_shot_v2_train,test,5,bins_correct_center_or_offset_bad,0.0,66.566141411098,66.566141411098,0.0,0.0,0.0,0.23070728190749085,1071,96,975
v3_train_param_only,test,6,bins_correct_center_or_offset_bad,0.0,65.94548661624289,65.94548661624289,0.0,1.0,0.0,0.3573735820125755,217,130,87
v3_train_param_only,val,6,bins_correct_center_or_offset_bad,0.0,64.38795718894089,64.38795718894089,0.0,0.0,0.0,0.1617485450652813,217,115,102
v3_train_candidate,val,5,bins_correct_center_or_offset_bad,0.0,59.02467641733895,59.02467641733895,0.0,0.0,0.0,0.31364867109751693,192,140,52
v3_train_candidate,val,0,x_bin_wrong_like,0.0,58.34655234374301,58.34655234374301,0.0,0.0,0.0,0.19203177591343806,192,259,-67
v3_train_param_only,val,1,x_bin_wrong_like,0.0,58.00637024659661,58.00637024659661,0.0,1.0,0.0,0.46393601360402836,217,312,-95
v3_train_param_only,val,3,both_bins_wrong_like,0.0,56.07344949248117,56.07344949248117,0.0,0.0,0.0,0.5598734219888117,217,280,-63
zero_shot_v2_train,val,2,x_bin_wrong_like,0.0,51.60793743801567,51.60793743801567,0.0,0.0,0.0,0.436792681043349,1071,264,807
v3_train_param_only,test,4,both_bins_wrong_like,0.0,49.870384834101074,49.870384834101074,0.0,0.0,0.0,0.5598735454982382,217,259,-42
zero_shot_v2_train,val,6,bins_correct_center_or_offset_bad,0.0,48.435411298127306,48.435411298127306,0.0,0.0,0.0,0.1944572846505293,1071,115,956
v3_train_param_only,test,3,both_bins_wrong_like,0.0,48.43115437494543,48.43115437494543,0.0,0.0,0.0,0.5598735921552878,217,324,-107
v3_train_candidate,test,9,rare_y_bin_wrong,0.0,44.47286679011851,44.47286679011851,0.0,0.0,0.0,0.3077598422928644,192,231,-39
v3_train_candidate,val,9,rare_y_bin_wrong,0.0,44.26929328523163,44.26929328523163,0.0,0.0,0.0,0.30775969841082546,192,216,-24
v3_train_candidate,test,0,x_bin_wrong_like,0.0,42.64005767132172,42.64005767132172,0.0,0.0,0.0,0.1920319638150586,192,264,-72
v3_train_candidate,val,6,bins_correct_center_or_offset_bad,0.0,41.20031688573275,41.20031688573275,0.0,0.0,0.0,0.331093101100995,192,115,77
zero_shot_v2_train,val,4,both_bins_wrong_like,0.0,41.0581894571261,41.0581894571261,0.0,0.0,0.0,0.29511581601835835,1071,288,783
v3_train_candidate,test,5,bins_correct_center_or_offset_bad,0.0,39.25026047460328,39.25026047460328,0.0,0.0,0.0,0.36734309835795653,192,96,96
zero_shot_v2_train,test,2,x_bin_wrong_like,0.0,38.888695751141036,38.888695751141036,0.0,0.0,0.0,0.4367927055997014,1071,296,775
v3_train_param_only,test,7,geometry_or_type_interaction,0.0,38.689178522682205,38.689178522682205,0.0,0.0,0.0,0.33276932579443586,217,84,133
